n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_at_limit,treated_at_limit,control_at_limit,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,ci_lo_at_limit,ci_hi_at_limit,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,placebo_n,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,target_ic,target_name,direction,GENCONSETID,episodes,tier
48,48,1.0,24.0,2,0.7083333333333334,79.11675750000003,661.9941383333332,467.3795225,-4.583333335972384e-06,121.96375083333335,111.46417833333334,174.28429166666663,411.75209416666667,252.78328333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09596999999997,581.03521,461.83342500000003,0.4110668647703122,544.9039443516808,403.24389656040603,107.19391615685277,691.3025387657601,420.2633317693037,13.111725004789909,9.766226666666682,154.91490833333341,-10.162498333333247,28.035455000000013,107.53782666666672,228.21939833333334,0.0,0.0,1.2075972439481646,-0.019557994846707772,-0.21635068689597206,-0.9668457492926205,-0.9522151044533326,0.08055296396082179,1.9597887547890413e-05,0.0032332496027532996,-0.6597362255410405,0.0,0.9668457492926205,0.7083333333333334,0.0,0.2916666666666667,88,-149.2251383333334,-462.1441466666666,88.84413666666671,True,NSW1-QLD1,QNI,forward,CA_BRIS_5667C22F,1,unsupported
48,48,1.0,24.0,2,0.7083333333333334,65.99180999999999,970.3632691666667,902.0943966666666,224.35026499999998,1461.1003991666666,1133.6136225,-174.28429166666663,-411.75209416666667,-252.78328333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33290999999997,968.731205,866.50154,82.51954265865866,320.25603616111977,151.62109228701826,42.838244494494454,188.1925432772697,194.96527812456634,6.981002511039726,28.21266166666669,77.92965166666647,118.32878833333325,307.5755966666668,-259.83133666666663,-151.2220066666667,0.0,0.0,1.2075972439481646,-0.019557994846707772,-0.21635068689597206,-0.9668457492926205,-0.9522151044533326,0.08055296396082179,1.9597887547890413e-05,0.0032332496027532996,-0.6597362255410405,0.0,0.9668457492926205,0.7083333333333334,0.0,0.2916666666666667,88,-186.2646316666667,-467.8651425000001,-3.755471666666608,False,NSW1-QLD1,QNI,reverse,CA_BRIS_5667C22F,1,unsupported
5,5,1.0,2.5,1,0.8,-132.07954333333333,21.365986666666668,149.2278266666667,127.30080666666663,561.6947383333334,529.0185433333334,-259.38034999999996,-546.1600033333333,-315.67303666666663,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-131.52314,-24.37224,108.05337,158.78062368475992,762.6740234968685,500.18595740083515,-123.3203951670148,418.3144306263049,810.3235970772444,-23.400240709607548,-132.07954333333333,-132.07954333333333,127.30080666666663,127.30080666666663,-259.38034999999996,-259.38034999999996,0.0,0.0,-0.370827506906748,0.02589017949985829,-1.51353446304298,-0.7541038246566364,1.593588421682919,0.5172834185926655,-0.3554714326255028,0.02437160629291708,1.499989787258968,0.0,0.7541038246566364,0.8,0.0,0.2,9,64.58035333333333,33.851275,485.5247933333334,False,NSW1-QLD1,QNI,forward,CA_BRIS_593C7214,1,unsupported
5,5,1.0,2.5,1,0.8,254.38656499999996,546.1578033333334,320.6655416666667,-42.42654833333336,-0.0014949999999771535,42.42534999999998,259.38034999999996,546.1600033333333,315.67303666666663,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,296.09941000000003,500.1392,229.61153,0.0,0.0,0.0,0.0,0.0,0.0,23.643823843769542,254.38656499999996,254.38656499999996,-42.42654833333336,-42.42654833333336,259.38034999999996,259.38034999999996,1.0,1.0,-0.370827506906748,0.02589017949985829,-1.51353446304298,-0.7541038246566364,1.593588421682919,0.5172834185926655,-0.3554714326255028,0.02437160629291708,1.499989787258968,0.0,0.7541038246566364,0.8,0.0,0.2,9,25.114096666666683,-95.167565,299.8544299999999,True,NSW1-QLD1,QNI,reverse,CA_BRIS_593C7214,1,unsupported
13,13,1.0,6.5,1,0.7692307692307693,-12.235886666666659,356.27725000000004,400.14162000000005,-561.3931633333333,713.3417333333334,1198.255235,489.96950333333336,-291.765385,-812.8954116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.865509999999972,350.96621,375.13322,-21.990460316004175,305.77081913353726,225.2900328088701,-112.06685201107646,215.02742920489294,309.83773725000003,-2.1678049913670256,-12.235886666666659,-12.235886666666659,-561.3931633333333,-561.3931633333333,489.96950333333336,489.96950333333336,0.0,0.0,-0.6384404989875052,-0.016647394738358124,0.3470338877075331,-0.2159112710477711,0.755030990720883,-0.09757824970370797,0.9365207191783596,0.005053528878757118,0.08869124011432444,0.0,0.2159112710477711,0.7692307692307693,0.0,0.23076923076923078,24,166.38092083333342,79.87339833333328,578.6158583333333,False,NSW1-QLD1,QNI,forward,CA_BRIS_59643BAE,1,unsupported
13,13,1.0,6.5,1,0.7692307692307693,-8.31203500000015,1139.5655,1139.3413466666668,431.6361800000001,837.5329483333335,375.82337499999994,-489.96950333333336,291.765385,812.8954116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.589999999999918,1098.52,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7725576675924318,-8.31203500000015,-8.31203500000015,431.6361800000001,431.6361800000001,-489.96950333333336,-489.96950333333336,0.0,0.0,-0.6384404989875052,-0.016647394738358124,0.3470338877075331,-0.2159112710477711,0.755030990720883,-0.09757824970370797,0.9365207191783596,0.005053528878757118,0.08869124011432444,0.0,0.2159112710477711,0.7692307692307693,0.0,0.23076923076923078,24,9.151158333333456,-31.265852499999937,542.3618533333333,True,NSW1-QLD1,QNI,reverse,CA_BRIS_59643BAE,1,unsupported
8,8,1.0,4.0,1,1.0,39.18356874999995,803.2848016666667,810.81643125,101.79075083333333,1308.7164324999999,1094.4819499999999,2.6942700000000173,-470.8127733333333,-467.4144275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69070749999997,792.5055649999999,769.097885,-184.27459105699876,598.4514826081218,1072.5183190406092,-569.653091699183,368.57759831325916,1012.70730870533,8.205887721526825,29.187663333333262,29.187663333333262,98.70948166666665,98.70948166666665,-1.815004999999985,-1.815004999999985,0.0,0.0,0.9636626910684142,0.16475786829782807,-0.25876544023678605,-0.6444269767509243,-0.5098842668604934,0.255653418665015,-0.5036712035040395,-0.031470556424688725,-1.3226884382007424,0.0,0.6444269767509243,1.0,0.0,0.0,14,-26.87238166666667,-173.68102166666668,-58.523786666666666,False,NSW1-QLD1,QNI,forward,CA_SYDS_562A9792,1,unsupported
8,8,1.0,4.0,1,1.0,-32.88871791666668,629.0898516666666,659.8014133333334,-1.3609545833332675,96.9448408333333,164.59179875,-2.6942700000000173,470.8127733333333,467.4144275,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-83.53760750000006,583.7440349999999,612.9306525000001,-160.5150953336483,62.44249857128405,211.68572999304467,-152.07368950125738,30.735124568913843,250.33470262947765,-3.8704269961630873,-57.005472499999996,-57.005472499999996,-6.49026583333324,-6.49026583333324,-7.20354500000002,-7.20354500000002,0.0,0.0,0.9636626910684142,0.16475786829782807,-0.25876544023678605,-0.6444269767509243,-0.5098842668604934,0.255653418665015,-0.5036712035040395,-0.031470556424688725,-1.3226884382007424,0.0,0.6444269767509243,1.0,0.0,0.0,14,-118.42037249999998,-434.1070841666666,-119.35709166666665,False,NSW1-QLD1,QNI,reverse,CA_SYDS_562A9792,1,unsupported
7,7,1.0,3.5,1,0.8571428571428571,69.67728,709.080615,637.9597883333333,-45.67781500000001,160.81466666666665,261.4559816666667,88.3136116666667,361.50074166666667,392.03726333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17362000000003,618.62552,545.4519,414.26208747614237,1633.727654172589,1216.3047110862944,257.83855808121825,1114.4169127426817,875.6239322233503,12.05660521997759,69.67728,69.67728,-45.67781500000001,-45.67781500000001,88.3136116666667,88.3136116666667,0.0,0.0,1.6100601598021202,0.3018063112924897,0.21331298185528888,-0.40971055364500997,-1.6905365770888345,-0.44524678558782876,0.9599975382148552,-0.0007216465367360141,-0.2867369489706472,0.0,0.44524678558782876,0.8571428571428571,0.0,0.14285714285714285,14,-86.7534445833333,-270.0620333333334,-6.273728333333338,False,NSW1-QLD1,QNI,forward,CA_SYDS_56FB4FDD,1,unsupported
7,7,1.0,3.5,1,0.8571428571428571,-10.79539333333355,1123.70769,1142.2382066666667,95.66395666666676,1529.3453583333333,1489.1925466666667,-88.3136116666667,-361.50074166666667,-392.03726333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.503240000000005,1111.77397,1130.27721,211.47002535496955,211.47002535496955,10.385395537525353,0.0,320.3190720081136,238.30699898580124,-1.1292434830478761,-10.79539333333355,-10.79539333333355,95.66395666666676,95.66395666666676,-88.3136116666667,-88.3136116666667,0.0,0.0,1.6100601598021202,0.3018063112924897,0.21331298185528888,-0.40971055364500997,-1.6905365770888345,-0.44524678558782876,0.9599975382148552,-0.0007216465367360141,-0.2867369489706472,0.0,0.44524678558782876,0.8571428571428571,0.0,0.14285714285714285,14,31.264333333333298,-140.1331133333333,83.71318333333352,True,NSW1-QLD1,QNI,reverse,CA_SYDS_56FB4FDD,1,unsupported
