ic,name,GENCONSETID,lead_forward,lead_reverse,invoked_share,relevant,excluded_reason
NSW1-QLD1,QNI,#R031455_RAMP,1,1,4.756468797564688e-06,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031456_RAMP,1,1,9.512937595129377e-06,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031462_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031465_RAMP,0,2,9.512937595129377e-06,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031468_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031478_RAMP,0,5,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031480_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031487_RAMP,14,0,0.00011891171993911719,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031495_RAMP,11,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031514_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031519_RAMP,7,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031524_RAMP,3,10,4.756468797564688e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031528_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031538_RAMP,11,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031587_RAMP,4,0,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031599_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031602_RAMP,10,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031616_RAMP,6,6,4.756468797564688e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031632_RAMP,7,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031640_RAMP,13,2,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031644_RAMP,0,9,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031654_RAMP,13,1,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031659_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031663_RAMP,0,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031668_RAMP,13,2,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031676_RAMP,0,7,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031682_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031685_RAMP,0,7,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031687_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031695_RAMP,10,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031699_RAMP,0,7,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031727_RAMP,0,1,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031737_RAMP,0,1,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031748_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
