layer,lead_band,name,direction,rows,bookings,origins,brier_outlook,brier_normal,brier_lastyear,skill_vs_normal,skill_vs_lastyear,events,test_rows,test_events,alert_threshold,recall,precision,false_alerts,skilful
binding,0-7,Basslink,forward,213,70,12,0.001482680426425474,0.0010182034201552455,0.003929894666007628,-0.45617309574486575,0.6227175147338679,3,156,2,0.05,0.0,0.0,31,False
binding,0-7,Basslink,reverse,201,66,10,0.014664480151743252,0.010869674823793259,0.014911380072097746,-0.3491185697334134,0.016557818200643615,29,156,23,0.05,0.34782608695652173,0.12698412698412698,55,False
binding,0-7,Directlink,forward,306,92,12,0.004586812768677522,0.0031024108912967472,0.003723105676345293,-0.47846720804939014,-0.23198565053358045,11,207,3,0.05,0.6666666666666666,0.05555555555555555,34,False
binding,0-7,Directlink,reverse,321,96,12,0.014346103949398012,0.015335346159117249,0.015672254443640246,0.06450732832862116,0.08461772357073882,26,213,13,0.05,0.15384615384615385,0.020833333333333332,94,True
binding,0-7,Heywood,forward,359,89,12,0.012016751961254703,0.009375655121304255,0.012434537542486768,-0.28169731136431175,0.03359880331733767,29,275,28,0.05,0.5714285714285714,0.13793103448275862,100,False
binding,0-7,Heywood,reverse,367,97,12,0.026192570228893992,0.02013795813888903,0.028075319042735792,-0.3006567025438749,0.06706063824157826,27,260,18,0.05,0.8333333333333334,0.11194029850746269,119,False
binding,0-7,Murraylink,forward,372,99,11,0.015576217354382938,0.013506296510235506,0.015702665645129316,-0.15325599009164192,0.008052664025588574,25,237,22,0.05,0.45454545454545453,0.10526315789473684,85,False
binding,0-7,Murraylink,reverse,336,86,12,0.0326473352376701,0.026808502125208404,0.03315454988811565,-0.21779781224596495,0.015298493032093963,29,216,18,0.05,0.7777777777777778,0.11764705882352941,105,False
binding,0-7,QNI,forward,498,143,12,0.020116677952742426,0.021035576150961362,0.027759397628677945,0.04368305349111823,0.2753200836044044,24,384,21,0.05,0.7619047619047619,0.20253164556962025,63,True
binding,0-7,QNI,reverse,681,173,11,0.017369235302710694,0.018607208040216386,0.01891743694392124,0.06653189101933077,0.08183992608512602,57,546,37,0.05,0.7297297297297297,0.13366336633663367,175,True
binding,0-7,VNI,forward,405,121,12,0.013781760550063166,0.008172185769428962,0.013838066846540436,-0.6864228174570948,0.0040689423675783765,22,255,12,0.05,0.4166666666666667,0.05154639175257732,92,False
binding,0-7,VNI,reverse,411,113,12,0.008657611349361995,0.008819067369888793,0.010986589287411643,0.01830760711479107,0.21198370823947832,23,273,16,0.05,0.375,0.0967741935483871,56,True
binding,31-90,Basslink,forward,645,162,11,0.0019348448203228784,0.0017146359522276966,0.0032050206133081563,-0.12842893432222802,0.3963081509401678,15,342,15,0.05,0.26666666666666666,0.11428571428571428,31,False
binding,31-90,Basslink,reverse,618,157,11,0.010982431071329124,0.009596304945820719,0.011209810303738165,-0.14444373468061533,0.020283950062314315,83,342,46,0.05,0.21739130434782608,0.1111111111111111,80,False
binding,31-90,Directlink,forward,1233,257,11,0.0024772697471921942,0.001767273155627665,0.0030833295970340824,-0.40174694517575404,0.19656018948634923,60,546,21,0.05,0.3333333333333333,0.07777777777777778,83,False
binding,31-90,Directlink,reverse,1356,269,11,0.007168087156558832,0.008679372849659205,0.009662964927715395,0.17412383582066226,0.2581896746826364,94,576,29,0.05,0.1724137931034483,0.01937984496124031,253,True
binding,31-90,Heywood,forward,835,178,11,0.011547240335192737,0.008711104661885847,0.01307064523099056,-0.3255770402709064,0.11655162150570986,77,517,56,0.05,0.5535714285714286,0.15121951219512195,174,False
binding,31-90,Heywood,reverse,948,198,11,0.01838119984600748,0.01646579918818715,0.018865196057036182,-0.11632600616157585,0.02565550920146331,91,533,51,0.05,0.6862745098039216,0.1383399209486166,218,False
binding,31-90,Murraylink,forward,1272,233,11,0.007098612946870918,0.006004281550436414,0.010185675904174338,-0.18225850790673936,0.30307885174691906,68,693,38,0.05,0.5263157894736842,0.12658227848101267,138,False
binding,31-90,Murraylink,reverse,1143,216,11,0.016451034941140856,0.01092939783369621,0.016522277885808862,-0.5052096365657948,0.004311932359471915,94,678,43,0.05,0.7441860465116279,0.0794044665012407,371,False
binding,31-90,QNI,forward,1452,294,11,0.015426693932862995,0.015672837068651746,0.017185643424807388,0.015705078455838573,0.10234993526080949,74,723,29,0.05,0.3448275862068966,0.08849557522123894,103,True
binding,31-90,QNI,reverse,1941,374,11,0.010293081059186648,0.014357026733260756,0.01230699358918663,0.28306318220187,0.1636396830310759,131,1089,66,0.05,0.7575757575757576,0.13440860215053763,322,True
binding,31-90,VNI,forward,1482,312,11,0.011639996583770565,0.0074149006127112,0.01040920765536926,-0.5698115445831298,-0.11824040495209442,60,750,34,0.05,0.7647058823529411,0.07761194029850746,309,False
binding,31-90,VNI,reverse,1641,303,11,0.01026847854556899,0.009688934081508893,0.011751001545551075,-0.05981508999696317,0.12616141647461254,97,810,46,0.05,0.41304347826086957,0.11728395061728394,143,False
binding,8-30,Basslink,forward,360,118,11,0.0023633423266872858,0.0018468359484945364,0.0034080491555341288,-0.2796709575713987,0.30654100958327013,8,255,8,0.05,0.25,0.058823529411764705,32,False
binding,8-30,Basslink,reverse,381,125,11,0.020604094191828088,0.01786335324577106,0.020162868702516445,-0.15342813347241302,-0.021883071095760043,45,255,28,0.05,0.35714285714285715,0.125,70,False
binding,8-30,Directlink,forward,894,270,12,0.0046069425490589296,0.004179327352474216,0.005219839967200751,-0.10231675112301519,0.11741689821776291,41,483,26,0.05,0.23076923076923078,0.09230769230769231,59,False
binding,8-30,Directlink,reverse,972,284,12,0.011983323961658254,0.014232821019405007,0.013713519531825336,0.15804997861490655,0.12616714229718862,65,516,26,0.05,0.3076923076923077,0.03940886699507389,195,True
binding,8-30,Heywood,forward,912,225,12,0.011759866379689824,0.010279618336910887,0.012857472953544717,-0.14399834646232246,0.08536720845695345,82,619,50,0.05,0.58,0.13875598086124402,180,False
binding,8-30,Heywood,reverse,822,212,12,0.02072309779432708,0.019731312445903863,0.020714754773600585,-0.05026454023990201,-0.0004027573976945753,71,546,40,0.05,0.8,0.13114754098360656,212,False
