ic,name,direction,GENCONSETID,DUID,tightening_per_hh_treated,tightening_per_hh_base,relief_per_hh_treated,relief_per_hh_base,excess_tightening,excess_relief,treated_half_hours,base_half_hours
NSW1-QLD1,QNI,forward,N-ARDM_8C,SAPHWF1,14.64008092693677,25.620535509181845,18.114773987988194,26.902504238294036,-10.980454582245075,-8.787730250305842,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,BW01,11.278870014960505,20.262614653937746,6.97548692721884,17.597346775653975,-8.98374463897724,-10.621859848435136,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,NEWENSF2,14.22251056281489,22.854408101799567,8.56129366372828,19.08201809142237,-8.631897538984678,-10.52072442769409,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,BW04,5.029587851985909,14.199743478307864,3.67250425543245,13.177334836044587,-9.170155626321955,-9.504830580612136,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,NEWENSF1,14.454919109119068,22.775490305837884,8.80810263754539,18.854833946727048,-8.320571196718817,-10.046731309181657,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,WRWF1,8.92312576153334,16.882328889171536,9.946104062605958,17.399572142856872,-7.959203127638196,-7.453468080250914,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,BW02,10.540738199557397,16.32677953727973,5.32722903057795,13.28461300720949,-5.786041337722333,-7.95738397663154,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,BW03,8.896241961907826,14.014387374418195,5.600767484233626,12.489191542879361,-5.118145412510369,-6.888424058645735,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,METZSF1,8.23546404975457,13.932759647839067,5.8421106664933165,11.852465737975416,-5.697295598084496,-6.0103550714821,3012,11334
NSW1-QLD1,QNI,forward,N-ARDM_8C,WDBESS1,8.35962042401256,2.526773734436361,7.671316000204362,2.3510641607354343,5.832846689576199,5.320251839468927,3012,11334
NSW1-QLD1,QNI,reverse,N-ARDM_8C,TUMUT3,77.05722238543198,19.554973427937004,35.61270916834796,5.346259675833765,57.502248957494984,30.266449492514198,3012,11334
NSW1-QLD1,QNI,reverse,N-ARDM_8C,UPPTUMUT,13.486498390840998,7.789241631748874,14.381589438943134,1.9879555381874106,5.697256759092124,12.393633900755724,3012,11334
