ic,name,direction,level,key,families,n_units_binding,n_units_setter,own_control_binding,own_control_setter,own_treated_binding,own_treated_setter,top3_binding,top3_setter,tier,treated_hours,binding_gate
N-Q-MNSP1,Directlink,forward,K1xK2,ARMIDALE/LINE/86 × N-ARTW_86,N-ARTW_86,549,549,0.018113742157458004,0.0,0.04948391013964784,0.013964784456587736,N^^Q_ARTW_B1 (3% vs 2%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (2% vs 0%),N>>NIL_33_34 (84% vs 85%); Q^NIL_GC (10% vs 11%); N>>87_966_96C (3% vs 0%),supported,278.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,ARMIDALE/LINE/966 × N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,166,166,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (2% vs 0%); Q^^TR_CLHA_-600 (0% vs 0%); N::Q_DMSR_1 (0% vs 0%),N>>NIL_33_34 (70% vs 70%); Q^NIL_GC (29% vs 29%); #R030861_001_RAMP_F (1% vs 0%),supported,85.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,AVON/LINE/17 × N-AVMA_17,N-AVMA_17,1023,1023,0.0,0.0,0.0,0.0,N>>NIL_33_34 (3% vs 1%); Q>>RGLC_BCCP_CLWU (1% vs 0%); Q^^TR_CLHA_-600 (1% vs 0%),Q^NIL_GC (89% vs 89%); N>>NIL_33_34 (8% vs 5%); N>96L_96R_967_89 (1% vs 1%),supported,576.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,DAPTO/LINE/8 × N-DTMN_8_15M,N-DTMN_8_15M,424,424,0.0,0.0,0.0,0.0,N::Q_LDTW_1 (1% vs 0%); #R032872_001_RAMP_F (0% vs 0%); #R032872_001_RAMP_V (0% vs 0%),Q^NIL_GC (83% vs 84%); N>>NIL_33_34 (10% vs 12%); N>>LDTM_33_34_OPEN (4% vs 0%),supported,230.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,H3_BELMT/LINE/275KV_817 × Q-BKBM,Q-BKBM,683,683,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (7% vs 3%); N_DLINK_ECS (4% vs 1%); N>96L_96R_967_89 (3% vs 1%),Q^NIL_GC (99% vs 95%); N>>LDTM_33_34_OPEN (1% vs 0%); F_NVS+LDTW_R5 (0% vs 0%),supported,391.5,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,H4_MUGBA/LINE/275KV_836 × Q-GBMU_835_836,Q-GBMU_835_836,1698,1698,0.0,0.0,0.0,0.0,N::Q_ARSR_1 (5% vs 1%); N>>NIL_33_34 (1% vs 2%); N_DLINK_ECS (1% vs 1%),Q^NIL_GC (99% vs 100%); F_NVS++85_R5 (0% vs 0%); F_NVS+85_R5 (0% vs 0%),supported,1171.0,below asset gate: see family row
N-Q-MNSP1,Directlink,forward,K1xK2,H58_LARC/LINE/275KV_8859 × Q-LCCP_8859,Q-LCCP_8859,108,108,0.0,0.0,0.14660493827160492,0.030864197530864196,Q>>LCCP_BCCP_CLWU (15% vs 0%); F_Q++LDTW_L60 (4% vs 1%); F_Q++LDTW_L6 (4% vs 1%),Q^NIL_GC (75% vs 79%); N>>NIL_33_34 (17% vs 17%); Q>>LCCP_BCCP_CLWU (3% vs 0%),supported,65.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,H73_RAGL/LINE/275KV_8875 × Q-RGLC_8875,Q-RGLC_8875,188,188,0.0,0.0,0.10638297872340426,0.16932624113475175,Q>>RGLC_BCCP_CLWU (11% vs 0%); N::Q_ARDM_1 (1% vs 0%); #R031594_002_RAMP_F (1% vs 0%),Q^NIL_GC (77% vs 77%); Q>>RGLC_BCCP_CLWU (17% vs 0%); N>>NIL_33_34 (5% vs 10%),supported,96.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,INVERELL/LINE/96N × N-96L_96R_CB4102,N-96L_96R_CB4102,79,79,0.0,0.0,0.10759493670886076,0.0,N>96L_96R_967_89 (7% vs 0%); N_DLINK_ECS (4% vs 0%); N::Q_ARSR_1 (1% vs 0%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,39.5,ok
N-Q-MNSP1,Directlink,forward,K1xK2,LISMORE/LINE/96L/2 × N-96L_96R_CB4102,N-96L_96R_CB4102,490,490,0.00040816326530612246,0.0,0.3748299319727891,0.0,N>96L_96R_967_89 (25% vs 0%); N_DLINK_ECS (12% vs 0%); N>>NIL_33_34 (3% vs 1%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,258.0,ok
N-Q-MNSP1,Directlink,forward,K1xK2,TENTFLD/LINE/96R × N-96L_96R_CB4102,N-96L_96R_CB4102,710,710,4.694835680751174e-05,0.0,0.37206572769953045,0.28544600938967135,N>96L_96R_967_89 (26% vs 0%); N_DLINK_ECS (11% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),Q^NIL_GC (65% vs 65%); N>96L_96R_967_89 (29% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),supported,376.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,1597,1597,0.0002504696305572949,0.0,0.30150281778334376,0.12826132331454812,N>96L_96R_967_89 (20% vs 0%); N_DLINK_ECS (10% vs 0%); N::Q_ARSR_1 (4% vs 3%),Q^NIL_GC (83% vs 83%); N>96L_96R_967_89 (13% vs 0%); CA_BRIS_5667C22F_1 (3% vs 0%),supported,846.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-ARTW_86,N-ARTW_86,758,758,0.017106420404573438,0.0,0.037598944591029027,0.012752858399296393,N^^Q_ARTW_B1 (2% vs 2%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (1% vs 0%),N>>NIL_33_34 (68% vs 68%); Q^NIL_GC (27% vs 28%); N>>87_966_96C (2% vs 0%),supported,384.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-AVMA_17,N-AVMA_17,1276,1276,0.0,0.0,0.0,0.0,N>>NIL_33_34 (2% vs 1%); Q>>RGLC_BCCP_CLWU (1% vs 0%); Q^^TR_CLHA_-600 (1% vs 0%),Q^NIL_GC (75% vs 74%); N>>NIL_33_34 (14% vs 15%); N>96L_96R_967_89 (9% vs 4%),supported,722.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-CHKS_ONE,N-CHKS_ONE,401,401,0.0,0.0,0.0,0.0,N>>32_34_33 (2% vs 0%); N>>NIL_33_34 (0% vs 1%); #R034511_001_RAMP_F (0% vs 1%),Q^NIL_GC (94% vs 94%); N>>NIL_33_34 (6% vs 6%); Q^^TR_TRBK_-250 (0% vs 0%),supported,202.5,ok
N-Q-MNSP1,Directlink,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,711,711,0.0,0.0,0.0,0.0,N^^Q_ARTW_B1 (3% vs 1%); F_Q++LDTW_L6 (3% vs 2%); F_Q++LDTW_L60 (2% vs 2%),Q^NIL_GC (62% vs 63%); N>>NIL_33_34 (23% vs 30%); N>>LDTM_33_34_OPEN (10% vs 0%),supported,383.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-LDTM_82,N-LDTM_82,2459,2459,0.0,0.0,0.01497898874881388,0.09563508201165785,N>96L_96R_967_89 (2% vs 0%); N^^Q_ARTW_B1 (1% vs 0%); N::Q_LDTM_KC (1% vs 0%),Q^NIL_GC (81% vs 83%); N>>LDTM_33_34_OPEN (10% vs 0%); N>>NIL_33_34 (6% vs 15%),supported,1450.5,ok
N-Q-MNSP1,Directlink,forward,K2,N-LDTW_84,N-LDTW_84,437,437,0.0007627765064836002,0.0,0.08695652173913043,0.13386727688787187,F_Q++LDTW_L6 (7% vs 0%); F_Q++LDTW_L60 (7% vs 0%); N^^Q_ARTW_B1 (3% vs 1%),N>>NIL_33_34 (74% vs 77%); F_NVS+LDTW_R5 (10% vs 0%); Q^NIL_GC (6% vs 20%),supported,226.5,ok
N-Q-MNSP1,Directlink,forward,K2,N-TWUL_85,N-TWUL_85,605,605,0.008117539026629934,0.0,0.10269972451790632,0.041873278236914606,N^^Q_ARTW_B1 (7% vs 1%); F_Q++85_L6 (2% vs 0%); F_Q++85_L60 (2% vs 0%),N>>NIL_33_34 (73% vs 78%); N>>LDTM_33_34_OPEN (11% vs 0%); Q^NIL_GC (10% vs 14%),supported,343.0,ok
N-Q-MNSP1,Directlink,forward,K2,N-X_9U6_9G2,N-X_9U6_9G2,76,76,0.0,0.0,0.043859649122807015,0.0,F_Q++85_L6 (16% vs 4%); F_Q++85_L60 (15% vs 3%); F_Q++85_L5 (14% vs 3%),Q^NIL_GC (98% vs 89%); F_NVS+85_R5 (2% vs 1%); Q>MUTX_MUTX_GBMO (0% vs 0%),supported,39.5,ok
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,171,171,0.0,0.0,0.0,0.0,#R031462_006_RAMP_V (1% vs 0%); #R031462_001_RAMP_F (1% vs 0%); N>>NIL_33_34 (0% vs 9%),Q^NIL_GC (55% vs 55%); N>>NIL_33_34 (42% vs 35%); #R031468_001_RAMP_F (1% vs 0%),supported,102.5,ok
N-Q-MNSP1,Directlink,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,929,929,0.0,0.0,0.0,0.0,N>96L_96R_967_89 (1% vs 0%); N_DLINK_ECS (1% vs 0%); N>>NIL_33_34 (1% vs 3%),Q^NIL_GC (100% vs 100%); Q>>NIL_MRTX5_MRTX4 (0% vs 0%); Q>>RGLC_BCCP_CLWU (0% vs 0%),supported,535.0,ok
N-Q-MNSP1,Directlink,forward,K2,Q-BKBM,Q-BKBM,861,861,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (6% vs 3%); N_DLINK_ECS (3% vs 1%); N>96L_96R_967_89 (3% vs 1%),Q^NIL_GC (99% vs 96%); N>>LDTM_33_34_OPEN (1% vs 0%); F_NVS+LDTW_R5 (0% vs 0%),supported,480.5,ok
N-Q-MNSP1,Directlink,forward,K2,Q-GBMU_835_836,Q-GBMU_835_836,3769,3769,0.0,0.0,0.0,0.0,N::Q_ARSR_1 (3% vs 1%); N>>NIL_33_34 (1% vs 2%); N_DLINK_ECS (1% vs 1%),Q^NIL_GC (100% vs 100%); F_NVS++85_R5 (0% vs 0%); F_NVS+85_R5 (0% vs 0%),supported,2297.0,ok
N-Q-MNSP1,Directlink,forward,K2,Q-RGLC_8875,Q-RGLC_8875,359,359,0.0,0.0,0.055710306406685235,0.08913649025069637,Q>>RGLC_BCCP_CLWU (6% vs 0%); N::Q_ARDM_1 (2% vs 0%); N>>NIL_33_34 (2% vs 1%),Q^NIL_GC (84% vs 84%); Q>>RGLC_BCCP_CLWU (9% vs 0%); N>>NIL_33_34 (4% vs 7%),supported,183.5,ok
N-Q-MNSP1,Directlink,forward,K3,ARMIDALE,CA_BRIS_59712B29|N-ARTW_86|N-X_96T+9UG+9U2|N-X_ARKK_CH_CB892A,739,739,0.014385054878965568,0.0,0.03676138926477221,0.010374379792512404,N^^Q_ARTW_B1 (2% vs 1%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (1% vs 0%),N>>NIL_33_34 (69% vs 68%); Q^NIL_GC (26% vs 27%); N>>87_966_96C (3% vs 0%),supported,408.0,ok
N-Q-MNSP1,Directlink,forward,K3,AVON,N-AVMA_17|N-X_10+76|N-X_4+17_WG_CLOSE|N-X_AVMA_KCTX|N-X_AVMA_SSWW,1204,1204,0.0,0.0,0.0002768549280177187,0.0033222591362126247,N>>NIL_33_34 (2% vs 3%); Q^^TR_CLHA_-600 (1% vs 0%); Q>>RGLC_BCCP_CLWU (1% vs 0%),Q^NIL_GC (84% vs 84%); N>>NIL_33_34 (13% vs 11%); N>96L_96R_967_89 (1% vs 1%),supported,625.0,ok
N-Q-MNSP1,Directlink,forward,K3,DAPTO,N-DTMN_8_15M,443,443,0.0,0.0,0.0,0.0,N::Q_LDTW_1 (1% vs 0%); #R032872_001_RAMP_F (0% vs 0%); #R032872_001_RAMP_V (0% vs 0%),Q^NIL_GC (84% vs 84%); N>>NIL_33_34 (9% vs 11%); N>>LDTM_33_34_OPEN (4% vs 0%),supported,239.5,ok
N-Q-MNSP1,Directlink,forward,K3,H3_BELMT,Q-BKBM,683,683,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (7% vs 3%); N_DLINK_ECS (4% vs 1%); N>96L_96R_967_89 (3% vs 1%),Q^NIL_GC (99% vs 95%); N>>LDTM_33_34_OPEN (1% vs 0%); F_NVS+LDTW_R5 (0% vs 0%),supported,391.5,ok
N-Q-MNSP1,Directlink,forward,K3,H4_MUGBA,CA_BRIS_593C7214|CA_SYDS_57B55E34|Q-GBMU_835_836,3389,3389,0.0,0.0,0.0,0.0,N::Q_ARSR_1 (3% vs 1%); N>>NIL_33_34 (1% vs 2%); N_DLINK_ECS (1% vs 1%),Q^NIL_GC (100% vs 100%); F_NVS++85_R5 (0% vs 0%); F_NVS+85_R5 (0% vs 0%),supported,2111.0,ok
N-Q-MNSP1,Directlink,forward,K3,H58_LARC,Q-LCCP_8859,108,108,0.0,0.0,0.14660493827160492,0.030864197530864196,Q>>LCCP_BCCP_CLWU (15% vs 0%); F_Q++LDTW_L60 (4% vs 1%); F_Q++LDTW_L6 (4% vs 1%),Q^NIL_GC (75% vs 79%); N>>NIL_33_34 (17% vs 17%); Q>>LCCP_BCCP_CLWU (3% vs 0%),supported,65.0,ok
N-Q-MNSP1,Directlink,forward,K3,H73_RAGL,Q-RGLC_8875,188,188,0.0,0.0,0.10638297872340426,0.16932624113475175,Q>>RGLC_BCCP_CLWU (11% vs 0%); N::Q_ARDM_1 (1% vs 0%); #R031594_002_RAMP_F (1% vs 0%),Q^NIL_GC (77% vs 77%); Q>>RGLC_BCCP_CLWU (17% vs 0%); N>>NIL_33_34 (5% vs 10%),supported,96.0,ok
N-Q-MNSP1,Directlink,forward,K3,INVERELL,N-96L_96R_CB4102,79,79,0.0,0.0,0.10759493670886076,0.0,N>96L_96R_967_89 (7% vs 0%); N_DLINK_ECS (4% vs 0%); N::Q_ARSR_1 (1% vs 0%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,39.5,ok
N-Q-MNSP1,Directlink,forward,K3,LIDDELL,N-LDTM_82|N-LDTW_84|N-X_KCTX_LDTM,1909,1909,0.0,0.0,0.035969966823817,0.14545137070019204,N>96L_96R_967_89 (3% vs 0%); F_Q++LDTW_L6 (1% vs 0%); F_Q++LDTW_L60 (1% vs 0%),Q^NIL_GC (83% vs 85%); N>>LDTM_33_34_OPEN (12% vs 0%); F_NVS+LDTW_R5 (2% vs 0%),supported,1105.5,ok
N-Q-MNSP1,Directlink,forward,K3,LISMORE,N-96L_96R_CB4102,490,490,0.0,0.0,0.3748299319727891,0.0,N>96L_96R_967_89 (25% vs 0%); N_DLINK_ECS (12% vs 0%); N>>NIL_33_34 (3% vs 1%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,258.0,ok
N-Q-MNSP1,Directlink,forward,K3,NAMBUCCA,CA_SYDS_59839EB2|N-CHKS_ONE,174,174,0.0,0.0,0.0,0.0,#R034511_001_RAMP_F (0% vs 2%); #R034511_001_RAMP_V (0% vs 1%); N>>NIL_33_34 (0% vs 1%),Q^NIL_GC (94% vs 94%); N>>NIL_33_34 (6% vs 6%); N>>NIL_83_84_CLOSE (0% vs 0%),supported,89.0,ok
N-Q-MNSP1,Directlink,forward,K3,SYD_STH,N-X_10+76|N-X_AVMA_SSWW,171,171,0.0,0.0,0.0,0.029239766081871343,#R031462_006_RAMP_V (1% vs 0%); #R031462_001_RAMP_F (1% vs 0%); #R031462_001_RAMP_V (0% vs 0%),Q^NIL_GC (52% vs 52%); N>>NIL_33_34 (42% vs 38%); N::Q_10+76_LDTW (3% vs 0%),supported,101.5,ok
N-Q-MNSP1,Directlink,forward,K3,TAMWORTH,N-ARTW_86|N-LDTW_84|N-TWUL_85,732,732,0.0,0.0,0.06142987249544627,0.036885245901639344,N^^Q_ARTW_B1 (4% vs 0%); F_Q++85_L6 (1% vs 0%); F_Q++85_L60 (1% vs 0%),N>>NIL_33_34 (84% vs 81%); Q^NIL_GC (9% vs 13%); F_NVS+85_R5 (2% vs 0%),supported,466.0,ok
N-Q-MNSP1,Directlink,forward,K3,TENTFLD,CA_BRIS_5667C22F|N-96L_96R_CB4102,710,710,4.694835680751174e-05,0.0,0.4352112676056338,0.34600938967136147,N>96L_96R_967_89 (26% vs 0%); N_DLINK_ECS (11% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),Q^NIL_GC (65% vs 65%); N>96L_96R_967_89 (29% vs 0%); CA_BRIS_5667C22F_1 (6% vs 0%),supported,376.0,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:Armidale,CA_BRIS_59712B29|N-ARTW_86|N-X_96T+9UG+9U2|N-X_ARKK_CH_CB892A,739,739,0.014385054878965568,0.0,0.03676138926477221,0.010374379792512404,N^^Q_ARTW_B1 (2% vs 1%); F_Q++86_L6 (2% vs 0%); F_Q++86_L60 (1% vs 0%),N>>NIL_33_34 (69% vs 68%); Q^NIL_GC (26% vs 27%); N>>87_966_96C (3% vs 0%),supported,408.0,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:Lismore,N-96L_96R_CB4102|N-X_9U6_9G2,508,508,0.0,0.0,0.3631889763779528,0.0,N>96L_96R_967_89 (24% vs 0%); N_DLINK_ECS (12% vs 0%); N>>NIL_33_34 (3% vs 1%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,267.0,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:Tamworth,N-ARTW_86|N-LDTW_84|N-TWUL_85,732,732,0.0,0.0,0.06142987249544627,0.036885245901639344,N^^Q_ARTW_B1 (4% vs 0%); F_Q++85_L6 (1% vs 0%); F_Q++85_L60 (1% vs 0%),N>>NIL_33_34 (84% vs 81%); Q^NIL_GC (9% vs 13%); F_NVS+85_R5 (2% vs 0%),supported,466.0,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:Wollongong,N-AVMA_17|N-DTMN_8_15M|N-X_10+76|N-X_4+17_WG_CLOSE|N-X_AVMA_KCTX|N-X_AVMA_SSWW,1651,1651,0.0,0.0,0.00020189783969311526,0.0024227740763173833,N>>NIL_33_34 (2% vs 2%); Q^^TR_CLHA_-600 (1% vs 0%); Q>>RGLC_BCCP_CLWU (0% vs 0%),Q^NIL_GC (84% vs 84%); N>>NIL_33_34 (12% vs 11%); N>>LDTM_33_34_OPEN (1% vs 0%),supported,864.5,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:south-west Sydney,N-X_10+76|N-X_AVMA_SSWW,175,175,0.0,0.0,0.0,0.02857142857142857,#R031462_006_RAMP_V (1% vs 0%); #R031462_001_RAMP_F (1% vs 0%); #R031462_001_RAMP_V (0% vs 0%),Q^NIL_GC (53% vs 53%); N>>NIL_33_34 (41% vs 38%); N::Q_10+76_LDTW (3% vs 0%),supported,104.5,ok
N-Q-MNSP1,Directlink,forward,K4,NSW1:west Sydney,N-X_AVMA_KCTX|N-X_AVMA_SSWW|N-X_KCTX_LDTM|N-X_LPSS_MPWW,1001,1001,0.0,0.0,0.0,0.0,N>96L_96R_967_89 (1% vs 0%); N_DLINK_ECS (1% vs 0%); N>>NIL_33_34 (1% vs 3%),Q^NIL_GC (100% vs 100%); Q^^NIL_CS (0% vs 0%); Q^^CS_-160 (0% vs 0%),supported,606.0,ok
N-Q-MNSP1,Directlink,forward,K4,QLD1:Brisbane,Q-BKBM,683,683,0.0,0.0,0.0,0.0,N::Q_ARDM_1 (7% vs 3%); N_DLINK_ECS (4% vs 1%); N>96L_96R_967_89 (3% vs 1%),Q^NIL_GC (99% vs 95%); N>>LDTM_33_34_OPEN (1% vs 0%); F_NVS+LDTW_R5 (0% vs 0%),supported,391.5,ok
N-Q-MNSP1,Directlink,forward,K4,QLD1:Gold Coast,CA_BRIS_593C7214|CA_SYDS_57B55E34|Q-GBMU_835_836,3389,3389,0.0,0.0,0.0,0.0,N::Q_ARSR_1 (3% vs 1%); N>>NIL_33_34 (1% vs 2%); N_DLINK_ECS (1% vs 1%),Q^NIL_GC (100% vs 100%); F_NVS++85_R5 (0% vs 0%); F_NVS+85_R5 (0% vs 0%),supported,2111.0,ok
N-Q-MNSP1,Directlink,forward,K4,QLD1:west Gladstone,Q-LCCP_8859|Q-RGLC_8875,291,291,0.0,0.0,0.1231386025200458,0.12084765177548681,Q>>RGLC_BCCP_CLWU (7% vs 0%); Q>>LCCP_BCCP_CLWU (5% vs 0%); F_Q++LDTW_L60 (1% vs 0%),Q^NIL_GC (76% vs 77%); Q>>RGLC_BCCP_CLWU (11% vs 0%); N>>NIL_33_34 (9% vs 13%),supported,161.0,ok
N-Q-MNSP1,Directlink,reverse,K1,ARMIDALE/LINE/86,N-ARTW_86,549,549,0.0,0.0,0.005768063145112326,0.0,F_Q++86_R60 (1% vs 0%); F_Q++86_R6 (0% vs 0%); N>>NIL_964_88_S (0% vs 5%),N>>NIL_964_84_S (58% vs 53%); N>>NIL_964_88_S (31% vs 37%); N>>NIL_967_89_S (11% vs 3%),supported,278.0,below asset gate: see family row
N-Q-MNSP1,Directlink,reverse,K1,ARMIDALE/LINE/966,N-X_ARKK_CH_CB892A,166,166,0.0,0.0,0.0,0.20682730923694775,#R030861_002_RAMP_V (0% vs 0%); #R030861_002_RAMP_F (0% vs 0%); N>>NIL_85_86_S (0% vs 1%),N>>NIL_964_84_S (43% vs 33%); N>>NIL_967_89_S (24% vs 17%); N>>966_96C_87_CB_S (21% vs 0%),supported,85.0,below asset gate: see family row
