target_ic,target_name,direction,GENCONSETID,relation,relevant_to,tier,n_units,any_binding_treated,any_binding_control,any_binding_diff,ci_lo,ci_hi
N-Q-MNSP1,Directlink,reverse,N-X_4+17_WG_CLOSE,relevant,Directlink|QNI|VNI,unsupported,72,0.40740740740740733,0.27195216049382714,0.13545524691358024,0.013984674329501914,0.26327830188679063
N-Q-MNSP1,Directlink,forward,N-X_96T+9UG+9U2,relevant,Directlink,indicative,36,0.0,0.03680555555555556,-0.03680555555555556,-0.11583333333333334,0.0
N-Q-MNSP1,Directlink,reverse,N-X_96T+9UG+9U2,relevant,Directlink,indicative,36,0.35648148148148157,0.37484567901234567,-0.018364197530864202,-0.13888888888888887,0.08947368421052629
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,relevant,Directlink,supported,76,0.21052631578947367,0.20723684210526316,0.003289473684210532,-0.07318840579710144,0.101010101010101
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,relevant,Directlink,supported,76,0.3157894736842105,0.27781432748538015,0.03797514619883041,-0.12454780361757108,0.4454402515723271
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,relevant,Directlink,unsupported,225,0.02296296296296296,0.018320987654320987,0.004641975308641977,-0.02476367034424549,0.05813573883161511
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,relevant,Directlink,supported,225,0.06740740740740742,0.09859259259259259,-0.03118518518518518,-0.10901931569310307,0.0165282215016676
N-Q-MNSP1,Directlink,forward,N-X_AVMA_KCTX,relevant,Directlink|QNI,unsupported,67,0.24378109452736316,0.20825041459369814,0.035530679933665,-0.18557347670250893,0.22592592592592597
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_KCTX,relevant,Directlink|QNI,unsupported,67,0.06467661691542288,0.0024875621890547263,0.06218905472636816,-0.004629629629629629,0.13978494623655913
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,relevant,Directlink|QNI|VNI,supported,171,0.012670565302144249,0.11317413905133202,-0.10050357374918778,-0.20161424009967613,-0.01126252052545156
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,relevant,Directlink|QNI|VNI,supported,171,0.2046783625730994,0.3124593892137752,-0.10778102664067578,-0.16704608585858585,-0.025473146521219233
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,relevant,Directlink|QNI,unsupported,23,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,relevant,Directlink|QNI,unsupported,23,0.710144927536232,0.4952898550724637,0.21485507246376814,0.21485507246376814,0.21485507246376814
N-Q-MNSP1,Directlink,forward,N-X_LPSS_MPWW,relevant,Directlink|QNI|VNI,supported,929,0.040724793684965906,0.03868556392775984,0.0020392297572060735,-0.03243817374630644,0.039160934096592874
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,relevant,Directlink|QNI|VNI,supported,929,0.1707929673484033,0.1937627078100706,-0.02296974046166726,-0.0901460707520557,0.04163300356381072
N-Q-MNSP1,Directlink,forward,Q-BKBM,relevant,Directlink|QNI,supported,861,0.12717770034843207,0.11225964640598789,0.014918053942444179,-0.030059388576037047,0.06425441924613663
N-Q-MNSP1,Directlink,reverse,Q-BKBM,relevant,Directlink|QNI,supported,861,0.15079365079365079,0.1539521228545619,-0.003158472060911086,-0.05414914837064054,0.04992058263797394
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,relevant,Directlink,supported,3769,0.06883346599451667,0.054531116417558444,0.014302349576958223,-0.008437668815635133,0.038142083989389945
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,relevant,Directlink,unsupported,3769,0.11448660122048289,0.11450355237168715,-1.695115120426715e-05,-0.029576979634868352,0.027138585620851734
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,relevant,Directlink|QNI,unsupported,242,0.38636363636363635,0.037350780532598715,0.34901285583103764,0.183104138088706,0.4803139418880159
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,relevant,Directlink|QNI,supported,242,0.18663911845730027,0.06771120293847566,0.1189279155188246,0.016886839708561023,0.20462448102016603
