ic,direction,state,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
N-Q-MNSP1,forward,booked_only,2513,2.8900000000000006,51.61666666666667,78.81837566666667,-9.0,67.15070166666668,0.09789096697174691,0.20652606446478314,Directlink
N-Q-MNSP1,forward,clear,18425,-36.6,46.65329,79.25921000000004,-11.683333333333332,61.04439833333333,0.15506105834464043,0.3146811397557666,Directlink
N-Q-MNSP1,forward,invoked_leading,725,-25.995872666666667,47.90809333333333,95.83449300000001,-7.5,39.89150166666667,0.18758620689655173,0.33655172413793105,Directlink
N-Q-MNSP1,forward,invoked_nonleading,13326,-33.20833583333333,42.31666666666666,79.77064250000001,-15.666666666666666,63.56155083333333,0.13079693831607384,0.3644004202311271,Directlink
N-Q-MNSP1,forward,partial,51,-62.18606833333334,39.233765,77.14861166666667,-24.53333333333333,64.76666666666667,0.13725490196078433,0.37254901960784315,Directlink
N-Q-MNSP1,reverse,booked_only,2513,20.583333333333336,85.64999999999999,115.79,9.0,79.45,0.06605650616792678,0.13450059689614008,Directlink
N-Q-MNSP1,reverse,clear,18425,1.030366333333344,80.05,126.92617300000005,11.683333333333332,78.58333333333333,0.1868113975576662,0.21872455902306648,Directlink
N-Q-MNSP1,reverse,invoked_leading,3528,15.112276333333336,90.6666275,137.1823325,18.936780833333334,78.38305583333334,0.12244897959183673,0.1746031746031746,Directlink
N-Q-MNSP1,reverse,invoked_nonleading,10524,-20.424340333333337,80.10000000000001,128.66666666666666,13.094670833333334,77.35984000000002,0.1951729380463702,0.282402128468263,Directlink
N-Q-MNSP1,reverse,partial,50,15.7800005,78.03889416666667,139.83897233333332,20.333333333333332,72.4252575,0.18,0.2,Directlink
NSW1-QLD1,forward,booked_only,2876,265.62238083333335,599.8183783333334,850.0,-485.0831558333333,1015.1865708333333,0.03894297635605007,0.1105702364394993,QNI
NSW1-QLD1,forward,clear,12133,302.907198,612.0648916666667,848.3902026666666,-216.42811500000002,790.3588333333333,0.0831616253193769,0.07491964064946839,QNI
NSW1-QLD1,forward,invoked_leading,6303,-22.18834866666666,174.55433833333333,800.44096,-353.2678016666667,536.8143416666667,0.05521180390290338,0.5908297636046327,QNI
NSW1-QLD1,forward,invoked_nonleading,13700,-18.752758,482.22152499999993,804.3589128333333,-278.38802333333336,627.8656633333333,0.04854014598540146,0.34021897810218976,QNI
NSW1-QLD1,forward,partial,28,143.36212550000002,554.7594958333333,814.2406995000001,-258.34145333333333,541.46588,0.10714285714285714,0.25,QNI
NSW1-QLD1,reverse,booked_only,2876,765.7333566666667,1078.0,1183.2573816666666,485.0831558333333,543.0075408333332,0.19436717663421418,0.01773296244784423,QNI
NSW1-QLD1,reverse,clear,12133,715.2831346666666,1012.4155999999999,1157.5387483333334,216.42811500000002,780.7422083333335,0.11209099151075579,0.013681694552048132,QNI
NSW1-QLD1,reverse,invoked_leading,4215,139.748894,517.5044266666667,1009.197133,413.8005083333333,-2.2737367544323206e-13,0.6574139976275207,0.4792408066429419,QNI
NSW1-QLD1,reverse,invoked_nonleading,15781,191.70000166666668,931.4158283333333,1157.124975,274.301525,362.74243333333334,0.28439262404156895,0.254926810721754,QNI
NSW1-QLD1,reverse,partial,35,478.32692900000006,982.1371366666666,1121.1104149999999,288.142125,426.5169066666667,0.17142857142857143,0.08571428571428572,QNI
T-V-MNSP1,forward,booked_only,358,-165.05828566666668,398.13772083333333,456.0,238.94297999999998,108.07087583333335,0.013966480446927373,0.329608938547486,Basslink
T-V-MNSP1,forward,clear,18329,-222.40333733333333,75.22071,332.4178873333334,-16.788895,125.0,0.02144143161110808,0.6158000982050302,Basslink
T-V-MNSP1,forward,invoked_leading,7930,-246.75834349999997,-158.727315,438.8572643333334,-313.0229016666667,177.62116916666665,0.08171500630517024,0.7273644388398487,Basslink
T-V-MNSP1,forward,invoked_nonleading,8387,-241.58334266666665,33.906976666666665,404.8987750000001,-0.517375,125.0,0.028734946941695483,0.6644807440085847,Basslink
T-V-MNSP1,forward,partial,36,-229.38086166666665,125.0,459.0,0.0,125.0,0.027777777777777776,0.4722222222222222,Basslink
T-V-MNSP1,reverse,booked_only,358,-237.75859433333332,-183.7672675,385.71239083333336,-238.94297999999998,125.0,0.06983240223463687,0.7513966480446927,Basslink
T-V-MNSP1,reverse,clear,18329,-157.54368233333332,125.0,428.5694203333333,16.788895,119.80545000000001,0.20743084729117792,0.5496753778165748,Basslink
T-V-MNSP1,reverse,invoked_leading,6255,-187.84156233333331,350.6650366666667,460.19023933333335,324.09787,0.0004000000000132786,0.5107913669064749,0.3040767386091127,Basslink
T-V-MNSP1,reverse,invoked_nonleading,10064,-202.7097701666667,145.63333333333333,445.8649113333334,18.841074166666665,38.91067583333333,0.31389109697933226,0.5169912559618441,Basslink
T-V-MNSP1,reverse,partial,34,-214.14198700000003,125.0,429.3822141666667,-0.0,125.0,0.23529411764705882,0.6470588235294118,Basslink
V-S-MNSP1,forward,booked_only,908,-93.49438116666666,113.73027583333332,170.68265483333337,51.93490166666667,3.3333333284701894e-06,0.3920704845814978,0.35462555066079293,Murraylink
V-S-MNSP1,forward,clear,4600,-117.20928549999998,113.0,170.0386091666667,42.75826,5.000000001587068e-06,0.3491304347826087,0.33152173913043476,Murraylink
V-S-MNSP1,forward,invoked_leading,8089,-105.96728299999998,38.06733333333333,152.5793436666667,7.740503333333334,1.1932333333333327,0.30164420818395354,0.6020521696130547,Murraylink
V-S-MNSP1,forward,invoked_nonleading,21422,-27.028899000000003,124.83333333333333,169.37767433333335,53.212812500000005,15.989169166666677,0.3189244701708524,0.266921856035851,Murraylink
V-S-MNSP1,forward,partial,21,-53.447721666666666,82.83333333333333,171.20629,67.36686,1.6666666624587378e-06,0.47619047619047616,0.38095238095238093,Murraylink
V-S-MNSP1,reverse,booked_only,908,-158.40722583333334,15.75,124.5464816666667,-51.93490166666667,70.48950333333332,0.11343612334801761,0.551762114537445,Murraylink
V-S-MNSP1,reverse,clear,4600,-160.33105966666665,12.416666666666668,135.81690816666668,-42.75826,52.888414999999995,0.12891304347826088,0.5419565217391304,Murraylink
V-S-MNSP1,reverse,invoked_leading,6026,-162.671465,-40.49999666666667,86.15364583333334,-72.5566775,3.554739166666664,0.0985728509790906,0.7125788250912711,Murraylink
V-S-MNSP1,reverse,invoked_nonleading,23476,-146.71337833333334,20.0,125.0,-33.670429999999996,63.568961666666674,0.13247571988413698,0.5473675242801158,Murraylink
V-S-MNSP1,reverse,partial,30,-158.61343033333333,0.5,144.35827650000002,-29.813856666666666,8.333333354926253e-06,0.13333333333333333,0.6,Murraylink
V-SA,forward,booked_only,1403,67.83119,498.16204666666664,647.312022,239.41628500000002,132.95078333333328,0.29508196721311475,0.1895937277263008,Heywood
V-SA,forward,clear,5957,118.71504700000001,472.7723133333334,648.3893403333334,174.90160333333333,223.1308533333334,0.2236024844720497,0.1960718482457613,Heywood
V-SA,forward,invoked_leading,10704,-32.181117,245.0655483333333,600.0,59.2978725,128.27719833333333,0.2797085201793722,0.4524476831091181,Heywood
V-SA,forward,invoked_nonleading,16930,39.162322500000016,403.35504833333334,609.9880800000001,56.8247475,278.7568341666667,0.1588304784406379,0.23632604843473123,Heywood
V-SA,forward,partial,46,166.38816416666668,475.47805833333337,650.0,256.62049583333334,201.5683908333333,0.1956521739130435,0.17391304347826086,Heywood
V-SA,reverse,booked_only,1403,-214.080056,291.27702833333336,553.2175866666666,-239.41628500000002,383.47085833333335,0.02993585174625802,0.4426229508196721,Heywood
V-SA,reverse,clear,5957,-154.159938,304.457475,582.85362,-174.90160333333333,358.43650833333334,0.08678865200604331,0.44854792680879635,Heywood
V-SA,reverse,invoked_leading,8695,35.33574600000002,391.45639,550.0,2.274243333333333,237.59299666666666,0.18642898217366302,0.3366302472685451,Heywood
V-SA,reverse,invoked_nonleading,18941,-103.08585666666666,352.35506166666664,600.0,-97.63097166666667,338.11411499999997,0.09914999208067156,0.3620189007972124,Heywood
V-SA,reverse,partial,44,-184.70545433333336,304.4725258333333,495.64295500000003,-256.62049583333334,295.9984758333334,0.06818181818181818,0.45454545454545453,Heywood
VIC1-NSW1,forward,booked_only,115,8.255848333333361,1018.4063783333332,1245.412354,716.5497133333333,22.125838333333377,0.45217391304347826,0.14782608695652175,VNI
VIC1-NSW1,forward,clear,372,285.5899796666667,1036.7998283333334,1207.6456826666665,820.8741075,37.268486666666774,0.5,0.12365591397849462,VNI
VIC1-NSW1,forward,invoked_leading,12917,-50.02123833333333,718.414915,1087.86796,273.5185783333333,164.49264166666666,0.2872183943640164,0.24115506696601377,VNI
