ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,binding,CA_BRIS_593C7214,unsupported,vbin,1,3,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,binding,CA_BRIS_593C7214,unsupported,rbin,1,5,0.33333333333333337,0.0,0.33333333333333337,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,season,Winter,55,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,1,32,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,2,14,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,0,30,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,1,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,0,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,2,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,season,Winter,55,0.09090909090909091,0.0,0.09090909090909091,0.0,0.14787878787878786
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.23809523809523808,0.0,0.23809523809523808,0.0,0.33968253968253964
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,1,32,0.15104166666666666,0.0,0.15104166666666666,0.0,0.21354166666666666
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,tbin,2,14,0.011904761904761904,0.0,0.011904761904761904,0.0,0.09285714285714285
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,0,30,0.1,0.0,0.1,0.0,0.05
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,1,22,0.09090909090909091,0.0,0.09090909090909091,0.0,0.3015151515151515
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,0,10,0.016666666666666666,0.0,0.016666666666666666,0.0,0.11333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,1,23,0.07971014492753623,0.0,0.07971014492753623,0.0,0.1956521739130435
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,CA_BRIS_59712B29,unsupported,rbin,2,22,0.13636363636363635,0.0,0.13636363636363635,0.0,0.11363636363636363
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.0,0.0,0.0,0.0,0.03048780487804878
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.03888888888888889
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.05648148148148148
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.0,0.0,0.0,0.0,0.06944444444444445
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,tbin,1,23,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,vbin,1,31,0.0,0.0,0.0,0.0,0.04032258064516129
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,vbin,2,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.05434782608695652
