ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,tbin,1,2,0.5,0.0,0.5,1.0,0.9
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,tbin,2,3,0.2222222222222222,0.0,0.2222222222222222,1.0,1.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,vbin,0,2,0.5,0.0,0.5,1.0,0.9
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,vbin,1,3,0.2222222222222222,0.0,0.2222222222222222,1.0,1.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,system,CA_BRIS_593C7214,unsupported,rbin,1,5,0.33333333333333337,0.0,0.33333333333333337,1.0,0.96
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,season,Winter,55,0.09090909090909091,0.0,0.09090909090909091,0.31212121212121213,0.3828282828282828
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.35888888888888887
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.6944444444444443,0.29166666666666663
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.6296296296296297,0.7805555555555554
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.23809523809523808,0.0,0.23809523809523808,0.07936507936507936,0.07936507936507936
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.9074074074074073,0.5808641975308642
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,1,32,0.15104166666666666,0.0,0.15104166666666666,0.24999999999999997,0.45815972222222223
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,2,14,0.011904761904761904,0.0,0.011904761904761904,0.07142857142857142,0.08333333333333334
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,0,30,0.1,0.0,0.1,0.4944444444444444,0.6396296296296297
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,1,22,0.09090909090909091,0.0,0.09090909090909091,0.0606060606060606,0.08484848484848485
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.3333333333333333,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,0,10,0.016666666666666666,0.0,0.016666666666666666,0.1,0.11666666666666667
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,1,23,0.07971014492753623,0.0,0.07971014492753623,0.39855072463768115,0.29106280193236717
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,2,22,0.13636363636363635,0.0,0.13636363636363635,0.3181818181818182,0.5997474747474748
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,season,Winter,55,0.09090909090909091,0.0,0.09090909090909091,0.31212121212121213,0.3791919191919192
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.3788888888888889
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.6944444444444443,0.29166666666666663
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Overnight,18,0.0,0.0,0.0,0.6296296296296297,0.7472222222222222
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,day_period,Solar period,21,0.23809523809523808,0.0,0.23809523809523808,0.07936507936507936,0.08888888888888888
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,0,9,0.0,0.0,0.0,0.9074074074074073,0.5141975308641975
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,1,32,0.15104166666666666,0.0,0.15104166666666666,0.24999999999999997,0.47065972222222224
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,tbin,2,14,0.011904761904761904,0.0,0.011904761904761904,0.07142857142857142,0.08333333333333334
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,0,30,0.1,0.0,0.1,0.4944444444444444,0.6196296296296296
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,1,22,0.09090909090909091,0.0,0.09090909090909091,0.0606060606060606,0.10303030303030303
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,vbin,2,3,0.0,0.0,0.0,0.3333333333333333,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,0,10,0.016666666666666666,0.0,0.016666666666666666,0.1,0.13666666666666666
