ic,name,direction,GENCONSETID,tier,lag_days,group,n_units,own_treated,own_control,own_diff,any_diff
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,7,booked_in_advance,160,0.07395833333333332,0.0,0.07395833333333332,-0.019340277777777783
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,14,booked_in_advance,160,0.07395833333333332,0.0,0.07395833333333332,-0.019340277777777783
N-Q-MNSP1,Directlink,forward,N-AVMA_17,supported,1,booked_in_advance,144,0.0,0.0,0.0,-0.08811728395061728
N-Q-MNSP1,Directlink,forward,N-AVMA_17,supported,7,booked_in_advance,144,0.0,0.0,0.0,-0.08811728395061728
N-Q-MNSP1,Directlink,forward,N-AVMA_17,supported,14,booked_in_advance,144,0.0,0.0,0.0,-0.08811728395061728
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,supported,1,booked_in_advance,144,0.0,0.0,0.0,0.05493827160493828
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,supported,7,booked_in_advance,144,0.0,0.0,0.0,0.05493827160493828
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,supported,14,booked_in_advance,144,0.0,0.0,0.0,0.05493827160493828
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,supported,1,booked_in_advance,376,0.0,0.0,0.0,0.006774527186761225
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,supported,7,booked_in_advance,376,0.0,0.0,0.0,0.006774527186761225
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,supported,14,booked_in_advance,359,0.0,0.0,0.0,0.007095326524295887
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,supported,14,not_booked_in_advance,17,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,1,booked_in_advance,376,0.0523049645390071,0.0,0.0523049645390071,0.09489509456264776
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,7,booked_in_advance,376,0.0523049645390071,0.0,0.0523049645390071,0.09489509456264776
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,14,booked_in_advance,359,0.05478180129990715,0.0,0.05478180129990715,0.088602599814299
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,14,not_booked_in_advance,17,0.0,0.0,0.0,0.22777777777777775
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,1,booked_in_advance,211,0.0,0.0,0.0,-0.07962085308056872
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,1,not_booked_in_advance,18,0.0,0.0,0.0,-0.2157407407407407
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,7,booked_in_advance,134,0.0,0.0,0.0,-0.03420398009950249
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,7,not_booked_in_advance,95,0.0,0.0,0.0,-0.16947368421052633
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,14,booked_in_advance,134,0.0,0.0,0.0,-0.03420398009950249
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,supported,14,not_booked_in_advance,95,0.0,0.0,0.0,-0.16947368421052633
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,1,booked_in_advance,211,0.008688783570300158,0.0,0.008688783570300158,0.05268562401263823
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,1,not_booked_in_advance,18,0.0,0.0,0.0,0.442283950617284
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,7,booked_in_advance,134,0.0,0.0,0.0,-0.09405058043117744
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,7,not_booked_in_advance,95,0.01929824561403509,0.0,0.01929824561403509,0.3334795321637427
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,14,booked_in_advance,134,0.0,0.0,0.0,-0.09405058043117744
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,14,not_booked_in_advance,95,0.01929824561403509,0.0,0.01929824561403509,0.3334795321637427
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,1,booked_in_advance,1671,0.010472770795930581,0.0,0.010472770795930581,0.010060509342376485
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,7,booked_in_advance,1668,0.010491606714628298,0.0,0.010491606714628298,0.010078603783639752
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,7,not_booked_in_advance,3,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,14,booked_in_advance,1668,0.010491606714628298,0.0,0.010491606714628298,0.010078603783639752
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,14,not_booked_in_advance,3,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,1,booked_in_advance,1671,0.07680031917015757,0.0,0.07680031917015757,0.06237283064033512
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,7,booked_in_advance,1668,0.0769384492406075,0.0,0.0769384492406075,0.06248501199040767
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,7,not_booked_in_advance,3,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,14,booked_in_advance,1668,0.0769384492406075,0.0,0.0769384492406075,0.06248501199040767
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,14,not_booked_in_advance,3,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,N-LDTW_84,supported,1,booked_in_advance,36,0.36574074074074076,0.0,0.36574074074074076,0.3087962962962963
N-Q-MNSP1,Directlink,forward,N-LDTW_84,supported,7,booked_in_advance,36,0.36574074074074076,0.0,0.36574074074074076,0.3087962962962963
N-Q-MNSP1,Directlink,forward,N-LDTW_84,supported,14,booked_in_advance,36,0.36574074074074076,0.0,0.36574074074074076,0.3087962962962963
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,supported,1,booked_in_advance,36,0.0,0.0,0.0,-0.1425925925925926
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,supported,7,booked_in_advance,36,0.0,0.0,0.0,-0.1425925925925926
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,supported,14,booked_in_advance,36,0.0,0.0,0.0,-0.1425925925925926
N-Q-MNSP1,Directlink,forward,N-TWUL_85,supported,1,booked_in_advance,83,0.33935742971887545,0.0,0.33935742971887545,0.30937081659973226
N-Q-MNSP1,Directlink,forward,N-TWUL_85,supported,7,booked_in_advance,83,0.33935742971887545,0.0,0.33935742971887545,0.30937081659973226
N-Q-MNSP1,Directlink,forward,N-TWUL_85,supported,14,booked_in_advance,83,0.33935742971887545,0.0,0.33935742971887545,0.30937081659973226
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,supported,1,booked_in_advance,83,0.18473895582329317,0.0,0.18473895582329317,0.021385542168674682
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,supported,7,booked_in_advance,83,0.18473895582329317,0.0,0.18473895582329317,0.021385542168674682
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,supported,14,booked_in_advance,83,0.18473895582329317,0.0,0.18473895582329317,0.021385542168674682
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,supported,1,booked_in_advance,68,0.04901960784313725,0.0,0.04901960784313725,0.0036764705882353006
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,supported,7,booked_in_advance,68,0.04901960784313725,0.0,0.04901960784313725,0.0036764705882353006
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,supported,14,booked_in_advance,68,0.04901960784313725,0.0,0.04901960784313725,0.0036764705882353006
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,supported,1,booked_in_advance,68,0.029411764705882353,0.0,0.029411764705882353,0.05616830065359476
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,supported,7,booked_in_advance,68,0.029411764705882353,0.0,0.029411764705882353,0.05616830065359476
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,supported,14,booked_in_advance,68,0.029411764705882353,0.0,0.029411764705882353,0.05616830065359476
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,unsupported,1,booked_in_advance,22,0.0,0.0,0.0,-0.025757575757575757
