ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,forward,K2,Q-GBMU_835_836,Q-GBMU_835_836,binding,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-GBMU_835_836,Q-GBMU_835_836,binding,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-LCCP_8859,Q-LCCP_8859,binding,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,binding,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-RGLC_8875,Q-RGLC_8875,binding,425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,binding,425,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,binding,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,binding,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,I-BCDM_ONE,I-BCDM_ONE,binding,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,I-BCDM_ONE,I-BCDM_ONE,binding,42,-0.03968253968253969,-0.09823908730158731,0.05500000000000001,True
NSW1-QLD1,QNI,forward,K2,N-ARDM_8C,N-ARDM_8C,binding,2568,-0.0001687435098650052,-0.00043845301450487007,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARDM_8C,N-ARDM_8C,binding,2568,0.027800493250259604,0.005031173824454328,0.05793940922153114,False
NSW1-QLD1,QNI,forward,K2,N-ARKS_965,N-ARKS_965,binding,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARKS_965,N-ARKS_965,binding,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-ARSR_8E,N-ARSR_8E,binding,1071,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARSR_8E,N-ARSR_8E,binding,1071,-0.05102448386762112,-0.09038775985858366,-0.017260367520838153,False
NSW1-QLD1,QNI,forward,K2,N-ARTW_86,N-ARTW_86,binding,917,0.00697928026172301,-0.0018277364638163832,0.022118583163751652,True
NSW1-QLD1,QNI,reverse,K2,N-ARTW_86,N-ARTW_86,binding,917,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-AVMA_17,N-AVMA_17,binding,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-AVMA_17,N-AVMA_17,binding,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-CHKS_ONE,N-CHKS_ONE,binding,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,binding,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DMSR_8J,N-DMSR_8J,binding,786,0.004877014418999151,0.0,0.016981850621385502,True
NSW1-QLD1,QNI,reverse,K2,N-DMSR_8J,N-DMSR_8J,binding,786,0.011358495900480632,-0.016291447270563735,0.04546672699429208,True
NSW1-QLD1,QNI,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,binding,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,binding,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DTSS_11,N-DTSS_11,binding,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTSS_11,N-DTSS_11,binding,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTM_82,N-LDTM_82,binding,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTM_82,N-LDTM_82,binding,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTW_84,N-LDTW_84,binding,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTW_84,N-LDTW_84,binding,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MA_CB172A,N-MA_CB172A,binding,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MA_CB172A,N-MA_CB172A,binding,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MPWW_ONE,N-MPWW_ONE,binding,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MPWW_ONE,N-MPWW_ONE,binding,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-TWUL_85,N-TWUL_85,binding,664,0.021586345381526102,0.0,0.0513347861755696,True
NSW1-QLD1,QNI,reverse,K2,N-TWUL_85,N-TWUL_85,binding,664,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_10+76,N-X_10+76,binding,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_10+76,N-X_10+76,binding,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,binding,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,binding,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,binding,288,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,binding,288,0.02025462962962963,0.0,0.06433823529411764,True
NSW1-QLD1,QNI,forward,K2,N-X_76_8,N-X_76_8,binding,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_76_8,N-X_76_8,binding,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,binding,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,binding,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,binding,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,binding,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,binding,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,binding,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,binding,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,binding,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,binding,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,binding,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,binding,46,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,binding,46,0.03454106280193238,0.0,0.06908212560386472,True
NSW1-QLD1,QNI,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,binding,596,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,binding,596,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BCCP_812,Q-BCCP_812,binding,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BCCP_812,Q-BCCP_812,binding,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BKBM,Q-BKBM,binding,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BKBM,Q-BKBM,binding,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BRTX1,Q-BRTX1,binding,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BRTX1,Q-BRTX1,binding,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-CPWO_813/1,Q-CPWO_813/1,binding,1345,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-CPWO_813/1,Q-CPWO_813/1,binding,1345,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-LCCP_8859,Q-LCCP_8859,binding,328,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,binding,328,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-RGLC_8875,Q-RGLC_8875,binding,530,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,binding,530,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,binding,240,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,binding,240,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HACL_HATR,Q-X_HACL_HATR,binding,487,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HACL_HATR,Q-X_HACL_HATR,binding,487,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HATR2+HA_275BUS,Q-X_HATR2+HA_275BUS,binding,238,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR2+HA_275BUS,Q-X_HATR2+HA_275BUS,binding,238,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HATR3+HACL,Q-X_HATR3+HACL,binding,32,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR3+HACL,Q-X_HATR3+HACL,binding,32,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HATR_TWO,Q-X_HATR_TWO,binding,1115,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HATR_TWO,Q-X_HATR_TWO,binding,1115,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_METR+BKSP,Q-X_METR+BKSP,binding,11,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_METR+BKSP,Q-X_METR+BKSP,binding,11,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_METR+MESP,Q-X_METR+MESP,binding,48,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_METR+MESP,Q-X_METR+MESP,binding,48,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_MRGB_MRGB,Q-X_MRGB_MRGB,binding,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_MRGB_MRGB,Q-X_MRGB_MRGB,binding,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WIDEBAY,Q-X_WIDEBAY,binding,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WIDEBAY,Q-X_WIDEBAY,binding,42,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WIDEBAY_TWO,Q-X_WIDEBAY_TWO,binding,56,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WIDEBAY_TWO,Q-X_WIDEBAY_TWO,binding,56,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_WOSP_WOPW_O,Q-X_WOSP_WOPW_O,binding,28,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_WOSP_WOPW_O,Q-X_WOSP_WOPW_O,binding,28,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,F-T-GO_CB_A752,F-T-GO_CB_A752,binding,515,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,F-T-GO_CB_A752,F-T-GO_CB_A752,binding,515,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-JNWG_RADIAL,N-JNWG_RADIAL,binding,585,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-JNWG_RADIAL,N-JNWG_RADIAL,binding,585,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-LDTW_84,N-LDTW_84,binding,555,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-LDTW_84,N-LDTW_84,binding,555,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-LTWG_RADIAL,N-LTWG_RADIAL,binding,193,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-LTWG_RADIAL,N-LTWG_RADIAL,binding,193,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,N-MMWB_ONE,N-MMWB_ONE,binding,102,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-MMWB_ONE,N-MMWB_ONE,binding,102,0.0,0.0,0.0,True
