week,ic,name,direction,outages,supported_rows,largest_reduction_mw,overlap_max,top_binding_eq,top_binding_p
2026-09-28,V-SA,Heywood,reverse,13,8,-288.76472,12,V^^V_NIL_KGTS,0.1362998921251348
2026-09-28,VIC1-NSW1,VNI,forward,14,11,-290.65218166666665,33,V^^N_DPWG_1,0.1210648148148148
2026-09-28,VIC1-NSW1,VNI,reverse,14,12,-228.6230033333333,33,V>>NIL_MLGT_MLGT,0.1295739348370927
2026-10-05,N-Q-MNSP1,Directlink,forward,11,11,-0.5000000000000036,4,N::Q_ARDM_1,0.0303135888501742
2026-10-05,N-Q-MNSP1,Directlink,reverse,11,9,-2.166668333333334,4,N>>NIL_964_84_S,0.2512820512820513
2026-10-05,NSW1-QLD1,QNI,forward,19,7,-568.0765250000001,52,N>>NIL_33_34,0.7884399551066217
2026-10-05,NSW1-QLD1,QNI,reverse,19,14,-642.8244658333333,52,N>>NIL_964_84_S,0.837121212121212
2026-10-05,T-V-MNSP1,Basslink,forward,4,2,1.5,5,F_T++NIL_MRWF_TG_R6,0.0743209876543209
2026-10-05,T-V-MNSP1,Basslink,reverse,4,2,-62.10539166666672,5,V_T_NIL_FCSPS,0.1871674491392801
2026-10-05,V-S-MNSP1,Murraylink,forward,14,14,-74.14442666666667,9,V^SML_BUDP_3,0.1366126543209876
2026-10-05,V-S-MNSP1,Murraylink,reverse,14,14,-54.508530833333324,9,V^^V_BDBU_KGTS,0.3529914529914529
2026-10-05,V-SA,Heywood,forward,13,11,-125.4913683333333,7,VS_600_TEST,0.0985066621499549
2026-10-05,V-SA,Heywood,reverse,13,3,-159.599665,7,S:V_550_HY_TEST_DYN,0.0814814814814814
2026-10-05,VIC1-NSW1,VNI,forward,15,7,-421.32921,7,V>>N_NIL_65_051,0.2104761904761904
2026-10-05,VIC1-NSW1,VNI,reverse,15,8,-439.56173000000007,7,N^^V_NIL_1,0.1491269841269841
2026-10-12,N-Q-MNSP1,Directlink,forward,18,18,-21.191974166666665,49,F_Q++85_L6,0.0375
2026-10-12,N-Q-MNSP1,Directlink,reverse,18,15,-14.416509166666664,49,N>>NIL_964_84_S,0.1204331343358774
2026-10-12,NSW1-QLD1,QNI,forward,26,12,-568.0765250000001,67,N>>NIL_33_34,0.7606060606060605
2026-10-12,NSW1-QLD1,QNI,reverse,26,18,-167.15890833333322,67,N>>NIL_964_84_S,0.8374999999999999
2026-10-12,T-V-MNSP1,Basslink,forward,3,3,0.7751799999999918,2,F_MAIN++BIP_ML_L1,0.0449606040709127
2026-10-12,T-V-MNSP1,Basslink,reverse,3,3,-30.04568666666665,2,F_MAIN++NIL_MG_R1,0.0232964908440942
2026-10-12,V-S-MNSP1,Murraylink,forward,5,4,-143.03518416666668,4,V^^N_NIL_1,0.0410782901056676
2026-10-12,V-S-MNSP1,Murraylink,reverse,5,4,-34.49999999999999,4,V^^V_BDBU_KGTS,0.1784893689986282
2026-10-12,V-SA,Heywood,forward,6,4,-557.3863433333335,4,VS_600_TEST,0.081937718590261
2026-10-12,V-SA,Heywood,reverse,6,4,-71.63376500000004,4,V>>NIL_MLGT_MLGT,0.2624338624338624
2026-10-12,VIC1-NSW1,VNI,forward,8,7,-253.270005,14,N^^N_NIL_WGLT,0.1968787659677032
2026-10-12,VIC1-NSW1,VNI,reverse,8,7,-913.572165,14,N^^V_NIL_1,0.1009762067395263
2026-10-19,N-Q-MNSP1,Directlink,forward,10,6,-50.86588916666667,24,N>>NIL_33_34,0.0304878048780487
2026-10-19,N-Q-MNSP1,Directlink,reverse,10,6,-50.9245725,24,N>>NIL_964_88_S,0.1189708085821738
2026-10-19,NSW1-QLD1,QNI,forward,12,5,-568.0765250000001,34,F_Q++BCDM_L6,0.4820175228992451
2026-10-19,NSW1-QLD1,QNI,reverse,12,5,-642.8244658333333,34,N>>NIL_964_84_S,0.837121212121212
2026-10-19,V-S-MNSP1,Murraylink,forward,8,8,-95.73228166666668,10,VS_600_TEST,0.0758802445709464
2026-10-19,V-S-MNSP1,Murraylink,reverse,8,8,-12.0,10,V^^V_NIL_KGTS,0.1788003373392373
2026-10-19,V-SA,Heywood,forward,7,3,-67.34878833333332,8,VS_600_TEST,0.0899560503184377
2026-10-19,V-SA,Heywood,reverse,7,0,-28.43272833333333,8,V^^V_NIL_KGTS,0.169549713142797
2026-10-19,VIC1-NSW1,VNI,forward,10,4,-81.30029666666655,20,N^^N_NIL_WGLT,0.1968787659677032
2026-10-19,VIC1-NSW1,VNI,reverse,10,5,-439.56173000000007,20,N^^V_DTSS_1,0.6142156862745097
2026-10-26,N-Q-MNSP1,Directlink,forward,7,6,-36.652375,9,N::Q_ARDM_1,0.0303135888501742
2026-10-26,N-Q-MNSP1,Directlink,reverse,7,6,-6.74325833333333,9,N>>NIL_966/1,0.0816353523911488
2026-10-26,NSW1-QLD1,QNI,forward,8,3,-246.18731666666665,9,F_Q++BCDM_L6,0.4820175228992451
2026-10-26,NSW1-QLD1,QNI,reverse,8,7,-635.4128766666668,9,N>>LDTM_964_81_OPEN,0.2118012422360248
2026-10-26,T-V-MNSP1,Basslink,forward,4,4,0.0,1,F_MAIN++BIP_ML_L1,0.0449606040709127
2026-10-26,T-V-MNSP1,Basslink,reverse,4,4,-39.240889999999965,1,V_T_NIL_FCSPS,0.1871674491392801
2026-10-26,V-S-MNSP1,Murraylink,forward,7,2,-95.73228166666668,6,VS_600_TEST,0.0758802445709464
2026-10-26,V-S-MNSP1,Murraylink,reverse,7,3,-4.200459999999983,6,N^^N_NIL_WGLT,0.2806818181818181
2026-10-26,V-SA,Heywood,forward,5,4,-164.20592333333337,4,VS_HEY_600_TEST,0.25
2026-10-26,V-SA,Heywood,reverse,5,3,-178.29109999999997,4,V^^V_NIL_KGTS,0.169549713142797
2026-10-26,VIC1-NSW1,VNI,forward,3,2,-52.53349666666665,3,N^^N_NIL_WGLT,0.146140023778642
2026-10-26,VIC1-NSW1,VNI,reverse,3,2,-228.6230033333333,3,N^^V_NIL_1,0.0816608493310064
2026-11-02,N-Q-MNSP1,Directlink,forward,12,14,-21.191974166666665,13,N::Q_ARDM_1,0.0303135888501742
2026-11-02,N-Q-MNSP1,Directlink,reverse,12,14,-44.11819,13,N>>NIL_964_88_S,0.1191540904848078
2026-11-02,NSW1-QLD1,QNI,forward,16,7,-149.6292024999999,16,F_Q++8C_L6,0.3586844758655451
2026-11-02,NSW1-QLD1,QNI,reverse,16,14,-290.9186533333334,16,N>>NIL_86_85_S,0.2598200629779577
2026-11-02,T-V-MNSP1,Basslink,forward,4,5,-11.322283333333289,0,F_MAIN++BIP_ML_L1,0.0449606040709127
2026-11-02,T-V-MNSP1,Basslink,reverse,4,5,-39.240889999999965,0,V_T_NIL_FCSPS,0.1871674491392801
2026-11-02,V-S-MNSP1,Murraylink,forward,9,8,-132.73200749999998,4,V^SML_BUDP_3,0.1499793473771169
2026-11-02,V-S-MNSP1,Murraylink,reverse,9,9,-34.496943333333334,4,V^^V_BDBU_KGTS,0.1613944545638528
2026-11-02,V-SA,Heywood,forward,6,6,-183.8582125,2,VS_600_TEST,0.081937718590261
2026-11-02,V-SA,Heywood,reverse,6,3,-178.29109999999997,2,V^^V_NIL_KGTS,0.1362998921251348
2026-11-02,VIC1-NSW1,VNI,forward,12,7,-459.8709483333333,7,N::N_CNCW_2,0.2042929292929293
2026-11-02,VIC1-NSW1,VNI,reverse,12,5,-439.56173000000007,7,N^^V_NIL_1,0.1009762067395263
2026-11-09,N-Q-MNSP1,Directlink,forward,3,5,-21.191974166666665,2,N::Q_ARDM_1,0.0303135888501742
2026-11-09,N-Q-MNSP1,Directlink,reverse,3,5,-44.11819,2,N>>NIL_966/1,0.0816353523911488
2026-11-09,NSW1-QLD1,QNI,forward,5,5,-570.1900625000001,6,F_Q++8C_L6,0.3586844758655451
2026-11-09,NSW1-QLD1,QNI,reverse,5,6,-642.8244658333333,6,F_Q++BCDM_R60,0.0611439842209073
2026-11-09,T-V-MNSP1,Basslink,forward,2,3,-43.88668333333331,0,F_MAIN++BIP_ML_L1,0.024556784272424
2026-11-09,T-V-MNSP1,Basslink,reverse,2,3,22.561411666666665,0,V_T_NIL_FCSPS,0.0018062397372742
2026-11-09,V-S-MNSP1,Murraylink,forward,1,1,5.826681666666673,0,V^^N_LTUT_1,0.0
2026-11-09,V-S-MNSP1,Murraylink,reverse,1,1,12.951436666666652,0,N^^V_LTUT_1,0.0
2026-11-09,VIC1-NSW1,VNI,forward,1,1,15.025150000000052,1,V^^N_LTUT_1,0.0
2026-11-09,VIC1-NSW1,VNI,reverse,1,0,-6.335049999999967,1,N^^V_LTUT_1,0.0
2026-11-16,N-Q-MNSP1,Directlink,forward,6,6,-12.798216666666647,7,N::Q_ARDM_1,0.0303135888501742
2026-11-16,N-Q-MNSP1,Directlink,reverse,6,6,-26.124665,7,N>>NIL_964_88_S,0.1189708085821738
2026-11-16,NSW1-QLD1,QNI,forward,9,3,-570.1900625000001,12,N>>NIL_33_34,0.7884399551066217
2026-11-16,NSW1-QLD1,QNI,reverse,9,7,-619.643605,12,N>>NIL_964_84_S,0.837121212121212
2026-11-16,T-V-MNSP1,Basslink,forward,2,2,-43.88668333333331,1,F_MAIN++BIP_ML_L1,0.024556784272424
2026-11-16,T-V-MNSP1,Basslink,reverse,2,2,41.15816000000001,1,V_T_NIL_FCSPS,0.0
2026-11-16,V-S-MNSP1,Murraylink,forward,1,0,-62.059365,0,S>>NIL_TWPA_TPRS,0.0032051282051282
2026-11-16,V-S-MNSP1,Murraylink,reverse,1,0,-97.121045,0,V>>NIL_MLGT_MLGT,0.0
2026-11-16,VIC1-NSW1,VNI,forward,1,1,-3.8421758333333287,4,V^^N_NIL_1,0.077678164845173
2026-11-16,VIC1-NSW1,VNI,reverse,1,1,-137.93621374999998,4,N^^V_NIL_1,0.1009762067395263
2026-11-23,N-Q-MNSP1,Directlink,forward,7,11,-21.191974166666665,6,N::Q_ARDM_1,0.0303135888501742
2026-11-23,N-Q-MNSP1,Directlink,reverse,7,11,-44.11819,6,N>>NIL_964_88_S,0.1191540904848078
2026-11-23,NSW1-QLD1,QNI,forward,12,8,-570.1900625000001,11,N>>NIL_33_34,0.7884399551066217
2026-11-23,NSW1-QLD1,QNI,reverse,12,13,-619.643605,11,F_Q++86_R60,0.1311226851851851
2026-11-23,T-V-MNSP1,Basslink,forward,3,4,-43.88668333333331,2,F_MAIN++BIP_ML_L1,0.024556784272424
2026-11-23,T-V-MNSP1,Basslink,reverse,3,4,-28.07333416666665,2,V_T_NIL_FCSPS,0.1871674491392801
2026-11-23,V-S-MNSP1,Murraylink,forward,2,2,-132.73200749999998,0,VS_600_TEST,0.0194940295486743
2026-11-23,V-S-MNSP1,Murraylink,reverse,2,2,-34.496943333333334,0,V^^V_BDBU_KGTS,0.1613944545638528
2026-11-23,VIC1-NSW1,VNI,forward,4,5,-459.8709483333333,3,N>>BDBU_970_051,0.0887918186453306
2026-11-23,VIC1-NSW1,VNI,reverse,4,6,-162.04008,3,N^^V_NIL_1,0.1009762067395263
2026-11-30,N-Q-MNSP1,Directlink,forward,1,1,1.7166149999999971,6,N>96L_96R_967_89,0.0012810085400569
2026-11-30,N-Q-MNSP1,Directlink,reverse,1,1,0.4166666666666714,6,N>>NIL_964_84_S,0.0783065985872001
2026-11-30,NSW1-QLD1,QNI,forward,4,3,-14.927091666666698,12,F_Q++8C_L6,0.1150757391163093
2026-11-30,NSW1-QLD1,QNI,reverse,4,3,-290.9186533333334,12,N>>NIL_964_84_S,0.2881470115704515
2026-11-30,T-V-MNSP1,Basslink,forward,3,1,0.0,1,F_MAIN++BIP_ML_L1,0.0150234741784037
2026-11-30,T-V-MNSP1,Basslink,reverse,3,1,-28.07333416666665,1,V_T_NIL_FCSPS,0.1871674491392801
2026-11-30,V-S-MNSP1,Murraylink,forward,1,1,10.499999999999986,1,I_6F_SN_150,0.009731252709146
2026-11-30,V-S-MNSP1,Murraylink,reverse,1,1,-12.0,1,N>>NIL_060_051,0.128763906949863
2026-11-30,VIC1-NSW1,VNI,forward,1,1,-21.57422000000008,4,N::N_CNLT_2,0.0283333333333333
