ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,reverse,K2,Q-GBMU_835_836,Q-GBMU_835_836,setter,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-LCCP_8859,Q-LCCP_8859,setter,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,setter,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-RGLC_8875,Q-RGLC_8875,setter,425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,setter,425,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,setter,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,setter,14,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,110,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,I-BCDM_ONE,I-BCDM_ONE,setter,42,0.14880952380952384,-0.08888888888888889,0.490625,True
NSW1-QLD1,QNI,reverse,K2,I-BCDM_ONE,I-BCDM_ONE,setter,42,-0.06587301587301589,-0.15833333333333335,0.0,True
NSW1-QLD1,QNI,forward,K2,N-ARDM_8C,N-ARDM_8C,setter,2568,0.01966510903426791,0.0027614775495480317,0.0396049539862265,False
NSW1-QLD1,QNI,reverse,K2,N-ARDM_8C,N-ARDM_8C,setter,2568,0.08946002076843197,0.024435487640512912,0.162627316454573,False
NSW1-QLD1,QNI,forward,K2,N-ARKS_965,N-ARKS_965,setter,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARKS_965,N-ARKS_965,setter,297,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-ARSR_8E,N-ARSR_8E,setter,1071,-0.02370577860773939,-0.045187719688420384,-0.004607298112010154,False
NSW1-QLD1,QNI,reverse,K2,N-ARSR_8E,N-ARSR_8E,setter,1071,-0.1584656084656085,-0.2662664468663187,-0.056273871587271145,False
NSW1-QLD1,QNI,forward,K2,N-ARTW_86,N-ARTW_86,setter,917,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-ARTW_86,N-ARTW_86,setter,917,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-AVMA_17,N-AVMA_17,setter,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-AVMA_17,N-AVMA_17,setter,2430,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-CHKS_ONE,N-CHKS_ONE,setter,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,setter,561,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DMSR_8J,N-DMSR_8J,setter,786,-0.0014525021204410517,-0.004986173892472843,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DMSR_8J,N-DMSR_8J,setter,786,0.06509754028837998,0.00020833333333333343,0.16965145658457392,False
NSW1-QLD1,QNI,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,setter,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,setter,1305,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-DTSS_11,N-DTSS_11,setter,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-DTSS_11,N-DTSS_11,setter,1477,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTM_82,N-LDTM_82,setter,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTM_82,N-LDTM_82,setter,2085,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-LDTW_84,N-LDTW_84,setter,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-LDTW_84,N-LDTW_84,setter,552,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MA_CB172A,N-MA_CB172A,setter,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MA_CB172A,N-MA_CB172A,setter,480,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-MPWW_ONE,N-MPWW_ONE,setter,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-MPWW_ONE,N-MPWW_ONE,setter,770,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-TWUL_85,N-TWUL_85,setter,664,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-TWUL_85,N-TWUL_85,setter,664,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_10+76,N-X_10+76,setter,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_10+76,N-X_10+76,setter,9,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,setter,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,setter,289,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,288,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,288,0.026041666666666668,0.0,0.0827205882352941,True
NSW1-QLD1,QNI,forward,K2,N-X_76_8,N-X_76_8,setter,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_76_8,N-X_76_8,setter,18,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,setter,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8E+DM+TW+LS_SVC,N-X_8E+DM+TW+LS_SVC,setter,106,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,setter,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_8U+DM+TW+LS_SVC,N-X_8U+DM+TW+LS_SVC,setter,112,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,setter,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,setter,132,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,setter,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,setter,409,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,setter,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,setter,134,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,setter,46,-0.04106280193236715,-0.0821256038647343,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,setter,46,0.12053140096618357,0.0,0.24106280193236715,True
NSW1-QLD1,QNI,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,setter,596,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,setter,596,0.0,0.0,0.0,True
