name,direction,GENCONSETID,episodes,treated_hours,match_rate,effect_capacity,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,tier
QNI,forward,CA_BRIS_569B1432,1,3.5,1.0,109.52083000000005,24.1242850000001,11.7343616666667,318.0062916666667,False,unsupported
QNI,reverse,CA_BRIS_569B1432,1,3.5,1.0,-61.66363333333334,120.7152016666667,-41.6068283333334,352.9866916666666,True,unsupported
QNI,forward,CA_BRIS_57A00625,0,,,,,,,,unsupported
QNI,reverse,CA_BRIS_57A00625,0,,,,,,,,unsupported
QNI,forward,CA_BRIS_582D74B3,0,,,,,,,,unsupported
QNI,reverse,CA_BRIS_582D74B3,0,,,,,,,,unsupported
QNI,forward,CA_BRIS_59712B29,1,27.5,1.0,119.44018249999988,59.18093916666666,-80.45557416666657,87.87114833333328,True,unsupported
QNI,reverse,CA_BRIS_59712B29,1,27.5,1.0,-122.28190333333328,-10.814492500000028,-66.19254500000011,52.771773333333385,True,unsupported
QNI,forward,CA_SYDS_566A36E5,0,,,,,,,,unsupported
QNI,reverse,CA_SYDS_566A36E5,0,,,,,,,,unsupported
QNI,forward,CA_SYDS_59839EB2,3,28.0,1.0,7.830809583333348,-71.08416166666672,-387.24429,87.87114833333328,True,indicative
QNI,reverse,CA_SYDS_59839EB2,3,28.0,1.0,3.494372500000054,-2.455004166666697,-62.32234833333314,63.33528333333334,True,indicative
QNI,forward,I-BCDM_ONE,2,13.0,1.0,-479.7489833333334,85.81046416666666,-20.907516666666666,623.2799816666667,True,unsupported
QNI,reverse,I-BCDM_ONE,2,13.0,1.0,-642.8244658333333,4.36627625000002,-79.68110333333334,446.1728883333332,True,unsupported
QNI,forward,I-NQ_950_TEST,0,,,,,,,,unsupported
QNI,reverse,I-NQ_950_TEST,0,,,,,,,,unsupported
QNI,forward,N-ARDM_8C,21,1640.0,0.9182926829268293,-446.92650666666674,15.279049166666688,-26.23721464583334,51.050356666666744,True,supported
QNI,reverse,N-ARDM_8C,21,1640.0,0.9182926829268293,-534.0141550000001,-9.55297749999994,-50.18782833333353,29.893586000000028,True,supported
QNI,forward,N-ARKS_965,3,75.0,1.0,46.69433500000008,24.324308333333335,-12.24939329166679,98.3011076041667,True,indicative
QNI,reverse,N-ARKS_965,3,75.0,1.0,-27.132970000000114,-3.0622883333331856,-58.35233666666659,36.19079700000005,True,indicative
QNI,forward,N-ARSR_8E,10,990.0,0.9570707070707071,-505.57287500000007,0.36798333333331357,-21.24136375000002,25.762128333333294,True,supported
QNI,reverse,N-ARSR_8E,10,990.0,0.9570707070707071,-655.8790283333335,32.90728833333333,-1.4301251666666586,71.5177533333333,True,supported
QNI,forward,N-ARTW_86,12,384.0,0.9361979166666666,-62.61887333333334,-3.0627733333333254,-25.42626512499999,23.995942999999972,True,supported
QNI,reverse,N-ARTW_86,12,384.0,0.9361979166666666,-58.78555666666665,27.5170016666666,-11.093776458333245,66.33308570833339,True,supported
QNI,forward,N-AVMA_17,10,722.0,0.9196675900277008,36.36061666666666,-11.428814166666655,-26.881377958333328,0.5476540833333449,True,supported
QNI,reverse,N-AVMA_17,10,722.0,0.9196675900277008,2.4886808333333192,3.508415416666651,-16.48181741666651,23.197623041666677,True,supported
QNI,forward,N-CHKS_ONE,10,202.5,0.9827160493827161,-48.654988333333336,-4.719603333333339,-48.81741508333336,26.93186833333334,True,supported
QNI,reverse,N-CHKS_ONE,10,202.5,0.9827160493827161,13.72745249999997,-3.892500000000041,-45.61926866666657,36.89122333333307,True,supported
QNI,forward,N-DMSR_8J,9,728.0,0.9581043956043956,-246.18731666666665,54.50639833333332,-12.248648666666647,122.89292166666661,True,supported
QNI,reverse,N-DMSR_8J,9,728.0,0.9581043956043956,-635.4128766666668,3.071834583333441,-50.4289792500001,35.78546716666659,True,supported
QNI,forward,N-DTMN_8_15M,9,383.0,0.8616187989556136,-0.7826316666666546,-5.980238333333332,-21.167502166666587,6.833333333333314,True,supported
QNI,reverse,N-DTMN_8_15M,9,383.0,0.8616187989556136,1.7818158333333827,24.1091183333333,0.0,53.87297254166666,True,supported
QNI,forward,N-DTSS_11,9,536.5,0.902143522833178,14.438940833333334,-34.55015833333334,-116.26104649999999,9.531641666666673,True,supported
QNI,reverse,N-DTSS_11,9,536.5,0.902143522833178,57.919491249999965,0.0,-22.516666041666813,18.053229999999985,True,supported
QNI,forward,N-LDTM_82,13,1450.5,0.8965873836608066,0.0,-17.66221166666662,-48.83721729166666,2.7559799583333007,True,supported
QNI,reverse,N-LDTM_82,13,1450.5,0.8965873836608066,4.038773333333438,8.98087333333342,-9.041071666666653,25.151936708333366,True,supported
QNI,forward,N-LDTW_84,7,226.5,0.9403973509933775,-57.33585166666667,10.576898333333332,-13.523755000000008,35.16409833333333,True,supported
QNI,reverse,N-LDTW_84,7,226.5,0.9403973509933775,-36.601209999999995,-11.599166666666633,-53.20175099999997,21.06682712499997,True,supported
QNI,forward,N-MA_CB172A,2,549.0,0.6238615664845173,0.0,3.338788333333298,-31.637941666666734,38.23876833333327,True,unsupported
QNI,reverse,N-MA_CB172A,2,549.0,0.6238615664845173,26.87621333333334,-16.53992541666662,-54.42364166666664,41.04995333333329,True,unsupported
