ic,name,direction,GENCONSETID,effect_capacity,ci_lo_capacity,ci_hi_capacity,tier,episodes,treated_hours,relation,ci_excludes_zero
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,13.500000000000007,-4.1000000000000085,30.759198333333323,unsupported,14,114.5,relevant,False
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,14.216666666666669,4.234753333333334,17.791028333333344,supported,14,114.5,relevant,True
N-Q-MNSP1,Directlink,forward,N-X_AVMA_KCTX,-3.013485000000003,-12.377554999999994,2.4914733333333317,unsupported,2,35.0,relevant,False
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_KCTX,-4.366666666666667,-17.700000000000003,-2.70000000000001,unsupported,2,35.0,relevant,True
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,-0.1825716666666608,-9.966666666666669,5.828445791666667,supported,10,102.5,relevant,False
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,9.216666666666654,-0.010982999999999018,17.50833333333331,supported,10,102.5,relevant,False
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,-3.491657499999995,-3.491657499999995,-3.491657499999995,unsupported,2,11.5,relevant,True
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,-6.74325833333333,-6.74325833333333,-6.74325833333333,unsupported,2,11.5,relevant,True
N-Q-MNSP1,Directlink,forward,N-X_LPSS_MPWW,-0.2709549999999936,-7.4996810416666735,8.356733333333338,supported,5,535.0,relevant,False
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,3.316666666666677,-10.152083333333325,25.183333333333337,supported,5,535.0,relevant,False
N-Q-MNSP1,Directlink,forward,Q-BKBM,-0.10744000000001108,-9.35412783333334,5.295692666666655,supported,14,480.5,relevant,False
N-Q-MNSP1,Directlink,reverse,Q-BKBM,28.30000000000001,14.030000000000012,39.241666666666674,supported,14,480.5,relevant,True
N-Q-MNSP1,Directlink,forward,Q-GBMU_835_836,1.1176733333333146,-4.240435124999991,6.964089999999999,supported,17,2297.0,relevant,False
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,3.0665183333333204,-2.8938194583333336,9.61715341666666,unsupported,17,2297.0,relevant,False
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,11.849902499999992,-0.003769999999988727,31.675164999999993,unsupported,9,135.5,relevant,False
N-Q-MNSP1,Directlink,reverse,Q-LCCP_8859,-50.9245725,-60.482808333333345,-30.79968333333335,supported,9,135.5,relevant,True
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,-0.7175616666666684,-18.80874,13.734846666666655,supported,12,183.5,relevant,False
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,-20.008148333333338,-36.04369749999999,0.5199349999999938,unsupported,12,183.5,relevant,False
NSW1-QLD1,QNI,forward,CA_BRIS_569B1432,109.52083000000005,109.52083000000005,109.52083000000005,unsupported,1,3.5,relevant,True
NSW1-QLD1,QNI,reverse,CA_BRIS_569B1432,-61.66363333333334,-61.66363333333334,-61.66363333333334,unsupported,1,3.5,relevant,True
NSW1-QLD1,QNI,forward,CA_BRIS_57A00625,,,,unsupported,0,,relevant,False
