SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
T287_DWF,Dulacca Wind Farm,QLD1,Powerlink,way/1290871203,Dulacca Wind Farm,-26.632068,149.8660408,name_match,medium
RYE_PARK,Rye Park Wind Farm South,NSW1,Transgrid,,,,,unmatched,
WOLLAR_W,Wollar West 330kV Substation,NSW1,Transgrid,,,,,unmatched,
NYNGN_SF,Nyngan Solar Farm,NSW1,Essential E,,,,,unmatched,
Z13_BCMB,Z13_BOULDERCOMBE BESS,QLD1,Powerlink,,,,,unmatched,
RYE_P_WF,Rye Park Wind Farm North,NSW1,Transgrid,,,,,unmatched,
RIVERINA,Riverina132kV Substation,NSW1,Transgrid,,,,,unmatched,
WYA_SF,Wyalong Solar Farm,NSW1,Essential E,,,,,unmatched,
Z35_CCB,Z035 CHINCHILLA BESS STATION,QLD1,Powerlink,,,,,unmatched,
EMRLDWST,Emerald West Tee Station,QLD1,Powerlink,,,,,unmatched,
DUBBO132,Dubbo 132 substation,NSW1,Essential E,way/174991765,Dubbo Zone Substation,-32.2487432,148.6295939,name_match,medium
NEVRT_SF,Nevertire substation,NSW1,Essential E,,,,,unmatched,
NRMN_STH,Narromine South substation,NSW1,Essential E,way/587773645,Narromine South Switching Substation,-32.258387,148.2634574,name_match,medium
DUBOWEST,Dubbo West substation,NSW1,Essential E,way/943438689,Dubbo West Zone Substation,-32.2402651,148.5805216,name_match,medium
DUBO_STH,Dubbo South substation,NSW1,Essential E,way/173401274,Dubbo South Zone Substation,-32.2693761,148.6297235,name_match,medium
TI_BESS,Torrens Island BESS,SA1,AEMO,,,,,unmatched,
COOR_2,Coorong2 SF,SA1,AEMO,,,,,unmatched,
R14_TUMM,TUMMAVILLE 330KV,QLD1,Powerlink,way/1148235139,Tummaville Substation,-27.9633296,151.5111885,name_match,medium
H90_TLYS,TULLY SOUTH 275KV,QLD1,Powerlink,,,,,unmatched,
H162_BNB,H162 BANANA BRIDGE,QLD1,Powerlink,,,,,unmatched,
R15_MISS,MISS 330KV,QLD1,Powerlink,,,,,unmatched,
T256_GRL,T256 GREENLAND 1,QLD1,Powerlink,,,,,unmatched,
Z34_BGSF,Z34 BLUE GRASS SOLAR FARM,QLD1,Powerlink,,,,,unmatched,
H169_EUR,EUROA 275KV,QLD1,Powerlink,,,,,unmatched,
SSMTN,MYRTLETOWN 110KV,QLD1,Powerlink,way/349559643,Myrtletown substation,-27.4030007,153.1303947,name_match,medium
T257_FRI,T257_FRI IRONBARK 13,QLD1,Powerlink,,,,,unmatched,
GYDR_WF,Goyder South Wind Farm,SA1,ElectraNet,,,,,unmatched,
WALAWALA,Walla Walla 330kV,NSW1,Transgrid,,,,,unmatched,
H93_GUMN,Guybal Munjan 275 kV,QLD1,Powerlink,way/1172891447,Guybal Munjan Substation,-18.8578919,145.8406262,name_match,medium
R13_MNWFMACNT_WF,Macintyre North 330kV,QLD1,Powerlink,,,,,unmatched,
STUBO_SF,Stubbo 330kV station,NSW1,Transgrid,,,,,unmatched,
CRTS,Cressy 500 kV Station,VIC1,AusNet,,,,,unmatched,
H100_CKN,H100 CLARKE CREEK WIND FARM NORTH,QLD1,Powerlink,,,,,unmatched,
H102_CKC,H102 CLARKE CREEK WIND FARM CENTRAL,QLD1,Powerlink,,,,,unmatched,
H97_ARUM,AURUMFIELD 275KV,QLD1,Powerlink,way/1295556559,Aurumfield,-18.8747872,144.1452074,name_match,medium
H138_TRB,H138 TARONG BESS STATION,QLD1,Powerlink,,,,,unmatched,
WAR_BESS,Waratah BESS,NSW1,Transgrid,,,,,unmatched,
GPTS,Golden Plains 220 kV Station,VIC1,AusNet,,,,,unmatched,
WEL_N_SF,Wellington North SF,NSW1,AEMO,,,,,unmatched,
R17_MSWF,Macintyre South (R17),QLD1,Powerlink,,,,,unmatched,
BUNDEY,Bundey 330kV Substation,NSW1,Transgrid,,,,,unmatched,
GPEC,Golden Plains Wind Farm,VIC1,AusNet,,,,,unmatched,
H148_DMN,H148 DIAMONDY,QLD1,Powerlink,,,,,unmatched,
H121_WDB,Western Downs BESS (H121),QLD1,AEMO,,,,,unmatched,
SSTPS,TOWNSVILLE PORT 66kV,QLD1,Powerlink,way/549146598,Townsville Port,-19.260312,146.8327739,name_match,medium
ERA_BESS,Eraring BESS Substation,NSW1,Transgrid,,,,,unmatched,
KOTS,Koorangie 220 kV Station,VIC1,AusNet,,,,,unmatched,
