ic,name,direction,level,key,families,layer,GENCONSETID,tier,n_units,treated_hours,own_treated,own_control,own_diff,own_ci_lo,own_ci_hi,treated_coverage,any_treated,any_control,any_diff,any_ci_lo,any_ci_hi,class_own_set_treated,class_own_set_control,class_other_outage_set_treated,class_other_outage_set_control,class_system_normal_other_treated,class_system_normal_other_control,class_fcas_treated,class_fcas_control,class_ramp_discretionary_treated,class_ramp_discretionary_control,top1_treated,top1_treated_share,top1_control_share,top1_control,top1_control_share_c,top1_control_share_t
VIC1-NSW1,VNI,reverse,K2,N-X_3L+11_WG_CLOSE,N-X_3L+11_WG_CLOSE,setter,N-X_3L+11_WG_CLOSE,unsupported,157,78.5,0.6464968152866241,0.0,0.6464968152866241,0.47679324894514774,0.8412698412698413,1.0,1.0,1.0,0.0,0.0,0.0,0.6464968152866242,0.0,0.0,0.4842710544939844,0.3503184713375796,0.4743099787685774,0.0,0.0,0.0031847133757961785,0.04141896673743807,N^^V_3L+11_1,0.6464968152866242,0.0,N^^V_CTMN_1,0.4554317055909412,0.0
VIC1-NSW1,VNI,forward,K2,N-X_3L+2_WG_CLOSE,N-X_3L+2_WG_CLOSE,setter,N-X_3L+2_WG_CLOSE,indicative,77,38.5,0.5411255411255411,0.0,0.5411255411255411,0.5049019607843137,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.5411255411255415,0.0,0.10606060606060605,0.2977633477633478,0.35281385281385286,0.6553391053391054,0.0,0.0,0.0,0.046897546897546896,N::N_3L+2_2,0.5411255411255415,0.0,V>>N_NIL_65_051,0.1872294372294373,0.0
VIC1-NSW1,VNI,reverse,K2,N-X_3L+2_WG_CLOSE,N-X_3L+2_WG_CLOSE,setter,N-X_3L+2_WG_CLOSE,indicative,77,38.5,0.7359307359307359,0.0,0.7359307359307359,0.6372549019607843,0.8666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.7359307359307361,0.0,0.0,0.358874458874459,0.2554112554112554,0.611904761904762,0.0,0.0,0.008658008658008658,0.029220779220779224,N^^V_2+3L_1,0.7359307359307361,0.0,N^^V_NIL_1,0.5130591630591631,0.0
VIC1-NSW1,VNI,forward,K2,N-X_4+07_WG_CLOSE,N-X_4+07_WG_CLOSE,setter,N-X_4+07_WG_CLOSE,indicative,269,134.5,0.4851301115241636,0.014580751755472944,0.47054935976869067,0.3059134631922944,0.6066927956563586,1.0,1.0,1.0,0.0,0.0,0.0,0.4851301115241643,0.014580751755472944,0.13258983890954149,0.2800392399834779,0.3562577447335812,0.6989363899215203,0.0,0.0,0.02602230483271375,0.00644361833952912,N::N_4+07_2,0.3630731102850069,0.0,V::N_NIL_V2,0.23651383725733197,0.16604708798017354
VIC1-NSW1,VNI,reverse,K2,N-X_4+07_WG_CLOSE,N-X_4+07_WG_CLOSE,setter,N-X_4+07_WG_CLOSE,indicative,269,134.5,0.7565055762081785,0.004646840148698885,0.7518587360594795,0.610745497881356,0.8735866566965769,1.0,1.0,1.0,0.0,0.0,0.0,0.7565055762081802,0.004646840148698884,0.11214374225526637,0.48697852127220176,0.12887236679058237,0.49612763320941783,0.0,0.0,0.002478314745972738,0.01224700536968195,N^^V_4+07_1,0.7565055762081802,0.004646840148698884,N^^V_CTMN_1,0.318143329202809,0.0
VIC1-NSW1,VNI,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,N-X_4+17_WG_CLOSE,unsupported,120,60.0,0.3902777777777777,0.0,0.3902777777777777,0.10344827586206896,0.6586021505376345,1.0,1.0,1.0,0.0,0.0,0.0,0.39027777777777795,0.0,0.1861111111111111,0.37009259259259253,0.41944444444444445,0.5966666666666667,0.0,0.0,0.004166666666666666,0.03324074074074074,V^^N_4+17_1,0.3027777777777779,0.0,N>>NIL_990_051,0.24004629629629634,0.06666666666666665
VIC1-NSW1,VNI,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,setter,N-X_4+17_WG_CLOSE,unsupported,120,60.0,0.0013888888888888887,0.0,0.0013888888888888887,0.0,0.005208333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0013888888888888887,0.0,0.30277777777777776,0.3736574074074075,0.6875000000000007,0.611087962962963,0.0,0.0,0.008333333333333331,0.015254629629629628,N^^V_NIL_ARWBBA,0.49027777777777837,0.3001388888888889,N^^V_NIL_ARWBBA,0.3001388888888889,0.49027777777777837
VIC1-NSW1,VNI,forward,K2,N-X_5+07_WG_CLOSE,N-X_5+07_WG_CLOSE,setter,N-X_5+07_WG_CLOSE,unsupported,47,23.5,0.9113475177304964,0.0,0.9113475177304964,0.8869047619047619,0.9473684210526315,1.0,1.0,1.0,0.0,0.0,0.0,0.9113475177304967,0.0,0.0851063829787234,0.7418439716312056,0.0035460992907801418,0.2581560283687943,0.0,0.0,0.0,0.0,N::N_5+07_2,0.8829787234042555,0.0,V^^N_MNYS_1,0.36702127659574474,0.0851063829787234
VIC1-NSW1,VNI,reverse,K2,N-X_5+07_WG_CLOSE,N-X_5+07_WG_CLOSE,setter,N-X_5+07_WG_CLOSE,unsupported,47,23.5,0.9432624113475178,0.0,0.9432624113475178,0.9047619047619048,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9432624113475181,0.0,0.0,0.9624113475177305,0.05673758865248226,0.0375886524822695,0.0,0.0,0.0,0.0,N^^V_5+07_1,0.9432624113475181,0.0,N^^V_CTMN_1,0.7070921985815602,0.0
VIC1-NSW1,VNI,forward,K2,N-X_61_76,N-X_61_76,setter,N-X_61_76,unsupported,35,17.5,0.18571428571428572,0.0,0.18571428571428572,0.0,0.38235294117647056,1.0,1.0,1.0,0.0,0.0,0.0,0.1857142857142857,0.0,0.0,0.08476190476190476,0.7857142857142858,0.9152380952380953,0.0,0.0,0.02857142857142857,0.0,V>>N_NIL_65_051,0.6666666666666667,0.5822222222222223,V>>N_NIL_65_051,0.5822222222222223,0.6666666666666667
VIC1-NSW1,VNI,reverse,K2,N-X_61_76,N-X_61_76,setter,N-X_61_76,unsupported,35,17.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13809523809523808,1.0000000000000002,0.8619047619047622,0.0,0.0,0.0,0.0,N^^V_NIL_1,1.0000000000000002,0.655873015873016,N^^V_NIL_1,0.655873015873016,1.0000000000000002
VIC1-NSW1,VNI,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,setter,N-X_AVMA_SSWW,supported,198,99.0,0.132996632996633,0.0,0.132996632996633,0.042109586241589635,0.2645768356892533,1.0,1.0,1.0,0.0,0.0,0.0,0.13299663299663297,0.0,0.32659932659932656,0.5102833894500561,0.537878787878788,0.4805695847362514,0.0,0.0,0.0025252525252525255,0.009147025813692481,V::N_NIL_V2,0.1582491582491583,0.07748316498316497,V^^N_MNYS_1,0.11171436588103258,0.0
VIC1-NSW1,VNI,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,setter,N-X_AVMA_SSWW,supported,198,99.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14898989898989903,0.5874017957351294,0.8510101010101011,0.40558361391694747,0.0,0.0,0.0,0.007014590347923681,N^^V_NIL_1,0.6801346801346801,0.22944725028058374,N^^V_CTMN_1,0.3117283950617286,0.015993265993265997
VIC1-NSW1,VNI,forward,K2,N-X_BABU_BADP_MNYS,N-X_BABU_BADP_MNYS,setter,N-X_BABU_BADP_MNYS,unsupported,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,V>>N_X5_65_66,0.8333333333333333,0.0,V::N_SETB_V1,0.8333333333333333,0.0
VIC1-NSW1,VNI,reverse,K2,N-X_BABU_BADP_MNYS,N-X_BABU_BADP_MNYS,setter,N-X_BABU_BADP_MNYS,unsupported,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,N^^V_BABU_BADP_5_1,1.0,0.0,N^^V_NIL_1,1.0,0.0
VIC1-NSW1,VNI,forward,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,setter,N-X_BWWO_BWLD,unsupported,67,33.5,0.25124378109452733,0.0,0.25124378109452733,0.18095238095238098,0.328125,1.0,1.0,1.0,0.0,0.0,0.0,0.2512437810945274,0.0,0.11940298507462686,0.16666666666666666,0.6293532338308456,0.8323383084577114,0.0,0.0,0.0,0.0009950248756218905,V^^N_NIL_1,0.28358208955223874,0.15609452736318408,V::N_NIL_V1,0.4246683250414594,0.017412935323383085
VIC1-NSW1,VNI,reverse,K2,N-X_BWWO_BWLD,N-X_BWWO_BWLD,setter,N-X_BWWO_BWLD,unsupported,67,33.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04975124378109453,0.12587064676616916,0.9502487562189057,0.87363184079602,0.0,0.0,0.0,0.0004975124378109452,N^^V_NIL_ARWBBA,0.674129353233831,0.21882255389718072,N^^V_NIL_1,0.5397180762852406,0.12686567164179102
VIC1-NSW1,VNI,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,setter,N-X_LPSS_MPWW,supported,684,342.0,0.005604288499025341,0.0,0.005604288499025341,0.0,0.014379285852708007,1.0,1.0,1.0,0.0,0.0,0.0,0.005604288499025341,0.0,0.3442982456140351,0.32069525666016885,0.6172027290448342,0.6533138401559453,0.0,0.0,0.03289473684210526,0.025990903183885635,V::N_NIL_V2,0.1530214424951267,0.07372076023391816,V^^N_NIL_1,0.23463693957114998,0.11452241715399605
VIC1-NSW1,VNI,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,setter,N-X_LPSS_MPWW,supported,684,342.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23464912280701739,0.06098115659519168,0.7587719298245592,0.9352379792072757,0.0,0.0,0.006578947368421052,0.003780864197530864,N^^V_NIL_1,0.30823586744639225,0.46277209226770466,N^^V_NIL_1,0.46277209226770466,0.30823586744639225
