n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,placebo_n,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,ic,name,direction,level,key,GENCONSETID,episodes,lead_share,tier,treated_at_limit,control_at_limit,effect_at_limit
56,56,1.0,28.0,2.0,0.9464285714285714,7.830809583333348,692.7808691666667,656.0452691666667,65.29982083333329,1293.3053525,1285.9514466666667,-59.63863166666664,-608.5730908333333,-639.8474816666667,0.0,0.0,0.0,0.0,0.0,0.0,25.53385000000003,685.8358949999999,642.341615,-2.090990915999999,4.412960444267513,68.1799493255,0.0,9.416629299224239,75.66560193014863,1.3873672226337592,-3.7602033333333793,60.74205000000006,-9.412948333333134,193.33477333333326,-69.94377166666663,-38.95980999999995,-1.195251038247409,-0.021727908536736642,0.326661463121626,0.30921382912635603,0.9902559785875436,-0.06333188159645815,-0.021412259423250177,0.015333240467326002,1.5083424036914193,0.0,0.30921382912635603,0.9464285714285714,0.0,0.05357142857142857,110.0,-71.08416166666672,-387.24429,87.87114833333328,True,NSW1-QLD1,QNI,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,3,0.0,indicative,0.0,0.0,0.0
56,56,1.0,28.0,2.0,0.9464285714285714,3.494372500000054,1097.660585,1124.975565,-92.33994166666685,416.88468416666666,428.40021333333334,59.63863166666664,608.5730908333333,639.8474816666667,0.0,0.0,0.0,0.0,0.0,0.0,-11.191045000000031,1037.119645,1091.948285,0.04099999999999682,105.01910628224987,1.631999999999998,15.118743926773348,59.216670104391035,0.0,0.32478259154336186,-1.2989116666667542,8.500771666666651,-94.803045,-89.8768383333337,38.95980999999995,69.94377166666663,-1.195251038247409,-0.021727908536736642,0.326661463121626,0.30921382912635603,0.9902559785875436,-0.06333188159645815,-0.021412259423250177,0.015333240467326002,1.5083424036914193,0.0,0.30921382912635603,0.9464285714285714,0.0,0.05357142857142857,110.0,-2.455004166666697,-62.32234833333314,63.33528333333334,True,NSW1-QLD1,QNI,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,3,0.625,indicative,0.375,0.2767857142857143,0.0982142857142857
26,26,1.0,13.0,2.0,0.5384615384615384,-479.7489833333334,245.475975,719.4895841666666,-1103.2784433333334,51.348788333333346,1358.7381300000002,553.2018441666667,212.60599749999997,-594.4958366666666,1.0,1.0,0.0,0.0,0.0,0.0,-523.4085600000001,174.82772,699.165215,0.0,4.741004249999993,10.862629499999997,0.0,2.1696312000000013,4.696380700000001,-83.01334519280329,-583.650425,-397.77941333333337,-1177.879008333333,-1061.89147,328.2313933333333,529.8769333333335,0.2817147507124161,-0.10341916239395503,1.541738217177366,1.0585626066406983,-1.312174945032637,-1.0687774262764176,0.15159958767996087,-0.0029015915961874018,-1.3218081234857124,0.0,1.0687774262764176,0.5384615384615384,0.0,0.46153846153846156,42.0,85.81046416666666,-20.907516666666666,623.2799816666667,True,NSW1-QLD1,QNI,forward,K2,I-BCDM_ONE,I-BCDM_ONE,2,0.6923076923076923,unsupported,0.23076923076923078,0.07692307692307693,0.15384615384615385
26,26,1.0,13.0,2.0,0.5384615384615384,-642.8244658333333,215.3364183333333,895.7855416666666,-0.0011458333332541315,450.3569591666667,108.45664083333332,-553.2018441666667,-212.60599749999997,594.4958366666666,1.0,1.0,0.0,0.0,0.0,0.0,-666.7028849999999,182.048205,890.14938,3.67209001763157,37.07128532808487,22.47776111268209,-4.522567892774905,45.24115552751143,50.314491353479575,-67.24213897279726,-890.0151366666668,-598.7120316666667,-76.28156000000013,-0.0006099999999946704,-793.5030708333331,-576.5267549999999,0.2817147507124161,-0.10341916239395503,1.541738217177366,1.0585626066406983,-1.312174945032637,-1.0687774262764176,0.15159958767996087,-0.0029015915961874018,-1.3218081234857124,0.0,1.0687774262764176,0.5384615384615384,0.0,0.46153846153846156,42.0,4.36627625000002,-79.68110333333334,446.1728883333332,True,NSW1-QLD1,QNI,reverse,K2,I-BCDM_ONE,I-BCDM_ONE,2,0.0,unsupported,0.19230769230769232,0.5,-0.3076923076923077
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,forward,K2,I-NQ_950_TEST,I-NQ_950_TEST,0,,unsupported,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,reverse,K2,I-NQ_950_TEST,I-NQ_950_TEST,0,,unsupported,,,
3280,3012,0.9182926829268293,1640.0,80.0,0.5132802124833997,-446.92650666666674,93.94019500000002,563.6756920833334,-470.76741749999997,408.2471,913.3204466666666,65.6755458333333,-305.018515,-394.56397791666666,1.0,1.0,0.0,0.0,0.0,0.0,-439.527625,79.049215,532.66196,0.0,62.20887178003403,120.43842100846132,0.0,61.92506019543147,133.7357985485486,-85.38438850029107,-495.6668460833333,-384.5129087083332,-535.5375980833334,-383.2919305416668,24.551003125,106.91486987499997,0.11018761961600182,-0.107125929367885,-0.24240929396367505,-0.05133350283473132,-0.00580487884235617,0.13526346412014423,-0.006038371886930893,-0.0012485853590214896,0.34129489796032575,0.0,0.13526346412014423,0.5132802124833997,0.19820717131474103,0.28851261620185925,2568.0,15.279049166666688,-26.23721464583334,51.050356666666744,True,NSW1-QLD1,QNI,forward,K2,N-ARDM_8C,N-ARDM_8C,21,0.24451219512195121,supported,0.05909694555112882,0.025730411686586987,0.03336653386454183
3280,3012,0.9182926829268293,1640.0,80.0,0.5132802124833997,-534.0141550000001,313.63983916666666,942.3614666666667,-349.4529141666667,-0.0007724999999965121,402.87005624999995,-65.20597666666666,305.018515,398.138865,1.0,1.0,0.0,0.0,0.0,0.0,-548.065345,248.841885,889.675605,0.0,0.0,8.148962466487935,0.0,0.0,6.9190914879356535,-56.56143861016372,-582.8669662500001,-472.64288,-419.92419512500004,-263.12865375,-100.41508683333333,-24.969351125,0.11018761961600182,-0.10181281639316787,-0.24240929396367505,-0.04621038522843802,-0.00580487884235617,0.13590699390092947,-0.006038371886930893,-0.0012082558482402993,0.34129489796032575,0.0,0.13590699390092947,0.5132802124833997,0.20717131474103587,0.2795484727755644,2568.0,-9.55297749999994,-50.18782833333353,29.893586000000028,True,NSW1-QLD1,QNI,reverse,K2,N-ARDM_8C,N-ARDM_8C,21,0.3673780487804878,supported,0.7470119521912351,0.2294156706507304,0.5175962815405046
150,150,1.0,75.0,5.0,0.34,46.69433500000008,679.785125,645.2333725000001,-195.67069333333325,1130.5775108333332,1395.2481079166666,206.43225708333335,-541.5325516666667,-810.4889058333333,0.0,0.0,0.0,0.0,0.0,0.0,43.11180999999999,658.136915,598.77007,1.6160536847599047,423.80901650835074,203.198254355428,22.31053862664112,412.13708305845523,152.1430851615028,8.272732106723574,0.0,118.90341166666667,-600.1240611666667,80.12677524999944,-1.3230150000001686,514.0337958333333,-0.5837391944367509,0.08393700006318246,-0.11638583675936097,0.2753120871727574,0.6768861765529377,-0.3668786275546279,0.028969236152373082,-0.022455407710040266,-0.7119619008988887,0.0,0.3668786275546279,0.34,0.29333333333333333,0.36666666666666664,297.0,24.324308333333335,-12.24939329166679,98.3011076041667,True,NSW1-QLD1,QNI,forward,K2,N-ARKS_965,N-ARKS_965,3,0.0,indicative,0.0,0.0,0.0
150,150,1.0,75.0,5.0,0.34,-27.132970000000114,1053.5360808333335,1084.9394225,102.65202666666664,487.6652241666667,203.56441624999994,-206.43225708333335,541.5325516666667,811.8165483333333,0.0,0.0,0.0,0.0,0.0,0.0,-29.555025,1031.2296099999999,1064.86178,0.0,14.954105019448981,32.883782841823034,0.0,15.246195233846422,15.276059071200564,-2.6638276428741694,-120.77943500000003,7.953148333333502,-3.3333333249174757e-06,537.7227827916656,-514.0337958333333,-14.178698333333386,-0.5837391944367509,0.07969894571199122,-0.11638583675936097,0.2410678234290102,0.6768861765529377,-0.3547860915925878,0.028969236152373082,-0.0459128999705871,-0.7119619008988887,0.0,0.3547860915925878,0.34,0.24666666666666667,0.41333333333333333,297.0,-3.0622883333331856,-58.35233666666659,36.19079700000005,True,NSW1-QLD1,QNI,reverse,K2,N-ARKS_965,N-ARKS_965,3,0.11333333333333333,indicative,0.22,0.39,-0.17
