name,direction,units_n,capacity_effect,at_limit_effect,flow_effect,regime,driver
Basslink,forward,774,-3.0,-0.029069767441860465,-15.479099999999988,low,Temperature
Basslink,forward,3439,0.0,0.02747891829020064,0.0,normal,Temperature
Basslink,forward,1455,8.38333833333337,0.007903780068728522,13.7457316666667,high,Temperature
Basslink,reverse,774,12.882045833333336,0.041343669250646,14.478340833333334,low,Temperature
Basslink,reverse,3439,-0.7994800000000168,0.01715615004361733,0.0,normal,Temperature
Basslink,reverse,1455,-23.437116666666725,-0.02577319587628866,-14.968605000000025,high,Temperature
Directlink,forward,2258,0.9516833333333352,-0.020150575730735164,0.0,low,Temperature
Directlink,forward,8816,-1.828419583333337,0.021551724137931036,0.0,normal,Temperature
Directlink,forward,3335,0.0011383333333441215,-0.0073463268365817095,0.47197333333335223,high,Temperature
Directlink,reverse,1525,0.0833333333333286,0.007213114754098361,0.0,low,Temperature
Directlink,reverse,6344,1.953122916666663,0.004650063051702396,0.01499666666666144,normal,Temperature
Directlink,reverse,2478,0.131865833333336,0.009483454398708636,-0.7361416666666649,high,Temperature
Heywood,forward,2885,-38.529493333333335,0.08596187175043328,34.64639,low,Temperature
Heywood,forward,10829,-13.574946666666733,0.04825006925847262,-4.081168333333267,normal,Temperature
Heywood,forward,3258,9.205032499999987,0.03483732351135666,18.819225,high,Temperature
Heywood,reverse,3022,-38.28935249999998,-0.02068166776968895,-29.369987083333356,low,Temperature
Heywood,reverse,10741,-12.742657500000064,0.027232101294106695,11.118928333333344,normal,Temperature
Heywood,reverse,3299,-29.102944999999977,0.059411943013034256,-19.636766666666745,high,Temperature
Murraylink,forward,2511,0.0,0.030266825965750695,0.0,low,Temperature
Murraylink,forward,10401,-0.6666666666666714,0.01134506297471397,-1.4560391666666632,normal,Temperature
Murraylink,forward,3941,3.3333333333333333e-06,-0.021314387211367674,0.0,high,Temperature
Murraylink,reverse,2615,-0.9432783333333532,-0.0009560229445506692,0.0,low,Temperature
Murraylink,reverse,11057,1.1666666666666643,-0.006149950257755268,1.1759508333333333,normal,Temperature
Murraylink,reverse,4181,0.0,-0.005740253527864147,0.059038333333319315,high,Temperature
QNI,forward,2529,-175.19408749999997,0.005140371688414393,21.773245833333306,low,Temperature
QNI,forward,10249,-114.83545666666666,0.027953946726509905,9.077703333333375,normal,Temperature
QNI,forward,4001,-92.42157166666667,0.004873781554611347,9.279410000000013,high,Temperature
QNI,reverse,2647,-140.36960833333342,0.3141292028711749,-18.305319999999995,low,Temperature
QNI,reverse,10834,-99.55785541666654,0.1857116485139376,-5.921040416666671,normal,Temperature
QNI,reverse,4380,-77.04218000000003,0.13207762557077626,-6.1794516666667505,high,Temperature
VNI,forward,1819,2.2457158333332927,-0.07146783947223749,-92.82526416666667,low,Temperature
VNI,forward,6867,-43.711226666666676,0.01711081986311344,-30.628650000000107,normal,Temperature
VNI,forward,2720,30.51613125000005,-0.025183823529411765,-34.17479916666668,high,Temperature
VNI,reverse,1589,-85.06484166666661,0.03870358716173694,1.6415149999999699,low,Temperature
VNI,reverse,8486,-36.62004416666673,0.03741456516615602,12.71333000000007,normal,Temperature
VNI,reverse,3890,-33.969323333333364,-0.004627249357326478,-9.352432499999964,high,Temperature
Basslink,forward,1401,-14.904671666666673,-0.009635974304068522,-8.326331666666647,low,VRE difference
Basslink,forward,3328,0.0,0.023737980769230768,3.407747500000024,normal,VRE difference
Basslink,forward,939,0.0,0.019169329073482427,12.886123333333273,high,VRE difference
Basslink,reverse,1401,4.99994833333335,0.10849393290506781,10.548068333333276,low,VRE difference
Basslink,reverse,3328,-6.06937666666667,0.0009014423076923077,-4.935751666666633,normal,VRE difference
Basslink,reverse,939,-13.384784999999965,-0.1080937167199148,-12.862786666666693,high,VRE difference
Directlink,forward,3275,-3.5352833333333322,-0.006564885496183206,-5.950429999999997,low,VRE difference
Directlink,forward,8063,-1.4417516666666614,0.003968746124271363,0.0,normal,VRE difference
Directlink,forward,3071,1.6173233333333457,0.03565613806577662,6.833333333333334,high,VRE difference
Directlink,reverse,2017,9.15000000000002,0.062221120475954385,8.0,low,VRE difference
Directlink,reverse,5771,1.1499999999999986,-0.001386241552590539,0.0,normal,VRE difference
Directlink,reverse,2559,-3.8666666666666742,-0.020906604142243063,-7.674999999999999,high,VRE difference
Heywood,forward,2932,-72.6790675,-0.09379263301500682,-133.41280916666668,low,VRE difference
Heywood,forward,9552,-10.93393583333338,0.049204355108877725,17.32454416666669,normal,VRE difference
Heywood,forward,4488,8.826457499999993,0.15352049910873442,68.34915500000004,high,VRE difference
Heywood,reverse,2852,7.913520833333337,0.10606591865357644,126.05537541666666,low,VRE difference
Heywood,reverse,9813,-16.270761666666658,0.002241923978396005,-12.117730000000002,normal,VRE difference
Heywood,reverse,4397,-87.43898499999999,0.023083920855128497,-54.17823833333334,high,VRE difference
Murraylink,forward,3034,-13.917945000000003,-0.09690177982860909,-16.240661666666654,low,VRE difference
Murraylink,forward,9893,0.0,0.019154958051147277,0.0,normal,VRE difference
Murraylink,forward,3926,4.9999999999999996e-06,0.054635761589403975,0.28536958333333473,high,VRE difference
Murraylink,reverse,3141,15.5,-0.011142948105698823,15.75,low,VRE difference
Murraylink,reverse,10548,0.0,-0.010523321956769055,0.0,normal,VRE difference
Murraylink,reverse,4164,-1.31688166666666,0.012367915465898174,-1.0703500000000048,high,VRE difference
QNI,forward,4451,-171.0556116666667,-0.006178386879352954,-18.41153833333331,low,VRE difference
QNI,forward,8852,-94.14485166666668,0.013612742882964301,10.295025000000024,normal,VRE difference
QNI,forward,3476,-116.87402166666675,0.06501726121979287,81.96614166666667,high,VRE difference
QNI,reverse,4621,-132.04252499999996,0.38032893313135685,29.888075000000015,low,VRE difference
QNI,reverse,9451,-88.93261499999994,0.16315733784784678,-9.552788333333353,normal,VRE difference
QNI,reverse,3789,-96.58215833333327,0.03233043019266297,-77.199515,high,VRE difference
VNI,forward,3105,3.1181400000000394,-0.06086956521739131,-43.38793000000004,low,VRE difference
VNI,forward,6588,-12.019804999999906,-0.028840315725561626,-59.63145166666668,normal,VRE difference
VNI,forward,1713,-101.56148000000007,0.1739638061879743,47.613034999999854,high,VRE difference
VNI,reverse,3577,-5.016211666666663,0.0561923399496785,55.34331166666668,low,VRE difference
VNI,reverse,8084,-49.059891666666644,0.01880257298367145,2.6850491666666585,normal,VRE difference
VNI,reverse,2304,-87.41428250000004,0.003472222222222222,-72.87898583333333,high,VRE difference
Basslink,forward,1079,0.0,-0.0004633920296570899,12.634858333333334,low,Residual-demand difference
Basslink,forward,3372,0.0,0.02609727164887307,0.0,normal,Residual-demand difference
Basslink,forward,1217,-4.325803333333333,-0.003286770747740345,0.0,high,Residual-demand difference
Basslink,reverse,1079,-10.23827833333334,-0.0963855421686747,-12.862786666666693,low,Residual-demand difference
Basslink,reverse,3372,-3.9192833333333397,0.010083036773428233,0.0,normal,Residual-demand difference
Basslink,reverse,1217,0.0,0.10147904683648315,0.0,high,Residual-demand difference
Directlink,forward,2740,0.04176583333333639,0.026824817518248174,5.128705,low,Residual-demand difference
Directlink,forward,8192,-0.5547441666666657,0.00543212890625,0.1666666666666652,normal,Residual-demand difference
Directlink,forward,3477,-2.9666666666666544,0.0005752085130859936,-6.666666666666666,high,Residual-demand difference
Directlink,reverse,2209,-1.6666633333333305,-0.024671797193300135,-5.113753333333333,low,Residual-demand difference
Directlink,reverse,5641,1.13333333333334,-0.01161141641552916,-0.21654333333333398,normal,Residual-demand difference
Directlink,reverse,2497,5.233333333333334,0.0736884261113336,7.78265833333333,high,Residual-demand difference
Heywood,forward,3414,5.739444166666658,0.15260691271236088,67.71020833333333,low,Residual-demand difference
Heywood,forward,9587,-11.501605833333343,0.07697924272452279,14.264466666666692,normal,Residual-demand difference
Heywood,forward,3971,-38.614263333333355,-0.09443465122135482,-73.39022333333327,high,Residual-demand difference
Heywood,reverse,3270,-90.31680874999999,-0.024464831804281346,-66.41494083333333,low,Residual-demand difference
Heywood,reverse,9805,-21.310600000000022,0.024783273839877613,-3.6151666666666813,normal,Residual-demand difference
Heywood,reverse,3987,7.821046666666689,0.06596438424880863,61.437670000000004,high,Residual-demand difference
Murraylink,forward,3080,2.3608708333333084,0.10308441558441558,3.9810912500000057,low,Residual-demand difference
Murraylink,forward,9862,0.0,0.012167917258162644,0.0,normal,Residual-demand difference
Murraylink,forward,3911,-12.679141666666652,-0.08373817437995397,-14.302204999999994,high,Residual-demand difference
Murraylink,reverse,3309,-2.79205166666668,-0.0037775763070414022,-4.274556666666655,low,Residual-demand difference
Murraylink,reverse,10470,0.0,-0.007831900668576886,0.0,normal,Residual-demand difference
