source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
Murraylink,QNI,reverse,N-MNYS_5_WG_CLOSE,7.174336666666704,-12.850689249999949,34.196948250000084
VNI,QNI,forward,N-WAGGA_330_BUSA,-3.1753883333333306,-41.17549666666673,23.018620000000055
VNI,QNI,reverse,N-WAGGA_330_BUSA,-1.8075666666666734,-29.350178333333332,18.087298333333365
VNI,QNI,forward,N-WAGGA_330_BUSB,32.45344250000004,-7.445763333333332,135.87757145833322
VNI,QNI,reverse,N-WAGGA_330_BUSB,72.30805499999997,30.708011666666607,196.65884666666648
Directlink,QNI,forward,N-X_9U6_9G2,8.806856666666704,-150.31829500000003,74.90632666666664
Directlink,QNI,reverse,N-X_9U6_9G2,35.061950000000024,18.773955083333274,101.91761333333329
Directlink,QNI,forward,N-X_ARKK_CH_CB892A,16.02654916666667,-9.490371291666658,58.18409416666666
Directlink,QNI,reverse,N-X_ARKK_CH_CB892A,66.91655499999999,27.614591208333305,138.24243
Directlink,QNI,forward,Q-GBMU_835_836,-6.914040000000114,-31.203409999999995,13.588346416666665
Heywood,QNI,forward,S-BGDV,16.924694999999815,-63.82571750000011,146.7577366666666
Murraylink,QNI,forward,S-BGDV,16.924694999999815,-63.82571750000011,146.7577366666666
Heywood,QNI,reverse,S-BGDV,25.969461666666575,0.3393553333333017,133.244195
Murraylink,QNI,reverse,S-BGDV,25.969461666666575,0.3393553333333017,133.244195
Heywood,QNI,forward,S-KNPW,-47.14981083333331,-115.9931925,12.652416666666682
Heywood,QNI,reverse,S-KNPW,59.82432166666666,-17.589390000000094,124.54166220833325
Heywood,QNI,forward,S-PA_VC1,39.931961666666666,8.745698020833343,89.97789237499995
Murraylink,QNI,forward,S-PA_VC1,39.931961666666666,8.745698020833343,89.97789237499995
Heywood,QNI,reverse,S-PA_VC1,10.556185000000028,-28.216373708333254,52.86577000000011
Murraylink,QNI,reverse,S-PA_VC1,10.556185000000028,-28.216373708333254,52.86577000000011
Heywood,QNI,forward,S-RBTU,-103.82504250000004,-134.548785,-73.04983666666665
Murraylink,QNI,forward,S-RBTU,-103.82504250000004,-134.548785,-73.04983666666665
Heywood,QNI,reverse,S-RBTU,47.187836666666726,7.326874999999973,96.91563066666671
Murraylink,QNI,reverse,S-RBTU,47.187836666666726,7.326874999999973,96.91563066666671
Heywood,QNI,forward,S-SECB6611_10,-1.7950166666666973,-20.182964999999996,16.642371666666747
Heywood,QNI,reverse,S-SECB6611_10,5.818520833333423,-9.00851083333331,21.466184999999996
