source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
Murraylink,Directlink,forward,S-X_BRMN_RBTU,-15.104066666666666,-47.62248166666667,-7.800000000000004
Heywood,Directlink,forward,S-X_MGTI+PATI,-3.9594500000000004,-38.37157166666666,34.020741666666666
Heywood,Directlink,reverse,S-X_MGTI+PATI,-36.08329416666667,-72.909345,-1.60833333333332
VNI,Directlink,forward,V-ARCW,5.106713333333335,-58.893951666666666,34.249266666666664
Heywood,Directlink,forward,V-ARCW,5.106713333333335,-58.893951666666666,34.249266666666664
Murraylink,Directlink,forward,V-ARCW,5.106713333333335,-58.893951666666666,34.249266666666664
VNI,Directlink,reverse,V-ARCW,4.317507499999998,-9.650000000000006,10.233333333333334
Heywood,Directlink,reverse,V-ARCW,4.317507499999998,-9.650000000000006,10.233333333333334
Murraylink,Directlink,reverse,V-ARCW,4.317507499999998,-9.650000000000006,10.233333333333334
VNI,Directlink,forward,V-AR_WB_BA,-0.10000000000000142,-16.800001666666663,18.32409379166666
Heywood,Directlink,forward,V-AR_WB_BA,-0.10000000000000142,-16.800001666666663,18.32409379166666
Murraylink,Directlink,forward,V-AR_WB_BA,-0.10000000000000142,-16.800001666666663,18.32409379166666
VNI,Directlink,reverse,V-AR_WB_BA,11.916666666666686,1.0925666666666665,27.04489991666667
Heywood,Directlink,reverse,V-AR_WB_BA,11.916666666666686,1.0925666666666665,27.04489991666667
Murraylink,Directlink,reverse,V-AR_WB_BA,11.916666666666686,1.0925666666666665,27.04489991666667
VNI,Directlink,reverse,V-BAML1_15M,7.608249166666674,0.09787929166668655,17.94282333333333
Heywood,Directlink,reverse,V-BAML1_15M,7.608249166666674,0.09787929166668655,17.94282333333333
Murraylink,Directlink,reverse,V-BAML1_15M,7.608249166666674,0.09787929166668655,17.94282333333333
VNI,Directlink,forward,V-CRML,-2.1945233333333327,-30.042754604166667,10.769342041666663
Heywood,Directlink,forward,V-CRML,-2.1945233333333327,-30.042754604166667,10.769342041666663
Murraylink,Directlink,forward,V-CRML,-2.1945233333333327,-30.042754604166667,10.769342041666663
Basslink,Directlink,forward,V-CRML,-2.1945233333333327,-30.042754604166667,10.769342041666663
VNI,Directlink,reverse,V-CRML,0.025553333333327544,-14.976901666666663,31.107344999999995
Heywood,Directlink,reverse,V-CRML,0.025553333333327544,-14.976901666666663,31.107344999999995
Murraylink,Directlink,reverse,V-CRML,0.025553333333327544,-14.976901666666663,31.107344999999995
Basslink,Directlink,reverse,V-CRML,0.025553333333327544,-14.976901666666663,31.107344999999995
VNI,Directlink,reverse,V-DDMS,7.316666666666663,1.5496550000000013,19.049999999999983
Heywood,Directlink,reverse,V-DDMS,7.316666666666663,1.5496550000000013,19.049999999999983
Murraylink,Directlink,reverse,V-DDMS,7.316666666666663,1.5496550000000013,19.049999999999983
Basslink,Directlink,reverse,V-DDMS,7.316666666666663,1.5496550000000013,19.049999999999983
VNI,Directlink,forward,V-DDSM,-2.4240325000000027,-9.150949999999995,10.833333333333329
Murraylink,Directlink,forward,V-DDSM,-2.4240325000000027,-9.150949999999995,10.833333333333329
VNI,Directlink,reverse,V-DDSM,12.59563,0.46665500000000293,29.483069999999998
Murraylink,Directlink,reverse,V-DDSM,12.59563,0.46665500000000293,29.483069999999998
VNI,Directlink,forward,V-HYMO,-7.450000000000001,-55.28131833333332,0.37743000000000393
Heywood,Directlink,forward,V-HYMO,-7.450000000000001,-55.28131833333332,0.37743000000000393
Murraylink,Directlink,forward,V-HYMO,-7.450000000000001,-55.28131833333332,0.37743000000000393
Basslink,Directlink,forward,V-HYMO,-7.450000000000001,-55.28131833333332,0.37743000000000393
VNI,Directlink,reverse,V-HYMO,-0.36666666666666714,-17.266666666666666,70.11692000000001
Heywood,Directlink,reverse,V-HYMO,-0.36666666666666714,-17.266666666666666,70.11692000000001
Murraylink,Directlink,reverse,V-HYMO,-0.36666666666666714,-17.266666666666666,70.11692000000001
Basslink,Directlink,reverse,V-HYMO,-0.36666666666666714,-17.266666666666666,70.11692000000001
VNI,Directlink,forward,V-KMRC,-4.511136666666673,-15.666953874999999,1.6008149999999972
Heywood,Directlink,forward,V-KMRC,-4.511136666666673,-15.666953874999999,1.6008149999999972
Murraylink,Directlink,forward,V-KMRC,-4.511136666666673,-15.666953874999999,1.6008149999999972
VNI,Directlink,reverse,V-MLSY_NOEMTT_R,-11.087500000000006,-24.939684374999995,-2.966651666666664
Heywood,Directlink,reverse,V-MLSY_NOEMTT_R,-11.087500000000006,-24.939684374999995,-2.966651666666664
Murraylink,Directlink,reverse,V-MLSY_NOEMTT_R,-11.087500000000006,-24.939684374999995,-2.966651666666664
Basslink,Directlink,reverse,V-MLSY_NOEMTT_R,-11.087500000000006,-24.939684374999995,-2.966651666666664
VNI,Directlink,forward,V-MRKM,-0.13333333333333997,-15.969396666666675,11.274556666666662
Heywood,Directlink,forward,V-MRKM,-0.13333333333333997,-15.969396666666675,11.274556666666662
Murraylink,Directlink,forward,V-MRKM,-0.13333333333333997,-15.969396666666675,11.274556666666662
VNI,Directlink,reverse,V-MRKM,2.3000000000000114,-9.183333333333337,35.550000000000004
Heywood,Directlink,reverse,V-MRKM,2.3000000000000114,-9.183333333333337,35.550000000000004
Murraylink,Directlink,reverse,V-MRKM,2.3000000000000114,-9.183333333333337,35.550000000000004
Murraylink,VNI,forward,I-BURC_X1,-33.62657083333329,-79.69624406250001,19.373829999999998
Murraylink,VNI,forward,I-SVML_044,-12.793518333333168,-197.11182166666651,153.79804166666668
Murraylink,VNI,reverse,I-SVML_044,-38.931461666666564,-153.9141033333334,10.721755833333361
Murraylink,VNI,forward,I-SVML_088,72.90977416666664,-190.79455666666684,208.08736
Murraylink,VNI,reverse,I-SVML_088,-117.67358083333335,-166.22249333333335,-40.958574999999996
Murraylink,VNI,forward,I-SVML_132,63.93495000000007,-27.66418999999999,142.2314166666667
Murraylink,VNI,reverse,I-SVML_132,-8.633389999999963,-96.19607166666674,57.40307166666665
Murraylink,VNI,forward,I-VSML_044,-12.793518333333168,-197.11182166666651,153.79804166666668
Murraylink,VNI,reverse,I-VSML_044,-38.931461666666564,-153.9141033333334,10.721755833333361
Murraylink,VNI,forward,I-VSML_088,72.90977416666664,-190.79455666666684,208.08736
Murraylink,VNI,reverse,I-VSML_088,-117.67358083333335,-166.22249333333335,-40.958574999999996
Murraylink,VNI,forward,I-VSML_132,63.93495000000007,-27.66418999999999,142.2314166666667
Murraylink,VNI,reverse,I-VSML_132,-8.633389999999963,-96.19607166666674,57.40307166666665
Murraylink,VNI,forward,I-VSML_176,125.72801916666674,13.255863333333338,273.83428000000004
Murraylink,VNI,reverse,I-VSML_176,-108.99893750000007,-206.97942833333343,98.02623500000004
QNI,VNI,forward,N-ARDM_8C,5.354366250000009,-27.917159999999967,36.989991875000136
QNI,VNI,reverse,N-ARDM_8C,38.9823825,14.37857166666663,66.69434833333332
QNI,VNI,forward,N-ARSR_8E,1.3776033333333544,-50.19859666666673,55.621758333333275
QNI,VNI,reverse,N-ARSR_8E,15.260933333333298,-26.20921112499997,57.65759833333333
QNI,VNI,forward,N-ARTW_86,-79.09560333333337,-138.5122266666666,-23.405162958333435
Directlink,VNI,forward,N-ARTW_86,-79.09560333333337,-138.5122266666666,-23.405162958333435
QNI,VNI,reverse,N-ARTW_86,-43.86760083333334,-109.8869033333333,11.145494999999983
Directlink,VNI,reverse,N-ARTW_86,-43.86760083333334,-109.8869033333333,11.145494999999983
QNI,VNI,forward,N-CHKS_ONE,-15.034410416666645,-165.73162833333322,66.24354979166675
Directlink,VNI,forward,N-CHKS_ONE,-15.034410416666645,-165.73162833333322,66.24354979166675
Murraylink,VNI,forward,N-CLDE_99L_C,47.46930333333353,-25.307548458333386,132.98521833333325
Murraylink,VNI,reverse,N-CLDE_99L_C,-70.054115,-149.99979833333333,11.172984833333372
QNI,VNI,forward,N-DMSR_8J,76.45726666666667,13.666344208333411,156.24352666666653
QNI,VNI,reverse,N-DMSR_8J,-9.754069999999956,-64.39888745833333,31.51947077083331
Murraylink,VNI,forward,N-GFYC-99J-C,-15.257944583333398,-80.78054000000009,60.53985670833315
Murraylink,VNI,reverse,N-GFYC-99J-C,12.866169999999968,-69.02138000000002,116.79711079166673
QNI,VNI,forward,N-LDTM_82,-25.822568333333322,-74.95330733333333,25.841139874999925
Directlink,VNI,forward,N-LDTM_82,-25.822568333333322,-74.95330733333333,25.841139874999925
QNI,VNI,reverse,N-LDTM_82,-20.336561250000074,-61.80778333333336,22.457606666666607
Directlink,VNI,reverse,N-LDTM_82,-20.336561250000074,-61.80778333333336,22.457606666666607
QNI,VNI,forward,N-LDTW_84,-106.6306858333333,-191.771929,-41.744279166666615
Directlink,VNI,forward,N-LDTW_84,-106.6306858333333,-191.771929,-41.744279166666615
Basslink,VNI,forward,N-LDTW_84,-106.6306858333333,-191.771929,-41.744279166666615
QNI,VNI,reverse,N-LDTW_84,-31.15105166666669,-160.26647833333328,49.0468952083334
Directlink,VNI,reverse,N-LDTW_84,-31.15105166666669,-160.26647833333328,49.0468952083334
Basslink,VNI,reverse,N-LDTW_84,-31.15105166666669,-160.26647833333328,49.0468952083334
QNI,VNI,forward,N-TWUL_85,-99.75796333333335,-305.8856575000001,-11.509683333333328
Directlink,VNI,forward,N-TWUL_85,-99.75796333333335,-305.8856575000001,-11.509683333333328
Basslink,VNI,forward,N-TWUL_85,-99.75796333333335,-305.8856575000001,-11.509683333333328
QNI,VNI,reverse,N-TWUL_85,-0.6713366666665479,-95.12981666666673,69.51620191666666
Directlink,VNI,reverse,N-TWUL_85,-0.6713366666665479,-95.12981666666673,69.51620191666666
Basslink,VNI,reverse,N-TWUL_85,-0.6713366666665479,-95.12981666666673,69.51620191666666
QNI,VNI,forward,N-X_8E+DM+TW+LS_SVC,-23.06985499999996,-482.6392683333333,143.42960666666653
QNI,VNI,reverse,N-X_8E+DM+TW+LS_SVC,-75.64863833333334,-239.30422166666676,-54.75804166666683
Directlink,VNI,reverse,N-X_9U6_9G2,-152.9965216666667,-376.6890883333333,22.865711666666698
QNI,VNI,forward,Q-BKBM,21.370718333333286,-55.68213654166669,74.68692781249993
Directlink,VNI,forward,Q-BKBM,21.370718333333286,-55.68213654166669,74.68692781249993
QNI,VNI,forward,Q-CPWO_813/1,30.95727499999998,-34.34566375000004,81.66673333333335
QNI,VNI,reverse,Q-CPWO_813/1,45.50736416666669,-13.159028291666688,110.71834083333329
Directlink,VNI,forward,Q-GBMU_835_836,-65.72972124999995,-102.02585491666652,-40.06095560416653
Directlink,VNI,reverse,Q-GBMU_835_836,33.19462916666669,1.2629513958333822,65.06340333333333
QNI,VNI,forward,Q-RGLC_8875,50.825500000000034,4.008559166666667,96.47578000000021
Directlink,VNI,forward,Q-RGLC_8875,50.825500000000034,4.008559166666667,96.47578000000021
QNI,VNI,reverse,Q-RGLC_8875,34.63245500000001,-76.30945541666664,184.9685116666667
Directlink,VNI,reverse,Q-RGLC_8875,34.63245500000001,-76.30945541666664,184.9685116666667
QNI,VNI,forward,Q-X_BRHA_TWO,-120.55218916666672,-303.33410999999995,160.984605
Basslink,VNI,forward,Q-X_BRHA_TWO,-120.55218916666672,-303.33410999999995,160.984605
QNI,VNI,forward,Q-X_HACL_HATR,-22.254071666666675,-61.954429999999945,11.01267666666672
QNI,VNI,forward,Q-X_HATR_TWO,16.71456333333336,-46.079978333333315,113.7037234583332
QNI,VNI,forward,Q-X_MRGB_MRGB,2.9304050000000075,-227.80557666666664,86.32265249999989
QNI,VNI,reverse,Q-X_MRGB_MRGB,73.1448683333333,-46.189811666666685,161.07947500000006
Heywood,VNI,forward,S-BGDV,67.80270499999999,-49.43719333333334,189.98886833333324
Murraylink,VNI,forward,S-BGDV,67.80270499999999,-49.43719333333334,189.98886833333324
Heywood,VNI,reverse,S-BGDV,-27.877867083333285,-95.1797233333333,50.19809833333329
Murraylink,VNI,reverse,S-BGDV,-27.877867083333285,-95.1797233333333,50.19809833333329
Heywood,VNI,reverse,S-KNPW,-133.89881000000003,-271.02618666666666,-32.72793833333327
Heywood,VNI,forward,S-PA_VC1,21.744203333333267,-32.90533620833332,79.27607795833337
Murraylink,VNI,forward,S-PA_VC1,21.744203333333267,-32.90533620833332,79.27607795833337
Heywood,VNI,forward,S-RBTU,-9.27901333333341,-105.01307420833318,85.91950324999996
Murraylink,VNI,forward,S-RBTU,-9.27901333333341,-105.01307420833318,85.91950324999996
Heywood,VNI,reverse,S-RBTU,118.36403083333323,51.882549999999924,204.55661025000003
Murraylink,VNI,reverse,S-RBTU,118.36403083333323,51.882549999999924,204.55661025000003
Heywood,VNI,reverse,S-SECB6611_10,-27.41418583333339,-60.30505341666667,4.936279416666626
Heywood,VNI,forward,S-SE_1CP,35.10606624999991,-31.780938291666498,155.35855249999986
Heywood,VNI,reverse,S-SE_1CP,-25.71562833333337,-81.40805916666665,44.096833333333336
Heywood,VNI,forward,S-SE_VC1,-36.04628583333334,-82.66592479166665,5.329683333333378
Heywood,VNI,reverse,S-SE_VC1,-12.872309999999997,-51.122158333333346,34.59079833333331
Heywood,VNI,forward,S-TB275_E_BUS,-46.584305000000086,-179.5746475833333,115.94668833333333
Heywood,VNI,reverse,S-TB275_E_BUS,-32.79135333333329,-64.60923833333345,29.711614833333304
Heywood,VNI,forward,S-TB275_W_BUS,-39.545705,-125.69372900000005,12.728273333333163
Heywood,VNI,reverse,S-TB275_W_BUS,17.453888333333452,-53.00012770833333,90.99050999999986
Heywood,VNI,forward,S-TB275_W_BUS_BC-2CP,27.835784999999987,-64.20058210416664,136.96565750000002
Heywood,VNI,forward,S-TBTU,-4.674084166666489,-41.75554333333321,27.04981591666667
Heywood,VNI,forward,S-TB_CB6536,-61.899481666666674,-195.4467233333334,12.34557000000001
Heywood,VNI,reverse,S-TB_CB6536,8.25542166666662,-51.15060508333325,50.22265291666666
Heywood,VNI,forward,S-TB_CB6596,-27.922295000000076,-86.76894333333325,25.830588333333367
Heywood,VNI,reverse,S-TB_CB6596,10.199106666666694,-52.820876749999975,71.64718158333332
Heywood,VNI,forward,S-X_BRMN_RBTU,-40.6412949999999,-151.7993283333334,54.98512666666659
Murraylink,VNI,forward,S-X_BRMN_RBTU,-40.6412949999999,-151.7993283333334,54.98512666666659
Heywood,VNI,reverse,S-X_BRMN_RBTU,112.86954833333334,51.17964249999993,191.56766316666656
Murraylink,VNI,reverse,S-X_BRMN_RBTU,112.86954833333334,51.17964249999993,191.56766316666656
Heywood,VNI,forward,S-X_MGTI+PATI,-96.53653666666662,-273.13677,-9.589086666666645
Heywood,VNI,reverse,S-X_MGTI+PATI,72.194635,-151.81156499999997,228.50917500000003
VNI,Heywood,forward,I-BURC,-0.8365083333333132,-44.509172020833304,39.552633624999956
Murraylink,Heywood,forward,I-BURC,-0.8365083333333132,-44.509172020833304,39.552633624999956
VNI,Heywood,reverse,I-BURC,48.63014666666663,8.89677666666671,106.11127999999994
Murraylink,Heywood,reverse,I-BURC,48.63014666666663,8.89677666666671,106.11127999999994
Murraylink,Heywood,forward,I-BURC_X1,24.276476666666554,-12.683438333333356,56.73425500000002
Murraylink,Heywood,reverse,I-BURC_X1,26.08834833333333,-1.3053277916666466,68.24583333333332
Murraylink,Heywood,forward,I-SVML_044,19.17876666666666,-18.158175,87.70866733333321
Murraylink,Heywood,reverse,I-SVML_044,9.062703333333332,-80.89481166666664,356.66451
Murraylink,Heywood,forward,I-SVML_088,55.54998499999999,-7.07075500000002,110.18436416666657
Murraylink,Heywood,reverse,I-SVML_088,46.147398333333314,-102.63122333333331,196.0520216666667
Murraylink,Heywood,forward,I-SVML_132,3.823473333333368,-58.40764833333333,107.71728666666667
Murraylink,Heywood,reverse,I-SVML_132,199.0160625,2.065000708333333,442.00798333333336
Murraylink,Heywood,forward,I-VSML_044,19.17876666666666,-18.158175,87.70866733333321
Murraylink,Heywood,reverse,I-VSML_044,9.062703333333332,-80.89481166666664,356.66451
Murraylink,Heywood,forward,I-VSML_088,55.54998499999999,-7.07075500000002,110.18436416666657
Murraylink,Heywood,reverse,I-VSML_088,46.147398333333314,-102.63122333333331,196.0520216666667
Murraylink,Heywood,forward,I-VSML_132,3.823473333333368,-58.40764833333333,107.71728666666667
Murraylink,Heywood,reverse,I-VSML_132,199.0160625,2.065000708333333,442.00798333333336
Murraylink,Heywood,forward,I-VSML_176,75.71686833333334,-0.869725833333348,98.26044833333336
Murraylink,Heywood,reverse,I-VSML_176,52.23190666666665,-36.20010383333333,330.7966716666667
Directlink,Heywood,forward,N-96L_96R_CB4102,14.778038333333257,-2.1758518541666394,35.224194625000024
Directlink,Heywood,reverse,N-96L_96R_CB4102,0.0,-21.754815375000003,17.798931083333315
QNI,Heywood,forward,N-ARDM_8C,8.654783333333341,-12.729061666666666,35.214677541666624
QNI,Heywood,reverse,N-ARDM_8C,-74.23659875000004,-107.52212222916667,-37.61933166666671
QNI,Heywood,reverse,N-ARTW_86,0.0,-8.275758833333443,6.433840000000032
Directlink,Heywood,reverse,N-ARTW_86,0.0,-8.275758833333443,6.433840000000032
QNI,Heywood,forward,N-AVMA_17,-22.092550000000017,-59.351552083333395,0.0
Directlink,Heywood,forward,N-AVMA_17,-22.092550000000017,-59.351552083333395,0.0
VNI,Heywood,forward,N-AVMA_17,-22.092550000000017,-59.351552083333395,0.0
QNI,Heywood,reverse,N-AVMA_17,-8.155496666666636,-48.85420797916667,0.0
Directlink,Heywood,reverse,N-AVMA_17,-8.155496666666636,-48.85420797916667,0.0
VNI,Heywood,reverse,N-AVMA_17,-8.155496666666636,-48.85420797916667,0.0
VNI,Heywood,forward,N-BADP,22.257275833333324,-13.121552500000066,50.31549999999993
Murraylink,Heywood,forward,N-BADP,22.257275833333324,-13.121552500000066,50.31549999999993
VNI,Heywood,reverse,N-BADP,90.0,12.358024999999998,160.7668741666667
Murraylink,Heywood,reverse,N-BADP,90.0,12.358024999999998,160.7668741666667
QNI,Heywood,forward,N-CHKS_ONE,-0.47589416666667717,-39.78062166666666,40.612239499999944
Directlink,Heywood,forward,N-CHKS_ONE,-0.47589416666667717,-39.78062166666666,40.612239499999944
QNI,Heywood,reverse,N-CHKS_ONE,9.834332500000016,-65.06463500000001,145.83590387499984
Directlink,Heywood,reverse,N-CHKS_ONE,9.834332500000016,-65.06463500000001,145.83590387499984
Murraylink,Heywood,forward,N-CLDE_99L_C,23.27832666666663,-40.431543333333366,75.58779249999998
Murraylink,Heywood,reverse,N-CLDE_99L_C,30.969165000000032,-21.518304458333258,95.26140977083338
VNI,Heywood,forward,N-CNLT_07,31.199136666666618,0.794378333333384,79.9755288333333
Murraylink,Heywood,forward,N-CNLT_07,31.199136666666618,0.794378333333384,79.9755288333333
VNI,Heywood,reverse,N-CNLT_07,-24.481818333333308,-84.92751666666672,6.371716125000011
Murraylink,Heywood,reverse,N-CNLT_07,-24.481818333333308,-84.92751666666672,6.371716125000011
VNI,Heywood,forward,N-CTMN_4_WG_CLOSE,50.0,29.536473083333416,70.64664833333325
Murraylink,Heywood,forward,N-CTMN_4_WG_CLOSE,50.0,29.536473083333416,70.64664833333325
VNI,Heywood,reverse,N-CTMN_4_WG_CLOSE,6.768339999999995,-0.6048711249999654,28.85771929166665
Murraylink,Heywood,reverse,N-CTMN_4_WG_CLOSE,6.768339999999995,-0.6048711249999654,28.85771929166665
VNI,Heywood,forward,N-CTYS_3L_WG_CLOSE,25.266496666666626,0.0,59.51840914583331
Murraylink,Heywood,forward,N-CTYS_3L_WG_CLOSE,25.266496666666626,0.0,59.51840914583331
VNI,Heywood,reverse,N-CTYS_3L_WG_CLOSE,-37.50936833333333,-105.5182982083333,6.574601958333343
Murraylink,Heywood,reverse,N-CTYS_3L_WG_CLOSE,-37.50936833333333,-105.5182982083333,6.574601958333343
VNI,Heywood,forward,N-DPWG_63,61.40340916666668,16.23763166666663,114.80725833333327
Murraylink,Heywood,forward,N-DPWG_63,61.40340916666668,16.23763166666663,114.80725833333327
VNI,Heywood,reverse,N-DPWG_63,1.1649875000000236,-37.13586158333332,36.3777116666667
Murraylink,Heywood,reverse,N-DPWG_63,1.1649875000000236,-37.13586158333332,36.3777116666667
VNI,Heywood,forward,N-DPWG_63_X5,69.21863416666667,28.293538333333345,115.36650833333337
Murraylink,Heywood,forward,N-DPWG_63_X5,69.21863416666667,28.293538333333345,115.36650833333337
VNI,Heywood,reverse,N-DPWG_63_X5,5.204942500000016,-51.14391900000002,57.121489999999994
Murraylink,Heywood,reverse,N-DPWG_63_X5,5.204942500000016,-51.14391900000002,57.121489999999994
VNI,Heywood,forward,N-DTKV_18_WG_CLOSE,43.39358958333331,17.77554250000003,142.28971
Murraylink,Heywood,forward,N-DTKV_18_WG_CLOSE,43.39358958333331,17.77554250000003,142.28971
VNI,Heywood,reverse,N-DTKV_18_WG_CLOSE,-4.849951666666698,-204.69644333333332,12.358024999999998
Murraylink,Heywood,reverse,N-DTKV_18_WG_CLOSE,-4.849951666666698,-204.69644333333332,12.358024999999998
QNI,Heywood,reverse,N-DTMN_8_15M,4.3264120833333095,-0.9987049999999726,38.66283629166663
Directlink,Heywood,reverse,N-DTMN_8_15M,4.3264120833333095,-0.9987049999999726,38.66283629166663
VNI,Heywood,reverse,N-DTMN_8_15M,4.3264120833333095,-0.9987049999999726,38.66283629166663
Murraylink,Heywood,reverse,N-DTMN_8_15M,4.3264120833333095,-0.9987049999999726,38.66283629166663
QNI,Heywood,forward,N-DTSS_11,34.928371666666635,8.056490999999985,76.93989804166667
VNI,Heywood,forward,N-DTSS_11,34.928371666666635,8.056490999999985,76.93989804166667
Murraylink,Heywood,forward,N-DTSS_11,34.928371666666635,8.056490999999985,76.93989804166667
QNI,Heywood,reverse,N-DTSS_11,0.0,-19.24384441666663,4.006828333333345
VNI,Heywood,reverse,N-DTSS_11,0.0,-19.24384441666663,4.006828333333345
Murraylink,Heywood,reverse,N-DTSS_11,0.0,-19.24384441666663,4.006828333333345
Murraylink,Heywood,forward,N-GFYC-99J-C,0.0,-41.09641474999998,20.035000833333356
VNI,Heywood,forward,N-KVCW_3W_WG_CLOSE,0.2817808333333005,-24.327859166666713,18.26048166666658
Murraylink,Heywood,forward,N-KVCW_3W_WG_CLOSE,0.2817808333333005,-24.327859166666713,18.26048166666658
VNI,Heywood,reverse,N-KVCW_3W_WG_CLOSE,-0.5379900000000362,-140.90235924999996,15.006790374999929
Murraylink,Heywood,reverse,N-KVCW_3W_WG_CLOSE,-0.5379900000000362,-140.90235924999996,15.006790374999929
QNI,Heywood,reverse,N-LDTM_82,21.728740000000016,-0.3934226250000279,67.28863666666665
Directlink,Heywood,reverse,N-LDTM_82,21.728740000000016,-0.3934226250000279,67.28863666666665
QNI,Heywood,reverse,N-LDTW_84,-1.4142758333333632,-31.284985000000006,0.3787796666666649
Directlink,Heywood,reverse,N-LDTW_84,-1.4142758333333632,-31.284985000000006,0.3787796666666649
Basslink,Heywood,reverse,N-LDTW_84,-1.4142758333333632,-31.284985000000006,0.3787796666666649
VNI,Heywood,reverse,N-LTUT_64_15M,55.0490933333333,-17.23697908333324,98.747225
Murraylink,Heywood,reverse,N-LTUT_64_15M,55.0490933333333,-17.23697908333324,98.747225
VNI,Heywood,forward,N-MNYS_5_WG_CLOSE,0.0,-12.88318283333335,19.865970124999933
Murraylink,Heywood,forward,N-MNYS_5_WG_CLOSE,0.0,-12.88318283333335,19.865970124999933
VNI,Heywood,reverse,N-MNYS_5_WG_CLOSE,0.8833875000000262,0.0,15.090156666666644
Murraylink,Heywood,reverse,N-MNYS_5_WG_CLOSE,0.8833875000000262,0.0,15.090156666666644
QNI,Heywood,forward,N-MPWW_ONE,-24.167519583333345,-87.83018714583332,67.31391666666667
VNI,Heywood,forward,N-MPWW_ONE,-24.167519583333345,-87.83018714583332,67.31391666666667
QNI,Heywood,forward,N-TWUL_85,-16.64085833333334,-54.82697350000001,13.197155624999883
Directlink,Heywood,forward,N-TWUL_85,-16.64085833333334,-54.82697350000001,13.197155624999883
Basslink,Heywood,forward,N-TWUL_85,-16.64085833333334,-54.82697350000001,13.197155624999883
QNI,Heywood,reverse,N-TWUL_85,0.0,-5.661106666666683,0.0
Directlink,Heywood,reverse,N-TWUL_85,0.0,-5.661106666666683,0.0
Basslink,Heywood,reverse,N-TWUL_85,0.0,-5.661106666666683,0.0
VNI,Heywood,reverse,N-WAGGA_330_BUSA,67.392685,0.0,100.19601666666662
VNI,Heywood,forward,N-WAGGA_330_BUSB,55.135361666666654,-2.384749999999997,107.9974283333334
VNI,Heywood,reverse,N-WAGGA_330_BUSB,2.086879999999951,-150.0,72.85146499999996
QNI,Heywood,forward,N-X_8E+DM+TW+LS_SVC,0.0,-47.245848333333335,28.172725
QNI,Heywood,reverse,N-X_8E+DM+TW+LS_SVC,13.213676666666629,0.0,85.63832500000007
Directlink,Heywood,forward,N-X_9U6_9G2,-83.7359966666667,-312.275525,11.087366666666696
Directlink,Heywood,reverse,N-X_9U6_9G2,-3.823053333333334,-81.07463666666666,47.750230000000016
Directlink,Heywood,forward,N-X_ARKK_CH_CB892A,14.116742500000043,-36.96195666666671,84.20384245833334
Directlink,Heywood,reverse,N-X_ARKK_CH_CB892A,2.0218516666666915,-34.75854499999997,86.45450000000011
QNI,Heywood,reverse,N-X_AVMA_SSWW,-0.2114187500000284,-57.070153333333224,98.76629166666675
Directlink,Heywood,reverse,N-X_AVMA_SSWW,-0.2114187500000284,-57.070153333333224,98.76629166666675
VNI,Heywood,reverse,N-X_AVMA_SSWW,-0.2114187500000284,-57.070153333333224,98.76629166666675
QNI,Heywood,reverse,N-X_LPSS_MPWW,66.88162999999997,-4.1336036666666995,131.97948699999995
Directlink,Heywood,reverse,N-X_LPSS_MPWW,66.88162999999997,-4.1336036666666995,131.97948699999995
VNI,Heywood,reverse,N-X_LPSS_MPWW,66.88162999999997,-4.1336036666666995,131.97948699999995
QNI,Heywood,reverse,Q-BKBM,-69.74200749999997,-127.16146512499999,6.845339999999965
Directlink,Heywood,reverse,Q-BKBM,-69.74200749999997,-127.16146512499999,6.845339999999965
Directlink,Heywood,forward,Q-GBMU_835_836,15.662739166666654,-9.442547770833336,45.46748333333335
Directlink,Heywood,reverse,Q-GBMU_835_836,68.35294999999999,35.07107108333338,105.87602083333331
QNI,Heywood,forward,Q-LCCP_8859,-4.046414999999996,-175.05184833333334,129.05093654166654
Directlink,Heywood,forward,Q-LCCP_8859,-4.046414999999996,-175.05184833333334,129.05093654166654
QNI,Heywood,reverse,Q-LCCP_8859,55.34199916666668,-67.13391022916667,252.97533166666668
Directlink,Heywood,reverse,Q-LCCP_8859,55.34199916666668,-67.13391022916667,252.97533166666668
QNI,Heywood,forward,Q-RGLC_8875,7.129094999999978,-23.79650083333331,48.81525916666669
Directlink,Heywood,forward,Q-RGLC_8875,7.129094999999978,-23.79650083333331,48.81525916666669
QNI,Heywood,reverse,Q-RGLC_8875,-32.24046166666665,-140.72444166666668,3.624064166666642
Directlink,Heywood,reverse,Q-RGLC_8875,-32.24046166666665,-140.72444166666668,3.624064166666642
QNI,Heywood,forward,Q-X_BRHA_TWO,-53.4646566666667,-121.03669583333325,161.98724499999997
Basslink,Heywood,forward,Q-X_BRHA_TWO,-53.4646566666667,-121.03669583333325,161.98724499999997
QNI,Heywood,reverse,Q-X_HACL_HATR,29.44442833333335,-27.530953333333287,104.07811345833333
QNI,Heywood,forward,Q-X_HATR_TWO,0.0,-18.796445,30.269959041666635
QNI,Heywood,reverse,Q-X_HATR_TWO,5.8353316666666615,-40.96265412500003,54.486625000000004
QNI,Heywood,forward,Q-X_MRGB_MRGB,-5.600726666666674,-89.22539333333336,49.69453166666662
VNI,Heywood,forward,V-DDSM,-1.2261333333333369,-84.32669333333325,89.85254666666668
