target,band,selected_mae,selected_mape,mape_coverage,persistence_mae,t0_mae,skill_persistence,skill_t0,over100,over200,rows
export,0,109.51131585812875,46.86172080686284,0.9035842047330765,116.79857624204742,115.04380560869093,0.062391688481004404,0.04809028805410298,0.25003439735828287,0.10343285635663181,87216
export,1,190.27106362563933,82.71250603508665,0.9035195596158351,183.1828063072977,178.06317094255851,-0.03869499251174657,-0.0685593355350218,0.3532150386507379,0.2329878191613961,34152
export,2,228.69394960113232,99.64811649597068,0.9033825338253383,221.03418023620466,213.5638443745374,-0.034654230204315795,-0.07084581789069366,0.3700492004920049,0.269249692496925,48780
export,3,260.86737515061526,127.07132886711953,0.8970188284518829,248.2280952849396,240.83863732052552,-0.050918006888652556,-0.08316247780223929,0.4474023709902371,0.34138772663877265,57360
export_tight,0,119.40242199735184,53.615720876317056,0.8950995230232984,125.18658232054952,123.27138941838388,0.046204315318609024,0.031385769555178245,0.2636786828104935,0.12258071913410383,87216
export_tight,1,197.27332858351207,90.50067970338979,0.8949402670414617,191.96277479703835,186.2924456932408,-0.02766449793241721,-0.05894432728825172,0.36030100726165376,0.24159639259779808,34152
export_tight,2,235.2513429686156,108.35224752976862,0.8946084460844609,230.1692583725868,221.8172255481911,-0.02207977134723249,-0.060563905202690727,0.3797867978679787,0.27714227142271425,48780
export_tight,3,264.6844379871471,134.7658314271511,0.8882147838214783,256.65982996240024,248.41809965953024,-0.03126553939477961,-0.06547968263951254,0.43690725244072526,0.3353730822873082,57360
import,0,132.1063411840987,37.4743195602766,0.9858856173179233,127.10189637591611,125.99589253610662,-0.03937348655586903,-0.04849720514691391,0.2813818565400844,0.15950055035773253,87216
import,1,209.74407606661006,62.668252408686485,0.9864136800187397,215.5334749159892,209.36443617849127,0.02686078740963893,-0.0018132969240063357,0.3681775591473413,0.2469255094869993,34152
import,2,259.8290817694845,77.83804855453121,0.9879663796637966,255.16879156154042,244.38129464404133,-0.018263558719014084,-0.06321182293409144,0.39788847888478884,0.2984419844198442,48780
import,3,268.2144061365021,75.89431454790284,0.9885634588563459,276.3119037369735,261.87227212319743,0.029305641526684134,-0.02421842511955985,0.379463040446304,0.28505927475592746,57360
import_tight,0,150.26000765590857,49.878087180811384,0.9754288203999266,138.21717522867135,136.92458493288495,-0.08712978258536341,-0.09739246410394542,0.3092207851770317,0.1937029902770134,87216
import_tight,1,223.43790874011128,74.88302967412245,0.9765460295151089,232.93647574593498,225.62180019407367,0.04077749942513875,0.00967943457628595,0.36554228156476926,0.25594401499180136,34152
import_tight,2,274.8318183764394,94.2253313420929,0.979130791307913,270.5835537991669,258.7270024400096,-0.015700379855405622,-0.062246366960340804,0.39825748257482574,0.3054735547355474,48780
import_tight,3,283.6748460089541,92.79959160997971,0.9793933054393306,288.06968695365254,273.3771747411692,0.015256172876688456,-0.037668365244957425,0.38556485355648534,0.2985704323570432,57360
