target,band,selected_mae,selected_mape,mape_coverage,persistence_mae,t0_mae,skill_persistence,skill_t0,over100,over200,rows
export,0,202.90746265086634,57.525224013530654,0.9615322876536415,299.54102480455066,266.3991892605278,0.3226054334852374,0.23833303241613502,0.3609544120344891,0.23626398825903505,87216
export,1,260.46330829263434,69.88484187857986,0.9615835090185055,444.88323011198224,350.73058346709956,0.4145355664966901,0.2573692726825826,0.40035722651674865,0.2956488639025533,34152
export,2,261.40245718130916,71.66093916642114,0.9611111111111111,414.1495979790516,336.39657867136884,0.36882117366070377,0.2229336629589287,0.401640016400164,0.29833948339483396,48780
export,3,258.8586253256145,66.63377736013749,0.9616283124128312,320.56785780846235,282.00826034458925,0.19249974998965358,0.08208849978609811,0.3561192468619247,0.25805439330543933,57360
export_tight,0,216.76277984633865,62.254296069938306,0.9661759310218309,324.66571380133564,287.7907571784696,0.3323508746631104,0.24680423384161676,0.3690148596587782,0.24519583562649055,87216
export_tight,1,280.3970003411243,77.01366436252258,0.9660927617709065,483.8009562831011,377.46528526372373,0.42042900763295077,0.2571581777507851,0.4139728273600375,0.3112555633637854,34152
export_tight,2,284.8165475417136,77.9108761959119,0.9656621566215662,447.18815184030285,360.7135181870523,0.36309460264183036,0.210407891078763,0.4039565395653957,0.30362853628536285,48780
export_tight,3,272.33931919725217,72.28823729475626,0.9654637377963737,339.3817197095063,299.54109044323855,0.19754275678029753,0.09081148501441061,0.3636506276150628,0.26638772663877264,57360
import,0,171.10602260877715,49.23578814074221,0.9666345624656026,208.60837896349645,200.5804579168383,0.17977396948797386,0.1469456975727984,0.22987754540451294,0.12808429645936525,87216
import,1,219.1628035777851,62.00271379461638,0.966268446943078,298.5764226164828,277.68060388124945,0.2659741795510202,0.21073780266082098,0.2735710939330054,0.16602248770203795,34152
import,2,221.7956676578588,63.448547316350535,0.9658876588765888,300.94130064878243,280.85174005418025,0.2629935898472494,0.21027490299660856,0.2841123411234112,0.17650676506765067,48780
import,3,225.55194541494006,65.09715133118284,0.9650278940027894,282.7072540599239,265.42561135189146,0.20217135508262885,0.15022538983281597,0.2907949790794979,0.1802824267782427,57360
import_tight,0,192.1158062390977,55.90347194732457,0.954308842414236,231.83151198165302,223.04358758389333,0.17131280128000193,0.13866249946846265,0.23708952485782425,0.13933223261786828,87216
import_tight,1,240.2397934915423,69.60140587437006,0.9537947997189037,320.9248306750871,299.66069330243215,0.2514141302616515,0.1982939409104263,0.28083274771609273,0.1841473412977278,34152
import_tight,2,239.4486760269255,69.68641843550277,0.9530955309553095,325.42605420351686,303.55931253418186,0.2641994304574713,0.21119640828030029,0.2861418614186142,0.1859778597785978,48780
import_tight,3,241.8556645922555,71.60890968079573,0.9518828451882845,310.25608812017674,290.0751308260523,0.22046440391341027,0.16623095574060887,0.290847280334728,0.1916317991631799,57360
