target,feature,mean_abs_shap
export_tight,daily_cos_2,1.551237376561647
export_tight,daily_cos_3,4.871354514522164
export_tight,daily_sin_2,6.403938451792031
export_tight,daily_sin_3,4.447641386422221
export_tight,envelope_inconsistent,0.0
export_tight,export_tight_delta,1.5451524210387486
export_tight,export_tight_lag1,230.18715330153904
export_tight,export_tight_lag336,3.0297222420676704
export_tight,export_tight_lag48,1.2320304213837487
export_tight,flow_delta,4.331083179138033
export_tight,flow_lag1,10.323674420962623
export_tight,flow_lag336,1.4258636974768581
export_tight,flow_lag48,3.5349926145446013
export_tight,hour_cos,185.5047715044816
export_tight,hour_sin,25.046977867817997
export_tight,import_tight_delta,1.0589100400343587
export_tight,import_tight_lag1,2.3402451504167168
export_tight,import_tight_lag336,1.5247189882474703
export_tight,import_tight_lag48,2.977495123783509
export_tight,lead,18.58137889392058
export_tight,log_lead,0.0
export_tight,lower_available_relief,2.1162977751798935
export_tight,lower_candidate_count,12.931116789722658
export_tight,lower_gen_relief,2.3128335733965213
export_tight,lower_gen_tightening,3.1933494790070385
export_tight,lower_pressure_change,0.2375968134575941
export_tight,lower_room,3.7201114911753543
export_tight,lower_setter_age,1.9606636894924678
export_tight,lower_switch_gap,4.164762172949376
export_tight,lower_switch_recent,0.08896668008392251
export_tight,own_anchor,482.623281328986
export_tight,partial_candidate_fraction,18.144226382898683
export_tight,pressure_complete_fraction,2.3317012670748984
export_tight,upper_available_relief,4.981461419089645
export_tight,upper_candidate_count,9.169805596224455
export_tight,upper_gen_relief,9.109930542011735
export_tight,upper_gen_tightening,7.766761215848075
export_tight,upper_pressure_change,2.0012493756856995
export_tight,upper_room,8.411666023482594
export_tight,upper_setter_age,1.8464267701017434
export_tight,upper_switch_gap,1.6565245300937124
export_tight,upper_switch_recent,0.44791710083435127
export_tight,weekend,3.2122956355914147
export_tight,year_cos,65.16206188617589
export_tight,year_sin,10.846486994116907
import_tight,daily_cos_2,0.9492889523747449
import_tight,daily_cos_3,1.0335191164642508
import_tight,daily_cos_4,0.13029101329964163
import_tight,daily_cos_5,0.56729628411598
import_tight,daily_cos_6,0.04416492689394344
import_tight,daily_sin_2,2.2419073736421566
import_tight,daily_sin_3,4.561028399490419
import_tight,daily_sin_4,2.17929367427654
import_tight,daily_sin_5,0.2731061435574975
import_tight,daily_sin_6,0.3294604357184592
import_tight,envelope_inconsistent,0.0
import_tight,export_tight_delta,1.2942022395943418
import_tight,export_tight_lag1,8.900455283775582
import_tight,export_tight_lag336,1.571747679083532
import_tight,export_tight_lag48,0.6204580450720892
import_tight,flow_delta,1.584373104271996
import_tight,flow_lag1,3.775468539124732
import_tight,flow_lag336,1.4991241702101334
import_tight,flow_lag48,2.086269680333156
import_tight,hour_cos,51.00669358647141
import_tight,hour_sin,5.5420687079201985
import_tight,import_tight_delta,2.0614337523022845
import_tight,import_tight_lag1,135.97545795746043
import_tight,import_tight_lag336,1.3403110642262919
import_tight,import_tight_lag48,0.7286878228554405
import_tight,lead,15.55568874727183
import_tight,log_lead,0.0
import_tight,lower_available_relief,4.462711390073163
import_tight,lower_candidate_count,11.640809325486485
import_tight,lower_gen_relief,13.270433558057961
import_tight,lower_gen_tightening,4.81133367958712
import_tight,lower_pressure_change,0.8341460960365666
import_tight,lower_room,6.00941752159132
import_tight,lower_setter_age,3.531978835587777
import_tight,lower_switch_gap,4.781222510592285
import_tight,lower_switch_recent,0.30268942846785724
import_tight,own_anchor,267.4239841623264
import_tight,partial_candidate_fraction,15.626663883447257
import_tight,pressure_complete_fraction,3.867758185869405
import_tight,upper_available_relief,1.5291168825536048
import_tight,upper_candidate_count,8.377715701379751
import_tight,upper_gen_relief,0.5351229637646153
import_tight,upper_gen_tightening,1.507432622375518
import_tight,upper_pressure_change,0.15541746891183936
import_tight,upper_room,2.5302564864889363
import_tight,upper_setter_age,0.7469113495077427
import_tight,upper_switch_gap,1.8702908110438148
import_tight,upper_switch_recent,0.28942113280673615
import_tight,weekend,1.871522131301311
import_tight,year_cos,18.07411774752881
import_tight,year_sin,9.096029689926914
