index,mean_standardized_difference,mean_absolute_pair_difference
balance_SA1_TOTALDEMAND,0.11005664497951485,0.6345413808735796
balance_SA1_SS_WIND_CLEAREDMW,0.3831187665138459,0.6743626941649816
balance_SA1_SS_SOLAR_CLEAREDMW,0.016309977272560693,0.35809891576402697
balance_SA1_AVAILABLEGENERATION,0.19946694149407365,0.6920955636083386
balance_SA1_RRP,-0.1388084190078206,0.5762245922240773
balance_flow,-0.051418933599754905,0.7248311260094193
balance_headroom,0.03675359700953896,0.683396644859119
balance_VIC1_TOTALDEMAND,0.09803716458043081,0.664694357669525
balance_VIC1_SS_WIND_CLEAREDMW,0.1618945392065347,0.6978083529103366
balance_VIC1_SS_SOLAR_CLEAREDMW,0.22320758131902765,0.6095575517118016
balance_VIC1_AVAILABLEGENERATION,0.2684072059782331,0.7327466769220891
balance_VIC1_RRP,-0.03667906633628867,0.4738923238544018
