event_id,time,control_time,direction,selected,distance,event_price_jump,control_price_jump,event_mpc,control_mpc,incident_id,balance_SA1_TOTALDEMAND,balance_SA1_SS_WIND_CLEAREDMW,balance_SA1_SS_SOLAR_CLEAREDMW,balance_SA1_AVAILABLEGENERATION,balance_SA1_RRP,balance_flow,balance_headroom,balance_VIC1_TOTALDEMAND,balance_VIC1_SS_WIND_CLEAREDMW,balance_VIC1_SS_SOLAR_CLEAREDMW,balance_VIC1_AVAILABLEGENERATION,balance_VIC1_RRP,difference
VSA-upper-20240901T2020,2024-09-01 20:20:00,2024-09-28 19:00:00,upper,False,1.5758497840845884,9.400305,0.0,False,False,upper-0,-0.8753737727193759,-0.10029858876224948,-0.5599674804803796,0.9998443857474193,-0.3161369661141571,0.3880215795821687,-0.37842805215167524,,,,,,9.400305
VSA-upper-20240903T0940,2024-09-03 09:40:00,2024-09-16 10:00:00,upper,False,0.9519031857157984,-12.765135,1.17154,False,False,upper-1,0.4510593609157493,0.49134613171321145,-0.044843605082244394,-0.17705971297566295,0.2564413770270652,-0.23869555953944482,0.552399552756374,,,,,,-13.936675000000001
VSA-upper-20240903T2155,2024-09-03 21:55:00,2024-09-16 22:00:00,upper,False,1.9659181814593474,-18.611839999999994,-0.14171500000000492,False,False,upper-2,-1.8899267287226524,0.3732806639643448,0.0,0.11515176823917227,-0.024131569043175247,-0.22859407119847958,0.2959312258317269,,,,,,-18.47012499999999
VSA-upper-20240904T0025,2024-09-04 00:25:00,2024-09-02 01:00:00,upper,False,1.4400490024408938,12.992585000000002,5.648475000000001,False,False,upper-3,1.0952084171311616,0.2334686994471344,0.0,-0.29443431044618007,0.2299288255329146,-0.8241893024247438,0.030086286648327416,,,,,,7.344110000000001
VSA-upper-20240904T0510,2024-09-04 05:10:00,2024-09-06 05:00:00,upper,False,0.891195939088476,4.264309999999995,22.770665,False,False,upper-4,0.12767800402469678,-0.436891419713628,0.0,0.22421354875941057,-0.29934808046850253,0.665974887014122,0.06042249296190845,,,,,,-18.506355000000006
VSA-upper-20240904T0605,2024-09-04 06:05:00,2024-09-02 06:00:00,upper,False,0.8061936807607176,1.799199999999999,42.496610000000004,False,False,upper-5,0.054339776228977135,-0.26730548999219517,0.0,-0.5326056887749765,-0.09561693254852592,-0.01098326526833809,0.5316118556019235,,,,,,-40.697410000000005
VSA-upper-20240904T0630,2024-09-04 06:30:00,2024-09-02 06:00:00,upper,False,0.8357498226261411,1.7488699999999966,42.496610000000004,False,False,upper-5,0.5370130120815473,-0.17230657539923724,0.0,-0.501940978529005,-0.09547489598295973,-0.04305295250035457,0.34277029705081885,,,,,,-40.74774000000001
VSA-upper-20240904T0650,2024-09-04 06:50:00,2024-09-02 07:00:00,upper,False,0.8465501325598204,1.6309749999999994,-0.00267,False,False,upper-5,0.12394743339075401,-0.17570512417721826,0.0,-0.47659692333197606,-0.6295652522226175,0.017834488317084604,-0.2158628428460924,,,,,,1.6336449999999993
VSA-upper-20240904T1705,2024-09-04 17:05:00,2024-09-11 18:00:00,upper,False,1.12307742646509,37.212585,114.763695,False,False,upper-6,-0.017408398015293713,-0.46702921485696014,-0.8568935369295017,0.20123614477570967,-0.017865571534765267,0.4604504524433032,-0.23619324416001974,,,,,,-77.55111
VSA-upper-20240904T1715,2024-09-04 17:15:00,2024-09-11 18:00:00,upper,True,0.9422909942917024,32.925354999999996,114.763695,False,False,upper-6,0.007896592914152581,-0.18048834300146988,-0.8683713446974071,0.20123614477570967,0.04079733783749984,0.2334902051389774,-0.06728330296540679,,,,,,-81.83834
VSA-upper-20240905T0740,2024-09-05 07:40:00,2024-09-06 08:00:00,upper,False,1.241252800911845,0.0,0.36858,False,False,upper-7,0.3500841583422798,-0.045843373286046284,-0.6811015572774035,0.6336432813957197,-0.6757417925892603,0.2826270138747162,-0.11891107756600729,,,,,,-0.36858
VSA-upper-20240905T1710,2024-09-05 17:10:00,2024-09-11 18:00:00,upper,False,0.9886626260769109,133.96668,114.763695,False,False,upper-8,0.41262312816233043,-0.4055978831648252,0.3175016747966842,0.3907681719100832,-0.4321130792954625,0.4248725595061832,-0.14812432846379042,,,,,,19.202984999999998
VSA-upper-20240905T1805,2024-09-05 18:05:00,2024-09-25 19:00:00,upper,False,1.3410781010677533,12.798020000000008,11.516304999999988,False,False,upper-9,-0.4180690649342455,0.4017883686296433,0.42880916010601655,0.8701151423851673,-0.020750397177501326,-0.5977150693739305,-0.4044790439614058,,,,,,1.2817150000000197
VSA-upper-20240905T1925,2024-09-05 19:25:00,2024-09-25 19:00:00,upper,False,1.1059084981045537,6.600349999999992,11.516304999999988,False,False,upper-10,-0.5490797132368213,0.42988543689834063,-0.12170376936373034,0.6251627825602465,-0.01754872534171844,-0.5730422995438181,0.0491715245946791,,,,,,-4.915954999999997
VSA-upper-20240905T2025,2024-09-05 20:25:00,2024-09-11 19:00:00,upper,False,2.3868643123589774,-4.458655,8.158339999999981,False,False,upper-11,-1.4794542855777466,-0.017627573459747622,-1.2536894822573965,-0.33475028746404534,-0.007570177594013189,-0.7499573107098237,1.1232707522215908,,,,,,-12.616994999999982
VSA-upper-20240906T0110,2024-09-06 01:10:00,2024-09-02 01:00:00,upper,False,1.0830689877419133,56.81929,5.648475000000001,False,False,upper-12,0.14282244005812514,-0.10568607365867233,0.0,-0.8305771839287478,0.4013628074488613,-0.3655949482271978,0.3960560677773565,,,,,,51.170815000000005
VSA-upper-20240906T1115,2024-09-06 11:15:00,2024-09-25 10:00:00,upper,False,4.72991330125666,-207.03732,19.003140000000002,False,False,upper-13,1.8888848260301736,0.4450547298363332,0.2922801540425909,0.3408558479404136,3.601315684740291,1.484229099172515,-1.7978039830133652,,,,,,-226.04046
VSA-upper-20240906T2300,2024-09-06 23:00:00,2024-09-12 23:00:00,upper,False,1.2951563872004075,9.287124999999989,38.56242499999999,False,False,upper-14,-1.0546544575823873,-0.121129975474872,0.0,0.018527045313495104,-0.2449297380967457,-0.08888364246955453,0.6944259798842671,,,,,,-29.2753
VSA-upper-20240908T0620,2024-09-08 06:20:00,2024-09-29 06:00:00,upper,False,1.654830013017877,1.89721,-0.008639999999999759,False,False,upper-15,-0.4635078397300238,-1.1127539649245264,0.0,-0.8986339655857999,-0.1784129108201879,0.5504446305152493,-0.37820365667645234,,,,,,1.9058499999999998
VSA-upper-20240908T0635,2024-09-08 06:35:00,2024-09-29 06:00:00,upper,False,1.5174368777201188,0.83862,-0.008639999999999759,False,False,upper-15,-0.43281748266848064,-1.0148664135253427,0.0,-0.829425738630606,-0.15159521860761915,0.4439910453589742,-0.42103877813467283,,,,,,0.8472599999999998
VSA-upper-20240908T2300,2024-09-08 23:00:00,2024-09-28 22:00:00,upper,False,1.4391082006627045,-7.60317,6.59124,False,False,upper-16,-1.3660538180588655,-0.25811442876034,0.0,0.011972894768228782,0.16090188826517554,-0.25637213990572466,0.2157472573890442,,,,,,-14.194410000000001
VSA-upper-20240909T0535,2024-09-09 05:35:00,2024-09-06 04:00:00,upper,False,1.845877912116614,59.07865,-1.9813349999999998,False,False,upper-17,-0.21755844326467988,-0.9246843959976533,0.0,-0.6731133935889221,0.011038862444996649,1.3320231345944928,-0.5266908294197674,,,,,,61.059985000000005
VSA-upper-20240910T0920,2024-09-10 09:20:00,2024-09-11 10:00:00,upper,False,1.219274752034719,0.5760400000000001,-3.07365,False,False,upper-18,-0.2362739709902679,-0.5312137261184549,0.3221895035871842,0.08643652941705307,-0.009323033782163004,0.871944376538759,-0.5262758251993652,,,,,,3.6496900000000005
VSA-upper-20240913T0530,2024-09-13 05:30:00,2024-09-20 05:00:00,upper,False,0.6313170797311736,42.747240000000005,9.54886,False,False,upper-19,-0.02377132261642596,-0.12228154752426774,0.0,-0.17679513740301592,0.4431492032980519,0.19787936375590526,-0.34095369615673843,,,,,,33.19838000000001
VSA-upper-20240913T2250,2024-09-13 22:50:00,2024-09-30 21:00:00,upper,False,1.261952516850865,27.080794999999995,23.714315,False,False,upper-20,-0.35625127450435773,0.8624886005378657,0.0,-0.4852873044952033,-0.21969760031005944,-0.3937865989293978,-0.5318683193797926,,,,,,3.3664799999999957
VSA-upper-20240913T2300,2024-09-13 23:00:00,2024-09-11 23:00:00,upper,False,1.2601095435210092,25.547300000000007,47.00712,False,False,upper-20,-0.4786180623414254,-0.5878811023616818,0.0,0.0735762757533311,0.46783740360910886,-0.5030070572177954,0.7320486441343436,,,,,,-21.459819999999993
VSA-upper-20240913T2310,2024-09-13 23:10:00,2024-09-12 23:00:00,upper,False,0.45804863310480876,25.547300000000007,38.56242499999999,False,False,upper-20,-0.2691514276765828,-0.054553776729593606,0.0,0.29450245321755364,-0.14834765712591735,-0.14262980122421273,-0.072855762916978,,,,,,-13.015124999999983
VSA-upper-20240914T1745,2024-09-14 17:45:00,2024-09-08 18:00:00,upper,False,0.8561956634150237,130.53138,39.91824,False,False,upper-21,-0.3240537879583644,-0.4927858989344257,-0.13475680767964685,0.4036205216422136,-0.32565893072153246,0.048194634046585284,-0.3094783187165128,,,,,,90.61314000000002
VSA-upper-20240914T1805,2024-09-14 18:05:00,2024-09-08 18:00:00,upper,False,0.8430504255905239,111.056045,39.91824,False,False,upper-21,0.08823640556083877,-0.057456453691916105,-0.42637017772120117,0.3243844584303621,0.10858109368926873,0.2624222401688593,-0.5761727357208487,,,,,,71.137805
VSA-upper-20240914T1950,2024-09-14 19:50:00,2024-09-28 20:00:00,upper,False,1.8332313403656941,17.408640000000005,7.57965,False,False,upper-22,1.492648175158572,-0.04514636357474144,0.0,0.6040410418891339,0.8416073315653034,0.06963192540715188,-0.22952841323870063,,,,,,9.828990000000005
VSA-upper-20240914T2035,2024-09-14 20:35:00,2024-09-08 20:00:00,upper,False,3.142383443894802,-16.958110000000005,57.47696,False,False,upper-23,2.608028960450252,0.5324183787924852,0.0,0.6146312096557349,0.8401613216224917,-1.005387654920885,0.8335720802307839,,,,,,-74.43507
VSA-upper-20240914T2220,2024-09-14 22:20:00,2024-09-21 22:00:00,upper,False,3.393275968949933,5.245965000000002,10.740804999999998,False,False,upper-24,2.0850173529874345,1.5303306036051774,0.0,1.161422878511706,0.24413256707731265,-1.6136321245541125,-0.9015543446917638,,,,,,-5.494839999999996
VSA-upper-20240914T2335,2024-09-14 23:35:00,2024-09-28 22:00:00,upper,False,2.5541359405738007,27.261664999999997,6.59124,False,False,upper-25,1.271781754505764,0.8565161557984559,0.0,1.0236552920081676,0.18078505508617432,-0.9239081664693567,-1.4961289896348124,,,,,,20.670424999999998
VSA-upper-20240915T0320,2024-09-15 03:20:00,2024-09-01 02:00:00,upper,False,2.1831621189081236,13.767904999999999,0.5118149999999986,False,False,upper-26,1.2527810084210762,0.7945838007121871,0.0,-0.4230452693609354,1.123297172324171,-0.6394270306333434,0.8460156034234426,,,,,,13.25609
VSA-upper-20240915T0540,2024-09-15 05:40:00,2024-09-28 06:00:00,upper,False,1.9501975919710897,33.471385000000005,0.01999999999999602,False,False,upper-27,1.5354120337202464,-0.0006087879350902347,0.0,0.0037755922645351676,0.8575847059228267,0.28413802506554625,-0.7934607511378928,,,,,,33.45138500000001
VSA-upper-20240915T0555,2024-09-15 05:55:00,2024-09-28 06:00:00,upper,False,1.978108955798311,33.471335,0.01999999999999602,False,False,upper-27,1.5639321719836223,-0.004735670778363138,0.0,0.0037755922645351676,0.8575858973938012,0.28413802506554625,-0.8067258097225675,,,,,,33.45133500000001
VSA-upper-20240915T0625,2024-09-15 06:25:00,2024-09-28 06:00:00,upper,False,2.285441246128242,25.239285000000002,0.01999999999999602,False,False,upper-27,1.838365975374233,-0.01509798478756804,0.0,0.0075296651335856404,0.8808290927155084,0.2937443011023875,-0.9905664945296395,,,,,,25.219285000000006
VSA-upper-20240915T0915,2024-09-15 09:15:00,2024-09-01 08:00:00,upper,False,2.2773381534997457,-10.318550000000002,-0.4156800000000018,False,False,upper-28,-1.2067946445433224,-0.7283668708502613,0.5707094084042766,0.5174908927189186,-0.01761389201173431,-1.189613822690454,1.091054583198662,,,,,,-9.90287
