time,REGIONID,coal_target_mw,coal_initial_mw,coal_available_mw,online_units_proxy,not_generating_units_proxy,unknown_units,observed_units,online_registered_mw_proxy,not_generating_registered_mw_proxy,capacity_covered_units,expected_units,missing_units,not_generating_is_not_verified_outage
2024-09-08 16:55:00,QLD1,3865.16524,3738.72779,4528.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:00:00,NSW1,4858.7789,4742.29588,5783.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:00:00,QLD1,3997.1801100000002,3843.86932,4528.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:05:00,NSW1,4961.95286,4824.08464,5775.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:05:00,QLD1,4098.95967,3967.59796,4529.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:10:00,NSW1,5039.64441,4951.82149,5775.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:10:00,QLD1,4123.75338,4085.64194,4529.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:15:00,NSW1,5119.96908,5035.36806,5795.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:15:00,QLD1,4105.28618,4115.90695,4530.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:20:00,NSW1,5289.09561,5137.20094,5795.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:20:00,QLD1,4148.94751,4117.52042,4531.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:25:00,NSW1,5360.52467,5232.66175,5795.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:25:00,QLD1,4154.91391,4113.6335,4531.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:30:00,NSW1,5469.12841,5354.70995,5795.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:30:00,QLD1,4266.3251199999995,4135.29173,4532.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:35:00,NSW1,5554.8139,5461.69435,5786.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:35:00,QLD1,4290.54519,4239.72654,4532.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:40:00,NSW1,5644.30691,5555.88558,5786.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:40:00,QLD1,4335.17022,4284.03032,4533.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:45:00,NSW1,5657.02876,5592.70273,5786.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:45:00,QLD1,4348.80289,4282.28042,4531.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:50:00,NSW1,5667.29328,5637.79625,5726.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:50:00,QLD1,4356.93628,4323.06301,4531.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 17:55:00,NSW1,5698.21703,5669.21739,5726.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 17:55:00,QLD1,4381.0,4344.32907,4531.0,12,3,0,15,4884.0,1100.0,15,41,26,True
