time,direction,_merge
2024-11-19 06:40:00,upper,left_only
2024-12-18 18:45:00,lower,left_only
2025-09-11 20:30:00,lower,right_only
2025-09-15 07:25:00,upper,left_only
2025-09-15 07:30:00,upper,right_only
2025-11-06 15:05:00,lower,left_only
2025-12-27 05:55:00,upper,left_only
2025-12-27 06:00:00,upper,right_only
