index,mean_standardized_difference,mean_absolute_pair_difference
balance_NSW1_TOTALDEMAND,0.13347665646560317,0.7691263291351932
balance_NSW1_SS_WIND_CLEAREDMW,0.18164375726785764,0.7734247534780393
balance_NSW1_SS_SOLAR_CLEAREDMW,0.11624640070841238,0.6170574943472485
balance_NSW1_AVAILABLEGENERATION,0.05834552915674407,0.7500817003896506
balance_NSW1_RRP,-0.05085233198746783,0.6551712556685189
balance_flow,-0.01261577352862987,0.6668765252869603
balance_headroom,-0.08741543390882962,0.5849999922726584
balance_VIC1_TOTALDEMAND,0.09114218481149206,0.6037304477020418
balance_VIC1_SS_WIND_CLEAREDMW,0.26722107453460897,0.6506564566070449
balance_VIC1_SS_SOLAR_CLEAREDMW,-0.06855689939385279,0.4461449571476943
balance_VIC1_AVAILABLEGENERATION,0.29857976860791535,0.6809794650006931
balance_VIC1_RRP,-0.04855714098650746,0.5160262178493015
