DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_rank,reversal_rank,forced_rank
CHBESS1,10985,141211.44278871574,11.250875744242679,115.41358281358264,70862.31304744507,70349.12974127065,2177,289,3053,780,408,23.0,22.0,0.09898820590755814,0.06811043899853104,193.0,1630,-0.212,1.0,-2.1521873074553297,-0.9641636437976666,-0.3820015927794001,2.1521873074553297,114,115,122,99
GSTONE1,9935,139474.2505739368,42.51664726202001,688.7747620943614,72182.46847786059,67291.78209607622,2109,254,3018,756,406,24.0,21.0,0.019153995285355743,-0.025329055790057273,16.0,1550,-0.954,1.0,-11.415701415701415,-2.0821860609028193,9.32648401826484,11.415701415701415,115,112,141,130
MCINTYR1,10830,138358.09243565402,15.858815379208922,183.4105245700246,72075.99489878601,66282.09753686801,2121,287,3034,751,397,24.0,22.0,0.060877076896883105,0.046138986344127164,305.0,1651,-1.0,1.0,-1.3186813186813184,-0.9220894654058857,3.144654088050314,3.144654088050314,116,113,123,127
GANGARR1,10958,138160.7045688478,13.483640572489257,127.60807114624504,73099.49152003473,65061.21304881308,2177,290,3053,780,408,24.0,22.0,-0.029301728340072605,0.10705990486509717,81.0,1653,-0.213,1.0,-2.1521873074553297,-0.9662444268828374,-0.10571761960326721,2.1521873074553297,117,109,109,99
JEMALNG1,114223,136761.39099114743,10.324028421906648,143.92000000000002,62893.349518903335,73868.04147224409,5795,4573,9715,1824,738,24.0,11.0,-0.10269830845656545,0.00631753355093442,7.0,3839,-0.808,0.801,-2.8588957055214723,1.1656135103053682,5.30344827586207,5.30344827586207,118,120,34,25
URANQ14,91547,132947.09055749196,13.745873369161377,642.36,91800.83382026704,41146.25673722491,3753,3647,7280,1175,549,24.0,9.0,0.06613460822550625,0.019896711512547682,290.0,3831,-0.985,0.986,-10.625766871165643,1.1723641557307714,9.737991266375547,10.625766871165643,119,93,50,52
CHILDSF1,9935,125487.1299638161,18.46948405431939,192.7000122850123,64854.06091222093,60633.06905159517,2109,254,3018,756,406,24.0,21.0,-0.0317172684101742,0.04496115492309709,6.0,1545,-1.0,1.0,-12.113022113022113,-1.342835018585382,11.325028312570781,12.113022113022113,120,118,141,130
URANQ12,91547,124316.59167901226,13.235085820909674,634.1786230719999,90569.2033304579,33747.38834855438,3753,3647,7280,1175,549,24.0,9.0,0.05572870426888678,0.01106429762731976,178.0,3831,-0.985,0.986,-10.625766871165643,1.1723641557307714,9.737991266375547,10.625766871165643,121,96,50,52
DULAWF1,10958,121960.73976093186,9.786286782346222,95.735,59969.94536689852,61990.794394033335,2177,290,3053,780,408,24.0,22.0,0.04586667043158999,0.0262892419771823,103.0,1653,-0.213,1.0,-2.1521873074553297,-0.9731102586177116,-0.10571761960326721,2.1521873074553297,122,125,109,99
WANDB1,10958,120766.09987053167,10.863490575205395,87.41379310344828,61883.40540017783,58882.69447035386,2177,290,3053,780,408,24.0,22.0,0.08566527928129984,0.047141446015438355,198.0,1653,-0.213,1.0,-2.1521873074553297,-0.9662444268828374,-0.10571761960326721,2.1521873074553297,123,123,109,99
MIDDLSF1,9935,118590.89383260644,21.3386575224993,288.96865369649805,57031.342338997216,61559.55149360922,2109,254,3018,756,406,24.0,21.0,-0.009528472133348785,0.10088698594436973,5.0,1550,0.181,1.0,-11.742627345844504,-4.183500869160566,10.264672036823935,11.742627345844504,124,127,141,130
TARONG#4,10823,116518.66759102888,14.516013567609688,73.01817399999993,62908.586112672434,53610.08147835644,2159,280,3052,775,407,24.0,22.0,0.13989068522138803,-0.01620239808960403,16.0,1584,-0.189,1.0,-1.1428571428571428,-0.9668761242200288,0.3577075098814229,1.1428571428571428,125,119,132,113
KAREEYA2,9935,115467.86574287555,24.88755891081694,268.6915358100345,62521.22683279104,52946.638910084504,2109,254,3018,756,406,24.0,21.0,0.05438941957005295,0.040857527321545205,0.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,126,122,141,130
PARSF1,114223,114289.44410826551,10.424200794309362,111.56760281368821,53087.74264887885,61201.70145938666,5795,4573,9715,1824,738,24.0,11.0,-0.08480249401973014,0.02057997289458731,0.0,3833,-0.809,0.774,-1.3374233128834356,1.1409195360859523,5.289655172413793,5.289655172413793,127,130,34,25
DDSF1,11003,113788.65378953805,12.786432245997219,85.14220553359681,55848.77796423649,57939.87582530156,2177,290,3053,780,408,24.0,22.0,-0.06214559401138265,0.10494491353518696,21.0,1661,-0.239,1.0653,-2.012630930375847,-0.9590652421295996,-0.46402973188213437,2.012630930375847,128,128,109,99
MPP_1,11773,113084.47179917572,13.710186893524822,96.63949826600982,62564.39876782086,50520.07303135488,2133,298,3103,758,404,24.0,22.0,0.12981964718096017,0.01436001237050835,258.0,2150,-0.474,1.4,-1.4,-0.939335872720132,-0.7920604914933836,1.4,129,121,107,95
CROOKWF3,93951,106145.94974160401,11.618009208633728,337.1088,45970.853009723716,60175.096731880294,3825,3768,7497,1197,558,24.0,10.0,0.0024140201084692503,-0.030676621570328414,5.0,3682,-1.0,1.0,-11.01840490797546,1.454863435071787,10.91703056768559,11.01840490797546,130,139,41,41
WYASF1,91547,97586.96196494275,13.528171428596085,181.47060812571425,37607.05846788437,59979.903497058374,3753,3647,7280,1175,549,24.0,9.0,-0.07229079071122563,0.007331778842710992,2.0,3627,-0.983,0.985,-10.60122699386503,1.3566297346720952,9.72707423580786,10.60122699386503,131,149,50,52
KAREEYA3,9935,94898.01979714453,18.182928470726992,225.56962025316454,48769.87375926278,46128.14603788174,2109,254,3018,756,406,24.0,21.0,0.05531208332566796,0.03495308635684901,2.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,132,134,141,130
KAREEYA1,9935,94830.86722858323,16.688102110640614,225.56962025316454,48170.85875185178,46660.00847673145,2109,254,3018,756,406,24.0,21.0,0.060591276652518164,0.04521612802109819,0.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,133,136,141,130
KAREEYA4,9935,94428.41354384666,22.20646469668259,268.50259751097946,51399.8727361925,43028.54080765417,2109,254,3018,756,406,24.0,21.0,0.05806483786786868,0.03923346413540766,2.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,134,133,141,130
URANQ11,91547,94053.99406706894,10.666010311599912,565.9892835664739,65872.28389695458,28181.710170114355,3753,3647,7280,1175,549,24.0,9.0,0.04533806955725405,0.015113188704763332,164.0,3831,-0.985,0.986,-10.625766871165643,1.1723641557307714,9.737991266375547,10.625766871165643,135,117,50,52
SWAN_E,7166,93510.82612250948,10.2208921120387,279.14913551627535,47241.24459002826,46269.581532481214,1048,160,1861,385,185,21.0,14.0,0.1546059551313473,-0.013422561817508302,238.0,1342,-0.89,1.0,-2.4054054054054053,-0.9648689491012611,0.6047197640117993,2.4054054054054053,136,137,196,201
TARONG#3,10823,93478.03536112659,10.678061735072573,78.48518273575523,52634.23714048292,40843.798220643665,2159,280,3052,775,407,24.0,22.0,0.13392140144582795,-0.004108455602844275,7.0,1584,-0.189,1.0,-1.1428571428571428,-0.9668761242200288,0.3577075098814229,1.1428571428571428,137,131,132,113
TARONG#2,10823,91095.26755740099,8.380807612397122,77.77317636705502,48754.71428560329,42340.553271797704,2159,280,3052,775,407,24.0,22.0,0.14979586958551197,-0.014602437335456558,29.0,1584,-0.189,1.0,-1.1428571428571428,-0.9668761242200288,0.3577075098814229,1.1428571428571428,138,135,132,113
W/HOE#2,6025,88954.69804478642,8.969134590053233,217.25,43346.841841274734,45607.856203511685,893,129,1618,329,166,19.0,7.0,0.1411263107732106,0.047441177783504436,249.0,1216,-0.0869,1.0,-2.8265706806282727,-0.927467689861234,-0.17487684729064037,2.8265706806282727,139,140,206,203
WAGGNSF1,91547,88003.69606212429,9.35998305170045,163.72458641714283,37248.46433611585,50755.23172600843,3753,3647,7280,1175,549,24.0,9.0,-0.10845046105198078,0.002984878467787508,1.0,3627,-0.983,0.985,-10.60122699386503,1.3566502405304992,9.72707423580786,10.60122699386503,140,151,50,52
KEPWF1,9935,87121.31648353476,24.119867094171738,239.09192635212878,36249.1220797815,50872.19440375326,2109,254,3018,756,406,24.0,21.0,0.017329520137483297,-0.011473545496959439,6.0,1550,0.179,1.0,-12.42627345844504,-4.171209249639919,10.264672036823935,12.42627345844504,141,153,141,130
MANSLR1,119629,85350.27446110875,3.8034442431890727,85.2804700990728,43000.93892985602,42349.33553125274,6165,4759,9724,1948,739,24.0,21.0,-0.05575923801346224,0.017485018354286213,0.0,3834,-0.824,0.848,-0.7266187050359713,1.0515791578073819,5.372413793103449,5.372413793103449,142,141,21,21
DPNTB1,91547,83459.93269821764,9.66979008986366,229.7668038408779,46558.88061500294,36901.0520832147,3753,3647,7280,1175,549,24.0,9.0,0.037573339647934266,-0.0003038924641558086,0.0,3627,-0.986,0.987,-10.650306748466257,1.3545869426095278,9.748908296943231,10.650306748466257,143,138,50,52
WDBESS2,2106,80175.13929856615,55.575776394058074,451.4999999999999,42042.945207395125,38132.194091171026,382,71,688,134,88,12.0,12.0,0.09721992870247319,0.14209792318323344,226.0,538,-0.201,1.0,-1.5948616600790515,-0.926542367236668,-0.3820015927794001,1.5948616600790515,144,142,214,207
GREENB1,6348,77094.90759591514,22.445780738713992,231.54450048108103,37919.77997539363,39175.127620521525,886,140,1751,327,159,19.0,8.0,0.094391536290031,0.042316032608178185,225.0,1160,-0.964,1.0,-2.9157509157509156,-1.0163762667181695,0.7955974842767296,2.9157509157509156,145,147,199,202
BROKENH1,91210,76452.46677304352,10.066115071045731,199.10266159695817,28420.70830119053,48031.75847185298,3716,3628,7198,1163,538,22.0,9.0,-0.11701660916253992,0.008068296354654525,0.0,3821,-0.988,0.988,-10.687116564417177,0.9153551220710459,9.770742358078603,10.687116564417177,146,165,73,72
TARONG#1,10823,74801.92652887081,7.613278386286683,83.8650045,37904.05271953873,36897.87380933208,2159,280,3052,775,407,24.0,22.0,0.1408785564115799,-0.010680767066992156,11.0,1584,-0.189,1.0,-1.1428571428571428,-0.9668761242200288,0.3577075098814229,1.1428571428571428,147,148,132,113
BRAEMAR1,10944,73710.29106003651,12.21319563447499,143.99144,41188.09345789638,32522.19760214012,2170,286,3052,778,407,24.0,22.0,0.13351062630600632,0.08909091070472897,137.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,148,144,124,113
TALWA1,2008,72349.01249963825,19.942479667467335,611.7611989360635,39638.25543064175,32710.7570689965,680,136,453,235,94,17.0,8.0,-0.0005925118330538385,-0.044927971825885926,11.0,2629,-1.0,1.0,-11.425959780621572,0.6721657032912218,13.717421124828531,13.717421124828531,149,145,201,217
NESBESS2,37651,71927.8482372116,1.3030930233670701,50.15657620041753,37322.25424588153,34605.59399133007,3251,1199,2547,1187,214,7.0,33.0,0.0646799876535153,0.03299528912829448,264.0,1510,-1.0,1.0,0.2017,0.9966204488973771,1.0141987829614605,1.0141987829614605,150,150,93,179
