DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_rank,reversal_rank,forced_rank
TNPS1,11250,34520.81004464757,7.99333429910532,143.17016235883528,21083.484416505227,13437.325628142346,2161,291,3069,777,409,24.0,23.0,0.03541717749882304,-0.014601653021223895,17.0,2533,-0.189,1.5706,-1.5706,-1.0694644614151305,0.3577075098814229,1.5706,182,178,108,97
CLRKCWF2,6729,33421.913877192754,16.72764369005802,152.66206896551725,16274.734654725125,17147.17922246763,1229,127,2182,427,241,17.0,11.0,0.04348001269717175,0.03097658124766396,0.0,960,0.179,1.0,-12.37265415549598,-4.214091851695272,6.098964326812428,12.37265415549598,183,186,208,187
BRAEMAR6,10944,33164.56985151528,2.3909553508973707,80.0,16744.373893260192,16420.19595825509,2170,286,3052,778,407,24.0,22.0,0.038405122699914626,0.03045861199505271,44.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,184,185,124,113
GESF1,1677,32446.38234902013,7.736738677010645,241.02463462857142,13901.22331148002,18545.159037540107,315,92,273,108,41,7.0,8.0,-0.047624136302695255,0.02609163734934464,0.0,892,-0.987,0.987,-0.17554858934169282,1.4946675509109142,7.672131147540984,7.672131147540984,185,189,210,226
OAKEY2,8814,29947.13249747313,3.2070712306664486,120.60621048275861,12860.901721940361,17086.230775532767,1244,203,2086,438,200,22.0,18.0,0.10079581528747573,0.02139669785311554,52.0,953,-1.0,1.0,-1.868131868131868,-0.6125309122132352,2.949852507374631,2.949852507374631,186,193,187,191
SHPUMP,2008,28497.930881459306,12.302724968895381,324.2276422764228,17391.288325984588,11106.642555474715,680,136,453,235,94,17.0,8.0,-0.022734206878704588,-0.056751108773159455,5.0,2811,-0.998,1.0,-12.949245541838133,-1.0209782521630553,7.968127490039841,12.949245541838133,187,184,201,217
BRAEMAR3,10944,27541.223518479568,1.735853377991086,83.88571428571424,14036.878607440307,13504.344911039261,2170,286,3052,778,407,24.0,22.0,0.0698938949457152,0.02101803760614442,78.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,188,188,124,113
WAMBOWF1,6777,26950.849503218058,6.971163217412912,103.09286068965517,13639.10155671308,13311.74794650498,1232,131,2181,425,240,15.0,12.0,0.012309960724343556,0.01980340091815284,6.0,841,-0.09,1.0,-1.976284584980237,-0.9797731546648806,-0.24324324324324323,1.976284584980237,189,190,205,188
YABULU2,9935,26948.3797367457,10.280463759495259,410.126582278481,26678.345105744982,270.03463100071656,2109,254,3018,756,406,24.0,21.0,0.08251191582011096,0.04902049580355954,8.0,1550,0.179,1.0,-12.42627345844504,-4.1721978452270045,10.253164556962025,12.42627345844504,190,169,141,130
CG1,120082,25630.655865096287,0.6471231099385372,58.89187152317881,13531.154618133942,12099.501246962343,5879,4712,9494,1833,672,24.0,21.0,-0.0005584258381979973,0.012619282605482451,185.0,2848,-1.0,0.465,-3.5087719298245617,-0.3290195541206703,2.521531100478469,3.5087719298245617,191,191,25,30
CPSA,10958,25500.273434204973,3.6731146385221276,62.46,15853.225696706362,9647.047737498608,2177,290,3053,780,408,24.0,22.0,0.0756337108484103,0.020884135756851878,37.0,1653,-0.213,1.0,-2.1521873074553297,-0.9731102586177116,-0.10571761960326721,2.1521873074553297,192,187,109,99
WARWSF1,8814,23784.55555001967,4.678543655444151,32.91054827586206,12975.33707856702,10809.218471452652,1244,203,2086,438,200,22.0,18.0,0.03597394587989045,0.1040454261742554,0.0,953,-1.0,1.0,-1.868131868131868,-0.6123595745901341,2.949852507374631,2.949852507374631,193,192,187,191
WARWSF2,8814,22618.979299211398,4.271461860504393,32.59234135714285,12158.950663705742,10460.028635505656,1244,203,2086,438,200,22.0,18.0,0.03528624675747856,0.09147603729216511,0.0,953,-1.0,1.0,-1.868131868131868,-0.6123595745901341,2.949852507374631,2.949852507374631,194,194,187,191
MARYRSF1,8814,21527.98752823819,3.834049653838663,24.233748864779876,11238.813848945003,10289.173679293186,1244,203,2086,438,200,22.0,18.0,-0.012146208271548614,0.10755781248641898,0.0,953,-1.0,1.0,-1.868131868131868,-0.6125189414826796,2.949852507374631,2.949852507374631,195,195,187,191
GULLRSF1,93951,19183.827678782734,1.9888491028407524,44.044968,8854.881712789615,10328.94596599312,3825,3768,7497,1197,558,24.0,10.0,-0.134962684867916,0.01072822451891239,0.0,3674,-0.997,0.997,-11.01840490797546,1.4669168009991007,10.753275109170305,11.01840490797546,196,198,41,41
OAKEY1SF,8814,18863.126397209686,3.0379863688288524,28.185915848155034,10179.157201967984,8683.969195241702,1244,203,2086,438,200,22.0,18.0,0.03428763211307615,0.10887203478575797,0.0,953,-1.0,1.0,-1.868131868131868,-0.6125309122132352,2.949852507374631,2.949852507374631,197,196,187,191
BRAEMAR2,10944,17930.494573658285,8.014220409574571,133.0,9099.976296180443,8830.518277477842,2170,286,3052,778,407,24.0,22.0,0.016439388689930362,-0.0064865860564917496,24.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,198,197,124,113
MUCRKSF1,1941,16475.55849954031,19.557409107238357,132.95857411764703,8544.346657502532,7931.211842037777,356,63,676,125,83,12.0,11.0,-0.024804637316167916,0.11555245089132295,2.0,521,-0.42,1.0,-13.10615989515072,-0.866823962986137,3.9056603773584904,13.10615989515072,199,199,215,208
QBYNB1,91028,14513.937420369692,2.5292015505923566,55.18983739837394,7343.545275007484,7170.392145362208,3704,3625,7157,1154,537,21.0,9.0,0.0334529429288618,0.023971685152257116,0.0,3588,-0.992,0.992,-10.539877300613496,1.3411585109743527,9.617903930131005,10.539877300613496,200,200,83,82
OAKEY1,8814,13752.095416012775,1.64787047401145,93.19999999999987,5999.223527547492,7752.871888465283,1244,203,2086,438,200,22.0,18.0,0.09403514035059404,0.052485482136620396,12.0,953,-1.0,1.0,-1.868131868131868,-0.6125309122132352,2.949852507374631,2.949852507374631,201,202,187,191
HUNTER2,24696,13609.240522035492,0.3402904961267415,19.69363256784969,4893.670813632569,8715.569708402923,2412,925,2401,774,204,12.0,9.0,0.028327793655913095,0.03432931653206183,113.0,903,-0.871,0.728,-1.4413793103448276,0.03806892146975299,2.0956937799043063,2.0956937799043063,202,206,97,184
WDBESSG1,1325,11228.50367665931,5.457896409917186,85.51428571428572,5237.283841691701,5991.219834967607,353,43,368,128,86,3.0,11.0,0.043443170497564285,0.060778441428400345,30.0,188,-0.0869,0.948,-1.1757990867579908,-0.9389806003223078,-0.6730552423900789,1.1757990867579908,203,205,218,221
SWANBBF1,1555,10940.386257683562,11.481743332158246,259.1719077568134,5309.609402540142,5630.776855143422,230,40,585,77,59,10.0,7.0,0.049364660976864594,-0.013809351799431071,31.0,323,-0.881,0.989,-2.381081081081081,-0.8654364208294071,0.5870206489675516,2.381081081081081,204,204,222,210
GUSF1,1740,10526.313212168576,6.6588940122304505,79.769533,6075.652672453785,4450.6605397147905,290,54,639,103,76,10.0,8.0,-0.047836266570605836,0.09440846283229438,1.0,367,-0.371,1.0,-1.015857760691975,-1.0007320456784843,-1.0,1.015857760691975,205,201,217,209
BRDDSF01,1494,8593.417701478169,34.866398232726795,398.4483890196078,4367.82492833572,4225.592773142449,194,31,569,72,58,6.0,8.0,0.02109066904160805,0.07889656595544378,10.0,231,0.19,0.998,-11.971465629053178,-3.5583367859700257,-0.544,11.971465629053178,206,207,227,211
LIMBESS1,1632,8253.927637227443,2.987908357421651,200.57142857142858,3200.5551874495004,5053.372449777942,322,89,263,114,38,9.0,8.0,-0.09796956456413111,-0.08106084986250436,1.0,1374,-0.987,0.987,-10.67484662576687,1.3472810232112293,7.672131147540984,10.67484662576687,207,210,211,227
BARCALDN,9935,7397.692931458176,21.87670209018663,379.3670886075949,5579.8898315718725,1817.8030998863037,2109,254,3018,756,406,24.0,21.0,0.006264598983611879,-0.024508164483741553,2.0,1550,0.181,1.0,-11.769436997319035,-4.184548536168375,10.253164556962025,11.769436997319035,208,203,141,130
QPSFB1,14482,6008.047724681905,0.2868353460149592,4.514685795407086,3074.823707964147,2933.224016717757,1291,483,1868,422,142,7.0,8.0,-0.08386651766109628,0.04723958897216302,0.0,1118,-0.809,0.765,-0.3282520325203252,0.9517822489654713,4.165775401069519,4.165775401069519,209,211,104,199
RESS1L,16136,5784.603782401886,6.865267544933344,123.0994285714285,3248.800525828137,2535.803256573749,697,590,3636,211,108,2.0,6.0,0.019304323905393293,-0.02279067918489811,1.0,400,-0.948,0.893,-9.748908296943231,-1.0942600858665925,0.9280575539568344,9.748908296943231,210,209,100,91
ROMA_8,10958,5731.708184356579,0.5141397309200685,30.912124371460916,3067.974378848579,2663.733805508,2177,290,3053,780,408,24.0,22.0,0.011938456028366646,-0.002410048669944785,1.0,1653,-0.213,1.0,-2.1521873074553297,-0.9731102586177116,-0.10571761960326721,2.1521873074553297,211,212,109,99
BLOWERNG,91574,4742.322772717658,0.4045592370325276,60.40228571428569,3471.2142112194747,1271.108561498184,3754,3647,7300,1175,550,24.0,9.0,0.01525786957191411,0.009114164175766593,0.0,3659,-0.975,0.977,-10.441717791411042,1.3825024453806205,9.65065502183406,10.441717791411042,212,208,50,49
RESS1G,16136,4438.1921461957945,5.505110420695942,96.5485714285711,2650.820576065845,1787.3715701299493,697,590,3636,211,108,2.0,6.0,0.09769945000731306,0.02035887490830685,22.0,400,-0.893,0.948,-0.9280575539568344,1.0942600858665925,9.748908296943231,9.748908296943231,213,213,100,91
HUNTER1,24696,4191.983721043842,0.06008650591525344,0.0,2304.880105626305,1887.1036154175365,2412,925,2401,774,204,12.0,9.0,0.040197959594552246,0.01405773108066878,62.0,903,-0.871,0.728,-1.4413793103448276,0.03806892146975299,2.0956937799043063,2.0956937799043063,214,215,97,184
ROMA_7,10958,4130.762169548198,0.4425878201802855,13.700987999999983,2316.371318946785,1814.3908506014125,2177,290,3053,780,408,24.0,22.0,0.030136375473268046,0.016632104572133273,0.0,1653,-0.213,1.0,-2.1521873074553297,-0.9731102586177116,-0.10571761960326721,2.1521873074553297,215,214,109,99
HUMENSW,91464,3975.4746166387577,0.766695338380125,79.01538461538462,1914.959366473056,2060.515250165701,3730,3636,7253,1168,543,23.0,9.0,-0.00401754037972264,0.0023664324286783106,0.0,3639,-0.987,0.988,-10.67484662576687,1.3829528333645829,9.759825327510917,10.67484662576687,216,216,71,70
HEZ1,157352,3429.748386630161,0.016483197683301896,0.0,1750.6596304404081,1679.0887561897532,8739,6236,10102,2983,849,24.0,27.0,-0.0008140223218796,-0.011092360909913246,9.0,3448,-0.923,0.817,-1.4344827586206896,0.2169418479050336,2.597122302158273,2.597122302158273,217,217,9,9
QPSFB2,14482,2929.1545026166064,0.08157556707065765,3.8079331941544887,1480.5265083595004,1448.6279942571055,1291,483,1868,422,142,7.0,8.0,0.03449692112767345,0.03840648357999461,0.0,1118,-0.809,0.765,-0.3282520325203252,0.9517822489654713,4.165775401069519,4.165775401069519,218,218,104,199
BUSF1,1408,2619.469820133702,2.4010822753401415,14.711598369011217,1399.7665346269691,1219.7032855067328,144,25,522,53,43,5.0,6.0,-0.022294991889043343,0.12106575317465783,0.0,31,0.291,0.998,-2.471407976934166,-0.46612253239664586,-0.3050314465408805,2.471407976934166,219,219,228,216
CHBESSL1,1325,719.9736696556611,0.7228651301763666,28.18877799726204,520.2264681526816,199.74720150297955,353,43,368,128,86,3.0,3.0,0.030668628545089,-0.0851552526840117,1.0,188,-0.948,0.0869,0.6730552423900789,0.9389806003223078,1.1757990867579908,1.1757990867579908,220,220,218,221
CHBESSG1,1325,600.4207436173297,0.6028320719049495,23.214242359075534,313.0512764422612,287.3694671750684,353,43,368,128,86,3.0,3.0,-0.0587832159909125,-0.0298137551166135,0.0,188,-0.0869,0.948,-1.1757990867579908,-0.9389806003223078,-0.6730552423900789,1.1757990867579908,221,222,218,221
WANDSF2,190,477.2155724528302,4.078765576519916,58.28208893081761,414.45426320754717,62.761309245283016,56,0,94,19,12,3.0,6.0,-0.4739929461180923,-0.1352410108954294,2.0,97,0.235,0.949,-0.9947589098532494,-0.9142248778288379,-0.3913595933926302,0.9947589098532494,222,221,234,231
CAPBES1L,16136,337.3197969543147,0.010491409459887868,0.0,168.65989847715736,168.65989847715736,697,590,3636,211,108,2.0,6.0,0.0090256313740927,0.0218675315670698,1.0,254,-0.942,0.881,-9.617903930131005,-0.9448126816675844,0.9496402877697842,9.617903930131005,223,223,100,91
BRDDBES1,177,299.56580693554906,1.6835398796191599,16.635220125786166,0.0,299.56580693554906,49,0,61,16,12,3.0,8.0,-0.0112278952377839,-0.10586534621444368,1.0,91,0.529,0.998,-3.8745098039215686,-3.3841473253658596,-0.5545073375262055,3.8745098039215686,224,228,234,233
CAPBES1G,16136,270.4568527918782,0.008411820502359984,0.0,135.2284263959391,135.2284263959391,697,590,3636,211,108,2.0,6.0,-0.0036769161811166,0.0139614847234856,0.0,254,-0.881,0.942,-0.9496402877697842,0.9448126816675844,9.617903930131005,9.617903930131005,225,224,100,91
WAMBOWF2,278,125.94354484379997,0.4398210614943959,2.2158984239733623,61.3867411759049,64.55680366789507,76,0,116,28,17,4.0,8.0,-0.10326361563065094,-0.1149599794290976,0.0,96,0.232,0.999,-1.0183486238532111,-0.9271296421300121,-0.9098039215686274,1.0183486238532111,226,225,234,228
MULWASF1,318,1.5155297805642634,0.001627161109527881,0.007288401253918496,0.009717868338557995,1.5058119122257054,21,13,95,8,8,2.0,5.0,-0.1541594441352733,0.1539072325400667,0.0,315,-0.986,0.986,-1.4663774403470715,1.1118224408126645,4.267441860465117,4.267441860465117,227,227,229,230
ERB02,4029,0.3225469728601253,0.00012162404708149521,0.0,0.0,0.3225469728601253,344,61,63,111,11,1.0,4.0,0.000469336141614,-0.013204836715373197,0.0,161,-0.558,1.0,-4.784688995215311,-0.11777379317259105,1.9684210526315793,4.784688995215311,228,228,216,232
WOOLES1,276,0.26353333333333334,0.0010583668005354752,0.03443893081761006,0.23145440251572325,0.03207893081761007,76,0,116,28,17,3.0,8.0,-0.0680857615200235,-0.38893085714621534,0.0,92,0.177,0.998,-1.1490196078431372,-1.0190533985417967,-0.18553459119496854,1.1490196078431372,229,226,234,228
BBATTERY,5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,1.0,,,0.0,58,0.53,1.0,-11.415525114155251,-2.9425013890725236,6.098964326812428,11.415525114155251,230,228,232,236
BBATRYL1,5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,1.0,,,0.0,58,-1.0,-0.53,-6.098964326812428,2.9425013890725236,11.415525114155251,11.415525114155251,230,228,232,236
KIDSPHG1,1491,0.0,0.0,0.0,0.0,0.0,179,34,549,67,53,6.0,6.0,,,0.0,63,0.19,1.0,-12.023346303501945,-3.7437902060497943,-0.5534591194968554,12.023346303501945,230,228,223,212
KIDSPHG2,1491,0.0,0.0,0.0,0.0,0.0,179,34,549,67,53,6.0,6.0,,,0.0,63,0.19,1.0,-12.023346303501945,-3.7437902060497943,-0.5534591194968554,12.023346303501945,230,228,223,212
KIDSPHL2,1491,0.0,0.0,0.0,0.0,0.0,179,34,549,67,53,6.0,6.0,,,0.0,63,-1.0,-0.19,0.5534591194968554,3.7437902060497943,12.023346303501945,12.023346303501945,230,228,223,212
KIDSPHL1,1491,0.0,0.0,0.0,0.0,0.0,179,34,549,67,53,6.0,6.0,,,0.0,63,-1.0,-0.19,0.5534591194968554,3.7437902060497943,12.023346303501945,12.023346303501945,230,228,223,212
STABESS1,107,0.0,0.0,0.0,0.0,0.0,35,0,38,13,7,1.0,4.0,,,0.0,80,0.988,0.998,-3.8745098039215686,-3.7673655333693112,-1.017329255861366,3.8745098039215686,230,228,234,235
SNB01,126,0.0,0.0,0.0,0.0,0.0,10,4,0,3,0,1.0,1.0,,,0.0,1,1.0,1.0,-1.0,-1.0,-1.0,1.0,230,228,231,236
WILLBES1,64,0.0,,,0.0,0.0,7,5,40,3,3,,,,,,461,-0.992,0.992,-1.4577006507592192,1.0751949229797353,4.161676646706586,4.161676646706586,230,228,230,234
