event_id,time,control_time,direction,selected,distance,event_price_jump,control_price_jump,event_mpc,control_mpc,incident_id,balance_NSW1_TOTALDEMAND,balance_NSW1_SS_WIND_CLEAREDMW,balance_NSW1_SS_SOLAR_CLEAREDMW,balance_NSW1_AVAILABLEGENERATION,balance_NSW1_RRP,balance_flow,balance_headroom,balance_VIC1_TOTALDEMAND,balance_VIC1_SS_WIND_CLEAREDMW,balance_VIC1_SS_SOLAR_CLEAREDMW,balance_VIC1_AVAILABLEGENERATION,balance_VIC1_RRP,difference
VNI-upper-20240902T0755,2024-09-02 07:55:00,2024-09-18 08:00:00,upper,False,4.372418239450508,-6.283325,-22.70971,False,False,upper-0,-0.5254047248251592,2.177477332720726,-1.806973921195927,2.078613566488809,0.049250424714566865,1.4071159007040466,-2.128941926938371,,,,,,16.426385000000003
VNI-upper-20240902T0820,2024-09-02 08:20:00,2024-09-18 09:00:00,upper,False,3.705432887990415,-15.878329999999998,-0.9200000000000017,False,False,upper-0,1.0702463154683977,2.5016361953198034,-0.7459159848270032,2.178510807613498,0.5595215311170612,-0.022853501922432063,-0.8430512654935179,,,,,,-14.958329999999997
VNI-upper-20240902T0835,2024-09-02 08:35:00,2024-09-18 09:00:00,upper,False,3.4466403237314545,-5.59891,-0.9200000000000017,False,False,upper-0,0.785112754301568,2.251584900858593,-0.30150415765924826,2.2718398508861033,0.3046850241386495,-0.3627601020824021,-0.8465837215970275,,,,,,-4.678909999999998
VNI-upper-20240902T1020,2024-09-02 10:20:00,2024-09-18 09:00:00,upper,False,3.6723164223746436,0.0,-0.9200000000000017,False,False,upper-1,-0.6726099862981517,0.7253619479112131,-0.1800027436564372,3.231738812452393,-0.023093956541595784,-0.0761310902834363,-1.422844947113146,,,,,,0.9200000000000017
VNI-upper-20240902T1045,2024-09-02 10:45:00,2024-09-18 09:00:00,upper,False,4.078305450125346,0.0,-0.9200000000000017,False,False,upper-1,-0.8351388316378083,0.6201170445903085,-0.4599763654781002,3.6482317599640326,-0.023093956541595784,-0.06617451491889732,-1.4228449314521663,,,,,,0.9200000000000017
VNI-upper-20240902T1055,2024-09-02 10:55:00,2024-09-18 09:00:00,upper,False,4.132194849005178,0.0,-0.9200000000000017,False,False,upper-1,-0.8777688112828553,0.6180452231938081,-0.4905187029896823,3.6940168772663866,-0.023093956541595784,-0.10576479425271583,-1.4228448531472682,,,,,,0.9200000000000017
VNI-upper-20240902T1420,2024-09-02 14:20:00,2024-09-19 14:00:00,upper,False,3.0967245370057506,41.00671,34.085,False,False,upper-2,0.6093485523756142,-0.9747032575535372,-0.143880371871773,2.8715507599501215,0.002529493127638393,-0.04288394583271279,0.0,,,,,,6.921709999999997
VNI-upper-20240902T1455,2024-09-02 14:55:00,2024-09-19 15:00:00,upper,False,3.29116698353667,40.77671,101.43507,False,False,upper-3,0.400232456320532,-0.16956570279539912,0.9596533689581229,2.9062959110101945,-0.009004995534392685,-1.1292785156962737,0.0,,,,,,-60.658359999999995
VNI-upper-20240902T1505,2024-09-02 15:05:00,2024-09-19 15:00:00,upper,False,3.746436462472749,28.585025,101.43507,False,False,upper-3,0.6082630940061569,-0.14400331163949695,1.0380896007673783,2.9778933657716915,0.05190061120473386,-1.9227305145236517,0.0,,,,,,-72.850045
VNI-upper-20240902T1550,2024-09-02 15:50:00,2024-09-19 15:00:00,upper,False,3.942180450223305,101.33014500000002,101.43507,False,False,upper-4,1.1337497816966846,-0.06882071805577893,1.2769565245443408,3.0382881862090567,0.11140706979317212,-1.8375084326767153,4.215343409347501e-08,,,,,,-0.10492499999998017
