DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
BANGOWF2,58257,489911.499360366,7.161902792350934,137.76918466898965,295278.47228609433,194633.02707427175,6413,4092,24450,2251,2668,79724.70966236395,56266.40841805135,23458.301244312584,2521,24.0,36.0,0.041301733922333744,0.03186911416055599,458.0,9486,-0.932,0.938,-10.962126558456834,-0.9766781444517132,1.7566844919786098,10.962126558456834,58,0.39310774988305003,8.773804524879363,58,62,28
GESF1,29034,486913.122437862,15.903061241537955,218.97678446575344,249766.46222670216,237146.6602111598,2652,2497,11006,1139,1074,62135.86155543079,40041.86302513764,22093.998530293153,1043,10.0,30.0,0.10195076291155997,0.086474277490659,758.0,2573,-1.0,1.0,-3.017182130584193,-0.9036830913734986,2.0120724346076457,3.017182130584193,59,0.39328808446455504,15.098741713852805,70,99,41
CAPBES1,104532,475527.5628763898,8.405663581404074,98.63013698630138,249389.60811064852,226137.9547657413,4585,5348,9174,1384,1085,49954.23168813548,35919.81500262543,14034.416685510048,1082,24.0,38.0,0.0670662798116935,0.026801396688977217,2543.0,9348,-1.0,1.0,-1.9282945736434107,-0.8619391273648315,2.280857859913301,2.280857859913301,60,0.23598691384950926,7.834201745392678,71,53,56
JUNEESF1,103301,457253.1068387819,4.778438219903574,74.3626554142857,231644.61964076912,225608.48719801282,7111,5752,24717,2489,2756,72906.63476209386,55413.863732764265,17492.771029329597,3870,24.0,54.0,0.17697611248819875,0.12801758740895897,54.0,12265,-1.0,1.0,-10.493179433368311,-0.8727924704587382,5.746431570109152,10.493179433368311,61,0.5442272535508368,7.792696348300417,61,43,21
LIMBESS1,31940,456561.2842691704,12.21877335175635,185.63829787234042,249788.3273367615,206772.95693240894,3429,2558,12695,1407,1237,78326.3434001936,55683.934710810776,22642.408689382824,539,11.0,33.0,0.05657799805877939,0.04468242853221335,1385.0,4326,-1.0,1.0,-13.037809647979138,-0.8741669848015918,8.098039215686274,13.037809647979138,62,0.15718868474773987,16.239117734269694,60,97,39
MTGELWF1,87724,449486.8236440575,24.758085596826692,562.698370689655,242718.3827628873,206768.44088117016,4203,3616,4817,1558,515,77515.25713152946,45951.240523615925,31564.016607913527,1844,24.0,64.0,0.019239922268849817,0.042420396990603855,451.0,3950,-1.0,0.989,-7.059322033898305,0.1513211700955397,12.838709677419354,12.838709677419354,63,0.4387342374494409,10.932962294460129,68,86,92
CRWASF1,147317,445154.2153428864,5.9820195742702635,66.58640134020617,227491.3451922731,217662.8701506133,7834,7313,24742,2788,2763,63604.83990446802,47566.28153982849,16038.558364639532,4225,24.0,65.0,0.19975531805623206,0.13332612626077758,338.0,13894,-1.0,1.0,-4.637985309548793,-0.8267820733239158,7.034424853064651,7.034424853064651,64,0.5393158029103906,6.071774513636519,66,28,20
DARTM1,128554,431803.0412019472,4.766675976425166,166.7646481177419,277499.7404874715,154303.30071447574,3619,4396,3209,1358,359,29111.831678413804,25278.81083911966,3833.0208392941486,206,24.0,77.0,0.16272965419061194,0.07982164599760541,2838.0,5585,-1.0,1.0,-7.4074074074074066,0.49138148100282103,1.7719298245614037,7.4074074074074066,65,0.056921801602652665,6.985026482210461,83,59,109
GPWFEST2,5802,413586.7827130369,59.720204162977744,1557.8642613793102,223284.7125761097,190302.07013692724,1448,157,3327,493,325,140100.639829456,101082.92522934309,39017.71460011291,653,23.0,10.0,0.1036190471305149,0.06857206618574883,217.0,784,-1.0,1.0,-7.975,-0.6438126741723157,12.903225806451614,12.903225806451614,66,0.4509668508287293,69.80865002026457,40,169,106
COLWF01,22968,392480.50114314724,14.730078056818309,186.06308400250307,201085.21991960576,191395.28122354147,2418,1305,6700,716,744,57927.86709488988,31808.53619967504,26119.33089521484,1204,24.0,16.0,0.10669960232853822,0.08506382208947003,654.0,7083,-1.0,1.0,-2.1367521367521367,-0.8718347306161192,1.7513134851138354,2.1367521367521367,67,0.49793217535153017,13.154895037086451,75,111,72
SALTCRK1,87864,386928.47986357205,21.600393230706644,441.5430757281554,224072.82659926833,162855.65326430372,4221,3618,4842,1569,515,95986.39237818289,75317.88690301655,20668.505475166345,2134,24.0,65.0,0.020966304895861168,0.04364440204327095,69.0,4054,-0.9847,0.961,-6.932203389830509,0.23991508670893308,12.705806451612904,12.705806451612904,68,0.5055674010897891,17.843612154232776,51,78,86
GANNSF1,129855,383973.65351457725,9.631013286283334,139.34347722818598,216360.9256063203,167612.72790825696,7849,5384,8035,3225,1544,107359.94619430714,66115.73867653694,41244.2075177702,2442,24.0,78.0,-0.10000065693645285,-0.08072141176378825,26.0,6174,-1.0,1.0,-10.34013605442177,0.1410238005731231,11.363636363636365,11.363636363636365,69,0.3111224359791056,8.423460144800222,55,50,61
