CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
V^^V_NIL_SWVIC,V^^V_NIL_SWVIC|2025-04-29 00:00:00|1,lower,2025-04-29,1,-0.765,Voltage Stability,"Out = Nil, manage flow towards Moorabool across Haunted Gully to Cressy and Mortlake to Cressy 500kV lines to avoid voltage instability for the loss of Haunted Gully to Cressy 500kV line and both APD potlines",50087,3304,3615,7494,6452,2.913566818400241,-1.3071895689053729e-05,1148.116588235294,V-NIL,
F_S++SETB_R5,F_S++SETB_R5|2024-12-03 00:00:00|1,lower,2024-12-03,1,-1.0,FCAS,"Out = South East to Tailem Bend 275 kV line, SA Islanded for loss of parallel line, SA Raise 5 min Requirement for risk of islanding",8015,634,571,7611,6286,0.03010877704899052,-611.65812,-101.9798675,"S-SETB_N-2, S-TBSE, S-TBSE_BC-2CP, S-X_TBSE+BDBU","S-TBSE, S-X_TBSE+BDBU"
S>>BDBU_TUTB_TUTB_1,S>>BDBU_TUTB_TUTB_1|2024-12-05 00:00:00|1,lower,2024-12-05,1,-1.0,Thermal,"Out= Bundey to Buronga 330kV, avoid O/L Tungkillo-Tailem Bend 275kV line 1 or 2 on trip of parallel Tungkillo-Tailem Bend 275 kV line 2 or 1, Feedback",14509,130,306,7675,6081,0.14208689557219542,-1.0000000031595846e-05,666.94525,I-BDBU_ONE,I-BDBU_ONE
S:V_BDBU_650,S:V_BDBU_650|2024-09-25 00:00:00|1,lower,2024-09-25,1,-1.0,Oscillatory Stability,"Out = Bundey to Buronga 330kV (Note: with both Black Range series capacitors I/S), SA to VIC on Heywood upper transfer limit of 650 MW based on oscillatory stability.",42531,0,0,12388,5997,0.0,100.0,636.454305,I-BDBU_ONE,I-BDBU_ONE
VS_600_TEST,VS_600_TEST|2025-12-02 00:00:00|1,upper,2025-12-02,1,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",29035,2874,3391,7196,5866,494.2825031545359,-58.08960999999999,575.399285,S-NIL,
F_S++SETB_L5,F_S++SETB_L5|2024-12-03 00:00:00|1,upper,2024-12-03,1,1.0,FCAS,"Out = South East to Tailem Bend 275 kV line, SA Islanded for loss of parallel line, SA Lower 5 min Requirement for risk of islanding",8015,971,921,7317,5562,0.10879281047089312,-542.3872,-143.7143275,"S-SETB_N-2, S-TBSE, S-TBSE_BC-2CP, S-X_TBSE+BDBU","S-TBSE, S-X_TBSE+BDBU"
VS_600_TEST,VS_600_TEST|2025-05-30 00:00:00|2,upper,2025-05-30,2,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",53545,1671,2060,7122,5058,1.3933182299110456,-1.0000000088439265e-05,794.788285,S-NIL,
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2026-02-09 00:00:00|1,lower,2026-02-09,1,-0.27,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",31152,2763,2494,5346,5039,53.520245875079574,-7.407407388705501e-05,3199.4683703703704,V-NIL,
S>>NIL_BWMP_RBTU,S>>NIL_BWMP_RBTU|2025-05-29 00:00:00|1,upper,2025-05-29,1,0.264,Thermal,"Out= NIL, avoid O/L Robertstown-Tungkillo 275kV line 1 or 2 on trip of Blyth West-Munno Para 275kV line, Feedback",9477,428,595,5118,4621,3.6486299183271638,-7.575757556630626e-05,417.55117424242434,S-NIL,
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-12-09 00:00:00|1,lower,2025-12-09,1,-0.27,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",17773,3291,2942,4928,4592,96.760971368704,-7.407407409758619e-05,37483.37037037037,V-NIL,
