season,intervals,flow_mean_mw,flow_median_mw,flow_p05_mw,flow_p95_mw,export_limit_median_mw,export_limit_p05_mw,import_limit_median_mw,import_limit_p05_mw,northward_flow_share,southward_flow_share,flow_reversals,forced_export_intervals,forced_import_intervals,upper_intervals,upper_setter_match,lower_setter_match
Autumn,52992,-289.89644292232794,-315.02905499999997,-874.4874060000001,390.1599384999998,566.55316,-34.5567705,938.3471999999999,161.703034,0.21429649758454106,0.7857035024154589,1975,4637,169,52992,0.14417270531400966,0.26003925120772947
Spring,52416,-188.05908649133852,-189.81781999999998,-832.99847,412.499335,292.69371,-142.3271225,697.8058550000001,52.120799999999996,0.2754502442002442,0.7245115995115995,2480,7062,1524,52416,0.12106990231990232,0.20640644078144077
Summer,51840,-63.916055070601836,-45.917975,-848.5834975,662.0857664999999,625.96312,155.97500250000002,946.642045,455.3735705,0.4666666666666667,0.5333333333333333,2562,1115,345,51840,0.2773726851851852,0.4478009259259259
Winter,52992,-578.0419300758606,-600.0,-1132.1007715,169.37838749999975,554.898205,-49.822659,1078.0,442.9932905,0.09946784420289854,0.9005321557971014,1075,3899,32,52992,0.32495471014492755,0.41313783212560384
