season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets,contraction_abs_impact,contraction_tightening,contraction_relief,contraction_positive_rows
Spring,lower,SNOWYP,46290,256615.86434364898,5.580397016029759,75.27,127863.58309375738,128752.28124989159,1125,2072,514,310,87,5359.9738,3323.4138,2036.56,40
Spring,lower,SNUG1,10,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0.0,0.0,0.0,0
Spring,lower,STOCKYD1,2284,253856.37526137655,138.7991333102148,2098.0830097087373,138839.14916401388,115017.22609736267,860,109,1105,376,259,79763.59773076669,48961.36023495127,30802.237495815425,436
Spring,lower,STWF1,50926,589785.8026183534,11.564227966804962,58.72287849999999,291194.87908411096,298590.92353424244,2399,2300,2405,826,432,131029.1453574525,71133.43271628418,59895.71264116831,921
Spring,lower,SUNRSF1,49274,518363.19045251166,10.32131307996225,51.211357750000005,303975.3252639542,214387.86518855748,2257,2185,2295,786,417,132010.23734814828,80230.67878258749,51779.55856556078,857
Spring,lower,TARALGA1,46285,28710.28930118569,0.6246306407039028,2.423615451999999,14170.934391067327,14539.354910118363,1125,2072,514,310,87,743.8832347065608,400.214435796,343.6687989105607,578
Spring,lower,TUMUT3,46290,640315.390390406,13.855683207890253,135.5781213149995,349413.93017961184,290901.4602107942,1125,2072,514,310,87,73832.61032992,65532.52368004,8300.08664988,413
Spring,lower,UPPTUMUT,47040,803842.1649888514,17.089780180326553,146.6090057509998,408020.6046937119,395821.56029513956,1178,2124,623,328,101,54033.05343281396,48458.20461487064,5574.848817943322,529
Spring,lower,URANQ11,47752,67819.68579524198,1.4125687436030177,22.445716389999998,45594.202102112096,22225.483693129885,1304,2169,639,352,103,8047.398622998608,6277.524521286331,1769.874101712277,138
Spring,lower,URANQ12,47752,68388.82374525872,1.4321570448829712,16.343146684436675,43384.90147148552,25003.922273773194,1304,2169,639,352,103,9787.611613667686,7570.951971733642,2216.6596419340453,148
Spring,lower,URANQ13,47752,103980.19940398126,2.1895322774466734,22.452123326580534,65590.38329581088,38389.81610817037,1304,2169,639,352,103,10497.919887713046,7780.177139663627,2717.7427480494193,204
Spring,lower,URANQ14,47752,103524.18713064541,2.1862102921290636,22.562980446999987,60601.32054193515,42922.86658871026,1304,2169,639,352,103,10011.453424313298,7510.438251616611,2501.015172696688,192
Spring,lower,VBB1,880,302811.0160979881,253.9137460221786,2314.4232864077667,187564.87320325972,115246.14289472839,235,22,605,89,75,85683.93789932845,69458.62754926209,16225.310350066351,92
Spring,lower,VBBG1,1,160.92072727272725,160.92072727272725,160.92072727272725,160.92072727272725,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,VBBL1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,VPGS1,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,VPGS2,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,VPGS3,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,VPGS4,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,VPGS5,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,VPGS6,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,WAGGNSF1,598,5989.419875238132,10.576475221914677,50.13761720390231,2330.663864656549,3658.756010581583,135,37,4,23,1,1208.479666997478,673.4651156014504,535.0145513960277,65
Spring,lower,WEMENSF1,3848,196007.2682242353,45.705175879065166,288.09546433962265,117130.02669501703,78877.24152921827,1233,173,1778,498,330,71083.04006060353,45195.86881597251,25887.171244631016,431
Spring,lower,WINTSF1,3217,33428.49876729989,9.229032881317286,86.89669890692643,17836.399203759564,15592.099563540325,1078,133,1738,469,326,10805.899139456735,5796.550082951608,5009.349056505128,347
Spring,lower,WKIEWA1,1859,3206.0491113720673,1.6262882449095348,27.90566037735849,1835.058669700183,1370.9904416718848,479,50,1278,189,146,889.7232248039024,578.092946191015,311.63027861288737,40
Spring,lower,WKIEWA2,1859,2822.6746096513793,1.4410242136925702,16.358490566037737,1769.4095928178783,1053.2650168335015,479,50,1278,189,146,758.6436765106732,592.1955338752911,166.44814263538225,45
Spring,lower,WLWLSF1,46752,43849.020569082524,0.9162393209392562,8.087180031999997,23912.275093074404,19936.745476008116,1247,2108,507,331,87,3113.0977575266284,2149.654959694289,963.4427978323392,251
Spring,lower,WLWLSF2,46752,41311.800500029625,0.8636049800062318,7.992702564999997,22180.12654721577,19131.673952813864,1247,2108,507,331,87,2260.9519173990398,1339.2924928426905,921.6594245563494,199
Spring,lower,WOODLWN1,46285,16714.694956405438,0.36445407007789044,1.73078152,8344.210882397074,8370.484074008364,1125,2072,514,310,87,357.61904773099997,194.765188091,162.85385964,441
Spring,lower,WSTWYSF1,598,10589.844722466325,16.65493362317034,71.43405225503355,4115.287378987832,6474.557343478492,135,37,4,23,1,2329.9112504154264,841.4111357489874,1488.500114666439,49
Spring,lower,WUNUSF1,2082,21742.700635270223,9.04041627693907,83.83325471698113,11300.580885975432,10442.11974929479,800,102,843,353,239,7484.300359789639,3727.2231482788484,3757.0772115107893,148
Spring,lower,WYASF1,598,6601.291776101192,9.82152879710616,52.215834996194545,2669.873977511884,3931.4177985893084,135,37,4,23,1,1259.9625926773026,580.7508468459856,679.2117458313169,61
Spring,lower,YATSF1,3848,203098.38262061425,48.79591237266056,404.2806603773585,122494.5295648292,80603.85305578506,1233,173,1778,498,330,73176.41789233043,48069.58479202215,25106.83310030827,409
Spring,lower,YENDWF1,3253,229893.16302630265,75.9502504437506,973.9369700433531,156993.90664012756,72899.25638617508,1104,134,1775,476,329,83032.54261380027,69715.09390653686,13317.448707263411,425
Spring,lower,YWPS1,82,422.73902184014867,3.4587063943839613,75.45619191449818,86.796875,335.94214684014867,34,0,18,13,6,193.4135687732342,37.875,155.5385687732342,2
Spring,lower,YWPS2,35,0.0,0.0,0.0,0.0,0.0,9,0,0,3,0,0.0,0.0,0.0,0
