DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
COHUNSF1,139088,294775.64798963716,2.5984348284333447,85.79695222222223,152824.14181494887,141951.5061746883,11596,7059,24278,4694,3147,52182.577348675615,26913.459899817546,25269.117448858065,2183,24.0,48.0,0.03954440135372181,0.01658049833478038,630.0,5258,-1.0,1.0,-4.1069767441860465,1.2451556564749635,13.927576601671309,13.927576601671309,52,0.18825457054156605,2.320926172802479,63,14,9
NUMURSF1,75616,293997.90336472203,5.072635423771867,85.8982030766873,146597.8860545941,147400.01731012794,8410,4361,16053,3394,2198,58015.97336547253,28721.646781684878,29294.326583787642,2331,24.0,46.0,0.02610819354963067,0.010461241884416939,232.0,4163,-1.0,0.881,-9.944289693593314,0.7643989199305792,13.192612137203165,13.192612137203165,53,0.27717003567181925,3.4151779764191295,59,35,48
SNOWTWN1,55832,293015.7216539915,22.4096417815888,511.41353790654205,181101.329323827,111914.39233016447,2826,2323,9081,1324,1090,66300.14133330918,51354.540695839256,14945.600637469917,1406,22.0,19.0,0.02669281157250624,-0.07809016232302438,431.0,1603,-0.99,1.0,-14.04494382022472,-2.888150796873974,9.644381223328592,14.04494382022472,54,0.4975230007077141,18.17216585132316,37,75,75
LIMBESS1,40024,290153.154182863,8.015156620847907,172.2222222222222,156590.54244905786,133562.61173380516,3503,2072,8716,1453,1024,48638.74278631443,33202.267616282974,15436.475170031461,395,11.0,15.0,0.056105781973829844,0.0025315076011358482,3053.0,839,-0.957,1.0,-6.026490066225166,0.7371986493299838,2.9256505576208176,6.026490066225166,55,0.11276049100770767,9.47823797210476,53,91,89
HDWF3,85064,286574.217511597,10.4995095843408,131.65734198113196,159758.6460998618,126815.57141173522,3914,3461,16983,1752,1595,43879.21770904642,27156.019127633917,16723.198581412496,1891,24.0,19.0,0.048917483732162134,-0.11236614941911426,1255.0,1622,-0.982,1.5,-10.658616904500548,-2.631072999462026,12.239657631954351,12.239657631954351,56,0.4831374552887072,6.938175556370444,62,48,32
MTGELWF1,34538,282102.5852689196,10.066485569504954,161.75637268016467,149200.29524024238,132902.2900286772,5092,1509,9726,1967,1179,44552.96322111239,24057.170697334175,20495.79252377821,2375,24.0,43.0,0.00519270748978928,0.007688750006530936,284.0,3973,-0.995,0.994,-1.949468085106383,0.9147458226070089,7.086330935251798,7.086330935251798,57,0.4664179104477612,4.724503279130828,68,103,68
WATERLWF,54718,276118.56966822856,13.48972399115485,157.92020105660376,148358.75189215594,127759.8177760726,2616,2261,8686,1240,1015,43131.05475668942,25212.494358842985,17918.560397846428,1339,22.0,17.0,0.03897913614641701,-0.06274532602788156,791.0,1290,-1.0,1.0,-14.265335235378032,-3.7488122177933008,14.22475106685633,14.265335235378032,58,0.5118501529051988,9.637803653991966,66,90,90
CNUNDAWF,168206,264312.2669469485,1.8226248975981842,18.45099685636851,141168.9334706881,123143.33347626039,5084,8162,22515,2248,2425,11302.616683523795,7965.497988124869,3337.1186953989263,2306,24.0,51.0,0.12398829534952707,0.07744110018269691,4421.0,6995,-1.0,1.3,-1.7806267806267806,-0.869201506421964,0.193,1.7806267806267806,59,0.45357985837922893,1.5667777317318783,102,4,16
DARTM1,30924,262848.873258014,6.386521210514329,313.0376569037657,153694.6827088778,109154.19054913618,4337,1307,7879,1703,998,47909.20729800938,29250.131441337086,18659.075856672287,91,24.0,41.0,0.04404560402752656,0.02862993350445437,708.0,3682,-1.0,1.0,-13.966480446927374,1.6931538025752224,10.183299389002038,13.966480446927374,60,0.020982245792022135,6.744323597264719,57,106,94
SALTCRK1,34624,258879.46973158504,12.618023543336715,209.56468924972,140587.20724948982,118292.26248209523,5122,1520,9749,1976,1186,53715.91163453266,34760.10415330367,18955.80748122899,2408,24.0,43.0,0.019713530227620724,0.022494594394015802,121.0,4067,-0.9847,0.98,-1.385185185185185,0.9453376219314162,6.841726618705035,6.841726618705035,61,0.47012885591565795,6.786431892484122,50,95,65
HDWF2,85064,255249.90160622203,9.594718769233653,99.96633254716974,142132.07295610514,113117.82865011689,3914,3461,16983,1752,1595,38942.03992895955,24237.43381155693,14704.606117402616,1814,24.0,19.0,0.04670653336278668,-0.10798797409389385,1115.0,1622,-0.982,1.5,-10.658616904500548,-2.631072999462026,12.239657631954351,12.239657631954351,62,0.4634644864588656,6.1924971414299765,67,48,32
HALLWF1,85064,255111.97671470852,11.905852836264208,261.33792066420665,147169.88686223276,107942.08985247576,3914,3461,16983,1752,1595,44323.23916573586,32908.81153471611,11414.427631019755,1762,24.0,19.0,0.04702895221313125,-0.09891155163498754,863.0,1627,-0.98,1.5,-10.658616904500548,-2.5741550460150773,14.265335235378032,14.265335235378032,63,0.4501788451711804,8.407974331813007,55,48,32
