quarter,direction,complete,spread,energy,scarcity,hours
2024Q3,VIC to NSW,False,40.627154005787034,36.529477898148144,4.09767610763889,720.0
2024Q4,VIC to NSW,True,97.74998123263889,50.54334977883454,47.20663145380434,2208.0
2025Q1,VIC to NSW,True,28.54558446604938,19.244548203703705,9.30103626234568,2160.0
2025Q2,VIC to NSW,True,22.212941807844935,10.874855769612331,11.3380860382326,2184.0
2025Q3,VIC to NSW,True,12.915540842013888,12.780826180555556,0.1347146614583333,2208.0
2025Q4,VIC to NSW,True,38.098069272343004,27.154079941878024,10.943989330464975,2208.0
2026Q1,VIC to NSW,True,30.739328088734567,23.063733227623455,7.675594861111111,2160.0
2026Q2,VIC to NSW,True,19.239338357371796,19.24121857905983,-0.0018802216880341933,2184.0
2026Q3,VIC to NSW,False,13.23258682907706,16.052653498543904,-2.8200666694668453,1488.0
2024Q3,NSW to QLD,False,-8.353422023148148,-8.534341200231482,0.18091917708333322,720.0
2024Q4,NSW to QLD,True,-16.065987079559175,1.6171502849486712,-17.68313736450785,2208.0
2025Q1,NSW to QLD,True,1.9979657804783972,0.5363393557098768,1.4616264247685202,2160.0
2025Q2,NSW to QLD,True,-39.802164005265574,-10.136523777090964,-29.665640228174603,2184.0
2025Q3,NSW to QLD,True,-18.26576382548309,-16.907502738149155,-1.3582610873339374,2208.0
2025Q4,NSW to QLD,True,-17.444303292195052,-6.592002549818841,-10.852300742376208,2208.0
2026Q1,NSW to QLD,True,-8.079871782407407,-0.7980134972993825,-7.281858285108025,2160.0
2026Q2,NSW to QLD,True,-7.966276424374238,-7.967457162698413,0.001180738324175829,2184.0
2026Q3,NSW to QLD,False,-15.686156571460574,-15.610931384968637,-0.0752251864919355,1488.0
2024Q3,VIC to SA,False,62.90184612152779,12.359857405092592,50.54198871643518,720.0
2024Q4,VIC to SA,True,7.080808995320049,0.2516543282004832,6.829154667119567,2208.0
2025Q1,VIC to SA,True,7.062552164737652,-2.168473883101852,9.231026047839507,2160.0
2025Q2,VIC to SA,True,1.7500580025183146,4.540284382631256,-2.7902263801129426,2184.0
2025Q3,VIC to SA,True,26.534599517285624,3.7328260529891306,22.801773464296495,2208.0
2025Q4,VIC to SA,True,-0.08001074879227045,-1.7370241228864733,1.657013374094203,2208.0
2026Q1,VIC to SA,True,45.34667103240741,8.947824451003086,36.39884658140432,2160.0
2026Q2,VIC to SA,True,30.514426068376068,16.278432493131866,14.235993575244203,2184.0
2026Q3,VIC to SA,False,18.37323328012993,15.676586698588707,2.6966465815412186,1488.0
