quarter,direction,state,hours,frequency_pct,spread_contribution,energy_contribution,scarcity_contribution
2024Q3,VIC to NSW,neither,718.8333333333334,99.83796296296296,36.05198824768519,36.05198824768519,0.0
2024Q3,VIC to NSW,destination_only,1.1666666666666667,0.16203703703703703,4.575165758101851,0.4774896504629629,4.09767610763889
2024Q3,VIC to NSW,origin_only,0.0,0.0,0.0,0.0,0.0
2024Q3,VIC to NSW,both,0.0,0.0,0.0,0.0,0.0
2024Q4,VIC to NSW,neither,2160.0833333333335,97.82986111111111,46.351785416666665,46.351785416666665,0.0
2024Q4,VIC to NSW,destination_only,43.416666666666664,1.966334541062802,51.60726772305253,4.3298242704559184,47.277443452596614
2024Q4,VIC to NSW,origin_only,3.6666666666666665,0.16606280193236714,-0.23702655268719805,-0.1382599082880435,-0.09876664439915457
2024Q4,VIC to NSW,both,0.8333333333333334,0.03774154589371981,0.027954645606884054,0.0,0.027954645606884054
2025Q1,VIC to NSW,neither,2136.75,98.92361111111111,18.493225253858025,18.493225253858025,0.0
2025Q1,VIC to NSW,destination_only,11.083333333333334,0.5131172839506173,12.319858357253084,1.2981472569444443,11.021711100308641
2025Q1,VIC to NSW,origin_only,11.583333333333334,0.5362654320987654,-2.2589791049382715,-0.5468243070987655,-1.7121547978395062
2025Q1,VIC to NSW,both,0.5833333333333334,0.02700617283950617,-0.008520040123456793,0.0,-0.008520040123456793
2025Q2,VIC to NSW,neither,2117.8333333333335,96.97039072039072,10.7827656116453,10.7827656116453,0.0
2025Q2,VIC to NSW,destination_only,16.25,0.744047619047619,13.396030146138582,0.8168223634004884,12.579207782738095
2025Q2,VIC to NSW,origin_only,20.916666666666668,0.9577228327228328,-1.4210180494505493,-0.7247322054334553,-0.6962858440170941
2025Q2,VIC to NSW,both,29.0,1.3278388278388278,-0.5448359004884006,0.0,-0.5448359004884006
2025Q3,VIC to NSW,neither,2177.9166666666665,98.63753019323671,12.799251471542874,12.799251471542874,0.0
2025Q3,VIC to NSW,destination_only,7.5,0.33967391304347827,0.2225691213768116,0.128377977807971,0.09419114356884058
2025Q3,VIC to NSW,origin_only,4.583333333333333,0.20757850241545894,-0.23316150286835752,-0.14680326879528985,-0.08635823407306766
2025Q3,VIC to NSW,both,18.0,0.8152173913043478,0.12688175196256038,0.0,0.12688175196256038
2025Q4,VIC to NSW,neither,2194.1666666666665,99.37349033816425,25.901385803517513,25.901385803517513,0.0
2025Q4,VIC to NSW,destination_only,12.583333333333334,0.5698973429951691,11.60511539137983,1.3582667946105071,10.246848596769324
2025Q4,VIC to NSW,origin_only,1.0,0.04528985507246377,-0.1521026396437198,-0.10557265625,-0.04652998339371982
2025Q4,VIC to NSW,both,0.25,0.011322463768115942,0.7436707170893719,0.0,0.7436707170893719
2026Q1,VIC to NSW,neither,2145.0833333333335,99.30941358024693,22.60500508024691,22.60500508024691,0.0
2026Q1,VIC to NSW,destination_only,8.0,0.3703703703703704,9.884832418209877,1.0653826450617283,8.819449773148147
2026Q1,VIC to NSW,origin_only,6.916666666666667,0.32021604938271603,-1.7505094097222222,-0.6066544976851851,-1.1438549120370372
2026Q1,VIC to NSW,both,0.0,0.0,0.0,0.0,0.0
