quarter,region,complete,intervals,hours,mean_price,capped_energy,cap_excess,above300_hours,above300_pct,episodes,excess_when_above,negative_pct,cap_from_halfhour,top5days_cap_pct
2024Q3,NSW1,False,8640,720.0,58.01779064583332,53.92011453819444,4.09767610763889,1.1666666666666667,0.16203703703703703,8,2528.8515407142863,21.261574074074076,3.7605828599537037,99.80225351629032
2024Q4,NSW1,True,26496,2208.0,143.11557149569745,95.76019967127114,47.355371824426335,44.25,2.0040760869565215,151,2362.9527906967983,12.473580917874397,46.50490287062198,75.33055532754831
2025Q1,NSW1,True,25920,2160.0,87.79390354591048,76.7484365625,11.045466983410494,11.666666666666666,0.5401234567901234,52,2044.989315785714,12.357253086419753,10.379693609567902,87.71350135863848
2025Q2,NSW1,True,26208,2184.0,160.67657821047004,106.34993605006105,54.32664216040903,45.25,2.0718864468864466,85,2622.0858890239415,6.719322344322344,54.02989543803419,85.17378727178472
2025Q3,NSW1,True,26496,2208.0,90.01551846580617,88.40128842429047,1.6142300415157005,25.5,1.154891304347826,65,139.77333065359477,13.394474637681158,1.5437926505887682,92.60236694924231
2025Q4,NSW1,True,26496,2208.0,75.08322361903683,64.09100731846317,10.99221630057367,12.833333333333334,0.581219806763285,76,1891.2322279220782,25.08303140096618,10.401195867300725,85.18461091239254
2026Q1,NSW1,True,25920,2160.0,73.44581219714506,64.62636242399691,8.819449773148147,8.0,0.3703703703703704,22,2381.25143875,5.783179012345679,8.62547924537037,100.0
2026Q2,NSW1,True,26208,2184.0,75.09183241796399,75.08526678952992,0.006565628434065931,1.0833333333333333,0.0496031746031746,9,13.236306923076917,2.8044871794871797,0.0,100.00000000000001
2026Q3,NSW1,False,17856,1488.0,78.61461509744625,78.5393899109543,0.0752251864919355,1.3333333333333333,0.08960573476702509,6,83.95130812500001,1.887320788530466,0.045231526657706085,100.0
2024Q3,QLD1,False,8640,720.0,49.66436862268518,45.385773337962966,4.278595284722222,0.8333333333333334,0.11574074074074073,8,3696.7063260000004,31.07638888888889,3.8797646423611107,99.92817051813599
2024Q4,QLD1,True,26496,2208.0,127.04958441613826,97.3773499562198,29.672234459918474,50.583333333333336,2.2909118357487923,215,1295.2150317133444,20.131340579710145,28.991140877490942,81.70228329050425
2025Q1,QLD1,True,25920,2160.0,89.79186932638889,77.28477591820987,12.507093408179013,13.666666666666666,0.6327160493827161,79,1976.730860609756,16.655092592592595,12.207552911651234,97.08800489734338
2025Q2,QLD1,True,26208,2184.0,120.87441420520452,96.21341227297009,24.661001932234434,34.5,1.5796703296703296,97,1561.148644057971,11.794108669108669,24.325197401175217,91.09527752479785
2025Q3,QLD1,True,26496,2208.0,71.74975464032306,71.49378568614131,0.2559689541817633,9.0,0.4076086956521739,37,62.79771675925926,24.905646135265698,0.18251408816425124,80.42434607801064
2025Q4,QLD1,True,26496,2208.0,57.638920326841784,57.49900476864431,0.13991555819746376,3.3333333333333335,0.15096618357487923,33,92.68006575000001,28.27974033816425,0.03898336918780193,74.82642727840319
2026Q1,QLD1,True,25920,2160.0,65.36594041473765,63.82834892669753,1.5375914880401231,1.5,0.06944444444444445,14,2214.131742777778,8.410493827160494,1.506531636574074,99.77429986496361
2026Q2,QLD1,True,26208,2184.0,67.12555599358976,67.11780962683152,0.0077463667582417595,0.5,0.022893772893772892,5,33.836130000000004,7.360347985347985,0.0,100.0
2026Q3,QLD1,False,17856,1488.0,62.92845852598566,62.92845852598566,0.0,0.0,0.0,0,0.0,9.526209677419354,0.0,0.0
2024Q3,SA1,False,8640,720.0,80.29248276157406,29.750494045138886,50.54198871643518,9.583333333333334,1.3310185185185186,30,3797.241587043477,42.52314814814815,50.05810386574075,99.89798102470645
2024Q4,SA1,True,26496,2208.0,52.44639925837863,45.46850422063708,6.977895037741546,10.166666666666666,0.46044685990338163,41,1515.4615321311476,36.85461956521739,6.517412934027778,97.15233175581892
2025Q1,SA1,True,25920,2160.0,66.31087124459876,55.33541447569444,10.97545676890432,15.0,0.6944444444444444,70,1580.465774722222,30.48996913580247,10.72710628742284,97.22996471953024
2025Q2,SA1,True,26208,2184.0,140.21369440514349,100.01536466307998,40.1983297420635,57.5,2.6327838827838828,153,1526.837428811594,17.059676434676437,39.93206036630036,98.0737598803277
2025Q3,SA1,True,26496,2208.0,103.6345771410779,79.35328829672403,24.281288844353867,64.58333333333333,2.924969806763285,140,830.1381022193549,27.61171497584541,23.838553797554347,96.46045411245316
2025Q4,SA1,True,26496,2208.0,36.90514359790157,35.19990325369867,1.7052403442028987,8.333333333333334,0.3774154589371981,52,451.82048159999994,46.24471618357488,1.425775283816425,90.26668728157986
2026Q1,SA1,True,25920,2160.0,88.0531551408179,50.51045364737654,37.54270149344136,32.75,1.5162037037037037,112,2476.0987855216285,30.042438271604937,37.179599688657404,97.06918151590236
2026Q2,SA1,True,26208,2184.0,86.36692012896826,72.12248070360195,14.2444394253663,49.25,2.25503663003663,112,631.6721970558375,20.757020757020758,14.120877826617825,99.59634258826489
